username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050340,3.5,158.22222219999998,703.8333332999999,2.666666667,15.72619048,53.83333333,3.166666667,22.52777778,86.66666667,9.333333332999999,8.0,1.333333333,0.803819445,11.24849103,5.0,0.414930556,9.166666667000001,0.994791667,1.5,11.5,1.098958333,34.0,3.984375,9.333333332999999,0.8767361109999999,0.833333333,48.0,4.831597222,21.66666667,2.001736111,69.66666667,6.833333333,51.83333333,5.762152778,1.5,79.0,7.833333333,202.0,20.54861111,0.0,0.0,0.0,0.0,0.0,1.6666666669999999,0
Y1050341,1.333333333,259.7361111,709.1666667000001,1.333333333,24.01388889,66.16666667,1.333333333,24.11111111,66.66666667,9.166666667000001,8.5,0.666666667,0.46856725200000005,6.10672695,4.5,0.238304094,9.166666667000001,0.5,0.0,8.666666667000001,0.43713450299999995,14.33333333,0.7580409359999999,8.5,0.41008771899999996,0.0,33.0,1.5782163740000001,17.16666667,0.8472222220000001,50.16666667,2.425438597,31.66666667,1.654239766,0.0,59.33333333,2.9254385960000002,141.16666669999998,7.0051169589999995,0.0,0.0,0.0,0.0,0.815,2.5,0
Y1050342,1.333333333,104.8055556,239.0,0.833333333,7.5,13.66666667,1.166666667,12.47222222,28.33333333,4.333333333,3.333333333,1.0,0.38906926399999997,5.288528877,1.5,0.16801948100000003,4.333333333,0.5,0.166666667,3.166666667,0.374458875,14.16666667,1.618506494,2.333333333,0.26082251100000003,0.0,15.66666667,1.8211580090000001,5.5,0.635281385,21.16666667,2.456439394,20.66666667,2.355519481,0.166666667,25.5,2.9564393939999998,67.5,7.792207792,0.0,0.0,0.0,0.0,0.0,6.283333333,1
Y1050343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050344,4.833333333,131.7388889,681.6666667000001,3.166666667,15.80555556,53.16666667,4.0,18.04166667,65.83333333,13.66666667,8.666666667000001,5.0,0.601731602,14.32241251,7.166666667,0.525613276,11.83333333,0.874819625,2.333333333,2.333333333,0.18340548399999998,17.33333333,1.295238095,19.66666667,1.4867965369999998,0.166666667,26.66666667,2.052994228,22.16666667,1.684090909,48.83333333,3.737085137,44.5,3.319119769,2.333333333,62.5,4.737085137,158.16666669999998,11.96197691,0.666666667,0.666666667,0.5,0.666666667,2.166666667,5.0,1
Y1050345,0.666666667,12.33333333,21.83333333,0.166666667,1.8333333330000001,1.8333333330000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Y1050346,4.166666667,70.37500001,319.8333333,0.5,3.333333333,5.0,0.833333333,13.41666667,26.66666667,3.166666667,0.833333333,2.333333333,0.089285714,2.355660185,2.166666667,0.240079365,2.833333333,0.305555556,0.166666667,2.833333333,0.295634921,7.5,0.7638888890000001,8.5,0.837301587,0.166666667,8.5,0.867063492,11.5,1.146825397,20.0,2.013888889,18.33333333,1.85515873,0.166666667,23.33333333,2.361111111,61.83333333,6.244047618,2.0,2.0,1.0,2.0,3.393333333,4.383333333,1
Y1050347,2.333333333,175.5111111,620.6666667000001,2.0,17.20833333,53.83333333,2.166666667,16.87777778,54.66666667,10.33333333,8.333333332999999,2.0,0.525030525,4.8484575869999995,4.666666667,0.288156288,9.166666667000001,0.606227106,1.5,5.833333333,0.360805861,13.5,0.9456654459999999,4.166666667,0.27533577600000003,0.5,23.66666667,1.5677655680000002,10.5,0.6758241759999999,34.16666667,2.243589744,25.33333333,1.73015873,1.5,44.5,2.91025641,105.5,6.987179487000001,0.0,0.0,0.0,0.0,0.0,3.666666667,0
Y1050348,1.0,145.875,440.33333330000005,1.0,8.333333332999999,25.5,1.0,29.0,85.0,4.666666667,4.666666667,0.0,0.333333333,4.292066857,4.0,0.3,4.666666667,0.333333333,0.166666667,14.66666667,0.9833333329999999,14.83333333,1.079166667,6.833333333,0.591666667,0.0,54.0,4.2875,21.5,1.575,75.5,5.8625,26.0,1.9875,0.166666667,80.16666667,6.1958333329999995,181.83333330000002,14.05416667,0.0,0.0,0.0,0.0,0.0,1.6666666669999999,0
Y1050349,4.0,108.3972222,401.3333333,3.0,14.56666667,38.66666667,1.5,2.444444445,6.666666667,2.0,0.0,2.0,0.0,2.5713869369999998,0.833333333,0.21666666699999998,1.8333333330000001,0.6333333329999999,0.0,0.5,0.1,0.666666667,0.15833333300000002,0.333333333,0.075,0.0,2.666666667,0.658333333,0.833333333,0.175,3.5,0.833333333,2.666666667,0.833333333,0.0,5.5,1.5,11.66666667,3.166666667,2.166666667,2.166666667,1.166666667,2.166666667,6.7638888889999995,5.433333332999999,2
Y1050350,5.0,149.9138889,772.1666667000001,2.333333333,10.40555556,40.33333333,2.666666667,44.63333333,165.33333330000002,7.666666667,4.666666667,3.0,0.419088319,8.312597334,7.166666667,0.772222222,5.833333333,0.678205128,1.0,44.5,5.32022792,14.5,1.571794872,7.333333333,0.8,0.666666667,81.66666667,7.503703703999999,52.5,6.190598291000001,134.1666667,13.694301999999999,25.83333333,2.876495727,1.0,141.83333330000002,14.52763533,302.8333333,31.21139601,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.6666666669999999,0
