,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,indicator
video_forward_seek_sum,0.112290784179,0.0346090874608,-0.178748023557,-0.138648175265,0.361340912763,0.138142867724,0.16389035766,0.131714118092,0.0552365645009,0.0731194004156,-0.129462891199,-0.141925006459,-0.168685621146,0.0847818462698,0.0971886530658,-0.0242877224139,
video_forward_seek_avg,0.104551687794,0.0519565424586,-0.219849993491,-0.135936659215,0.27901388773,0.126294108347,0.330435852131,0.0915981000509,0.092801296714,0.164576484942,-0.0476217834577,-0.127120230222,-0.214567968639,-0.0815802267771,0.0073891864096,0.0459628222468,
video_backward_seek_sum,0.135060984262,0.105825983603,-0.0142846807832,-0.114511233004,0.161598724319,-0.324778393929,-0.0619449075753,-0.00898230655079,-0.204974747825,-0.215969511807,0.166300456127,0.0608251808591,0.0612146325095,-0.0266679642706,0.0138777777125,0.048559446734,
video_backward_seek_avg,0.130384630887,0.125744204693,-0.0706532782534,-0.103176408034,0.0688018582066,-0.336594021963,0.124291447918,-0.0863563662754,-0.186883624005,-0.0808232058992,0.352545570683,0.0485426856554,0.110566481573,0.0154988388133,-0.082486668765,0.0501369639503,
video_pause_forward_seek_sum,0.157586927983,0.146394299161,0.0300655103748,0.11046880258,-0.0570418039717,-0.00387656835793,-0.128578809792,-0.0966080190086,-0.0600079862582,0.0602671792662,-0.150868584097,0.0711265505606,0.205738516178,0.0352540098794,-0.0911536491172,-0.191071948495,
video_pause_forward_seek_avg,0.145262558716,0.164603735038,0.00479544869905,0.124503990631,-0.163862045898,-0.00477976789766,0.0571546933069,-0.109629083592,-0.0623719918462,0.104468732096,-0.229151918759,0.147485140641,0.263002902376,-0.112054026973,-0.0798148532095,0.016404377737,
video_pause_backward_seek_sum,0.123325409169,0.148628123551,0.132688862696,0.235460903511,-0.116189318994,0.12925321887,-0.127467815885,0.0775969585287,0.243725715933,-0.0695358863605,0.149686071348,-0.120576990403,-0.284163812593,0.0564492491648,0.0528511615381,0.040253250514,
video_pause_backward_seek_avg,0.118273142419,0.154008622538,0.110088952158,0.251792305568,-0.174162982983,0.134395524372,-0.0328555082898,0.070686484012,0.243817638212,-0.0607284316582,0.156083332594,-0.088226092539,-0.270409801277,0.0243631676526,0.113857469301,0.101803785733,
video_stop_backward_seek_sum,0.0970955793635,-0.0581392653839,0.286450130907,-0.194455453787,0.109160114424,-0.209625026071,-0.0151463172739,0.109532076355,0.234689533292,-0.00963501656516,-0.157831583711,0.378400222534,-0.10337736265,-0.153576227068,0.0867106114767,-0.0170941954977,
video_stop_backward_seek_avg,0.0808049907859,-0.106368509156,0.264518819713,-0.135380352943,0.0759990606961,-0.195515678024,0.200014329192,0.0479757419153,0.373921922394,0.158451681045,0.0918972968789,0.383459366283,0.154971470012,0.309727871797,0.236854419781,-0.135178242515,
