,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,indicator
watched_time_hour,0.115122038741,-0.156357141269,0.024328735792,-0.263945811536,0.0229036590772,-0.0030905772945,-0.0725483722815,0.129744093592,-0.0319801135604,-0.0885900963466,0.0690048791714,0.350711997372,
watched_time_weekday,0.0516955679507,-0.0136716549588,0.00284172488106,-0.365030928281,-0.184387656066,0.0120802709202,0.325797597336,0.104037547137,0.0914310268504,-0.269237143153,-0.151620652613,0.22054276823,
seek_video_sum,0.1774655573,0.0305432952015,-0.0447741306014,0.0530127274702,0.126259003821,0.0252114007562,0.0023239043857,-0.102649595483,-0.00271598512007,-0.0602756231664,-0.0391345366158,0.0815634900404,
seek_video_avg,0.147785594309,0.0280079755881,-0.0721676327102,-0.191423152913,-0.0692052664811,0.0722608257688,-0.0491579774987,-0.196473440084,-0.12270003854,0.0262065412918,-0.060423401044,0.0701668617819,
pause_video_sum,0.172691107879,-0.0864471811348,0.022464078525,0.00630007186582,0.197881678254,-0.0684067877016,0.0538311785294,-0.0163408196547,0.0934628433007,-0.0338016293569,-0.0962071056786,0.0832826206233,
pause_video_avg,0.130686978261,-0.120706619225,0.0313698085587,-0.322131068807,-0.036805668508,-0.0766825974966,0.0155140170774,0.124772590327,0.108231453578,-0.113810226853,-0.0893187141974,0.176827941823,
stop_video_sum,0.117452871927,-0.185520622598,0.267135966992,0.107861723773,0.055856117549,0.070544029634,-0.0160760753956,-0.108344347935,-0.0211587543296,-0.0889989224213,0.138899755554,0.00853680083871,
stop_video_avg,0.0742790494281,-0.201999002951,0.301180374366,-0.0188528263223,-0.0722369977683,0.179750448216,-0.0527717282654,0.167305150135,-0.155058564802,-0.106039002785,0.355652265688,-0.140919410968,
video_forward_seek_sum,0.129538425131,0.158183224784,-0.15793375286,0.0808887833919,0.157499481534,0.255655870959,-0.029048779585,0.210572134393,-0.0636456419337,-0.0493110523691,-0.0169237538701,0.118011500181,
video_forward_seek_avg,0.121084399743,0.168353915318,-0.159586456859,-0.0799948657637,-0.0210033703769,0.328576227026,-0.0922352472947,0.0706007873019,-0.253299894792,0.147837673232,0.00604530207427,0.0650713100482,
video_backward_seek_sum,0.155174796092,0.0700529892689,0.0602127478706,0.126568995948,-0.112670523947,-0.159133559725,-0.102193736173,-0.264844980444,-0.173274677455,-0.214925918544,-0.0193566621399,0.087670209622,
video_backward_seek_avg,0.145641945603,0.0802497289328,0.0429057704941,0.00568969760709,-0.237276079672,-0.116274162601,-0.109417205613,-0.290579716341,-0.300792316749,-0.0831315017192,-0.0534017361873,0.0595738250506,
video_pause_forward_seek_sum,0.16887147369,0.0966119617084,0.017484311267,0.115661418121,0.0245715545849,-0.113411641055,0.0505534792384,0.0941597239022,0.191519785321,-0.139479457695,0.0801051010359,-0.154801707503,
video_pause_forward_seek_avg,0.158431609644,0.0903141276297,0.0544988934658,-0.0247843951257,-0.16395702451,-0.135455333523,0.063242739399,0.158417120471,0.160352009306,0.0206861013861,0.0692369739458,-0.27515357769,
video_pause_backward_seek_sum,0.164314631244,0.0499803865639,0.0772860877697,0.120944578108,0.00788254615673,-0.188395214801,-0.0179151006725,-0.0445506545639,0.176391353409,-0.0604842933123,0.0262167530884,-0.00242952759332,
video_pause_backward_seek_avg,0.110742184264,0.0480604743826,0.11886618106,-0.0364470033725,-0.197301199724,-0.267374550186,0.0155174971506,0.0842431286668,0.225137722223,0.410901470271,0.0588729294842,0.0656363928617,
video_stop_backward_seek_sum,0.10194326292,-0.0728547820698,0.188345806022,0.127858188994,-0.0482379474429,0.320710140281,-0.142750659355,-0.172189049767,0.322046797057,0.0672839525627,-0.316217070677,0.0842674275686,
video_stop_backward_seek_avg,0.065588883903,-0.0727628944885,0.170254408724,0.0421026086476,-0.219441537607,0.400574960311,-0.189816360943,-0.0808425059956,0.332829482663,0.182807256906,-0.308574610024,0.00479326708093,
all_type_video_forward_seek_sum,0.16028782362,0.148595872593,-0.0993578554845,0.104481562719,0.117150870466,0.124233292405,0.00208349145842,0.18299399002,0.0392961648693,-0.0933555902,0.0229979843505,0.0132857102611,
all_type_video_forward_seek_avg,0.159191600756,0.159924877833,-0.0853908839568,-0.0674232257153,-0.0921016656157,0.164828765164,-0.0343528375804,0.124025742217,-0.100638678495,0.112735394814,0.0369265003104,-0.0846987525964,
all_type_video_backward_seek_sum,0.164732550516,0.0645933180855,0.0714407637918,0.131801829227,-0.0831897323114,-0.163913524272,-0.0849760564732,-0.214758440819,-0.0718379820048,-0.175955837923,-0.0149855285393,0.0669394017147,
all_type_video_backward_seek_avg,0.153858100149,0.0759609083698,0.082741733566,-0.00757093874577,-0.261061934933,-0.172097730102,-0.0843674365349,-0.192497509817,-0.132934925571,0.0952938183745,-0.0302436341712,0.0696235611884,
all_type_video_seek_sum,0.173029402972,0.13441306027,-0.0560602488846,0.119991423047,0.0664076802637,0.0480936546414,-0.0234491848354,0.0787126935518,0.00931555649014,-0.124378795895,0.0134334538158,0.0300601715961,
all_type_video_seek_avg,0.17010735062,0.144946477154,-0.0366970351891,-0.0530373337889,-0.155202064005,0.0667487882772,-0.0535959560188,0.0294309362257,-0.119311939267,0.115955574106,0.0176969079389,-0.0405079788256,
