,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,indicator
num_watched,0.166096655342,-0.108716172245,0.0458402731673,0.0273570397363,0.185889654631,0.0974650391865,-0.103382269675,-0.00987452393493,0.0622931225268,-0.149071031388,0.0226672480395,-0.0447071271898,0.0351378427562,-0.0294076239373,0.114972191107,-0.0207159711993,-0.130745908031,-0.0755406720668,-0.0204641498713,-0.0544894314232,
num_complete,0.160365207662,-0.114058472085,0.119638854117,-0.0390526271855,0.118114940059,0.0521646929303,-0.1718297652,-0.0260122678799,-0.0210814816977,-0.156832287401,0.0893230463894,-0.139981370724,0.0284160933479,-0.114389431857,0.062772689565,0.0410701514931,0.010107984056,-0.0686289190663,0.0484085856791,-0.0832306728928,
num_incomplete,0.0847679680778,-0.0281581305085,-0.203113718074,0.21067775619,0.279249216817,0.175757401152,0.163634070655,0.0444762454732,0.275862517961,-0.0373003835956,-0.191074222799,0.268106164475,0.0344873332105,0.243400476568,0.203608031561,-0.194083903487,-0.476417822004,-0.0514886864696,-0.215275867194,0.0642048316939,
complete_rate,0.141128854384,-0.132871638484,0.148548592219,0.120855828241,-0.142298819119,-0.00612151678255,-0.179288052085,-0.0866065272015,-0.0858625532474,-0.0992004132787,0.180448925165,-0.182429975805,0.0998446105306,0.0531989073237,0.1171326521,-0.13855985632,-0.112178038522,-0.144881587678,0.26959139573,0.0752118594593,
incomplete_rate,0.011673143059,-0.0201847342122,-0.270578296082,0.326989046332,0.0132419533982,0.162904653586,0.330082153871,0.0894463859104,0.217513057507,0.0799927177561,-0.118949492399,0.283103894223,0.0776509065545,-0.140763538206,-0.242011895748,0.161063491584,0.281584327879,-0.103340335385,0.151067097185,-0.116181330703,
watched_time_hour,0.115920549876,-0.146843502892,-0.0492122875055,0.221825162345,-0.0796704474846,0.0935129969902,0.00495752798889,0.0452165223095,-0.0151969144568,-0.0963245101431,0.276067826247,-0.105697156956,-0.0303451511624,-0.350346563225,-0.591737515138,-0.00199331564465,-0.403672854811,0.30663708561,-0.0647937523738,0.164418491568,
watched_time_weekday,0.0525802636187,-0.0434239733731,-0.0267147198047,0.371250884181,-0.214505040472,-0.101872826006,0.0344333354406,-0.352295477998,0.156383740044,-0.289646346145,0.0638283083066,-0.154534125737,0.287576320831,0.10595558334,0.107716241804,-0.181622446329,0.375468579396,0.168598239658,-0.412487741379,0.0232606190328,
seek_video_sum,0.169113783324,0.0219960686681,-0.0154949913683,-0.0215131031927,0.199493400734,0.0282831341958,-0.0401030545436,0.0237394447922,0.00244285459737,-0.204809235018,-0.0480764022058,0.0352042346643,0.0752889358613,-0.0224043947646,0.229949000574,0.107900891973,-0.086834093131,0.233149087335,0.0825714856,0.280968390061,
seek_video_avg,0.145023138789,0.0484395029501,-0.115735243872,0.195850299505,0.0260446334352,-0.0671089063374,0.101816839277,0.052439546716,-0.114657257421,-0.0653490716061,-0.0260074935658,-0.0088901217142,0.0802808830059,-0.215802161411,0.393835353804,0.431723827154,0.0475685381905,0.359683086043,0.210286898482,0.248204365042,
pause_video_sum,0.167708027001,-0.0961922995713,0.045304721032,0.00910689537257,0.169902597444,0.100441008112,-0.108578335866,-0.0354675636642,0.0906412704488,-0.132375536121,0.0054895196426,-0.0866883560498,0.0356809928858,-0.0396177699283,0.0884679628562,-0.0338291157081,-0.0887036107627,-0.132228134495,0.0392306031585,-0.0957252074812,
