,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,indicator
video_backward_seek_sum,0.141035197453,0.114919276199,0.0221435868952,-0.130797335213,0.0279153819789,-0.306668759963,0.121326238279,0.160191747624,-0.134288321857,-0.18861714431,0.14721500634,-0.085339871355,0.0269934820749,0.0366366362844,0.135152049963,0.00226909930129,0.160475720827,0.102514934539,0.175489922584,-0.0564862204031,-0.0306748235758,0.15842399865,
video_backward_seek_avg,0.13069266638,0.117810275863,0.0304599028395,-0.152255933104,-0.038512043009,-0.306749805452,-0.0345101771607,0.245625415326,-0.0390693044624,-0.212767798026,0.303142001765,-0.128710900783,-0.0141334484948,0.094614246703,-0.022978980333,0.0349385567367,0.0304295687729,0.12421618078,-0.0146617927518,-0.046004551637,-0.134916277585,-0.172216427631,
video_pause_forward_seek_sum,0.160003230746,0.134991301253,-0.0395547589486,0.152002667385,-0.0814234972905,0.0521839796519,0.0390532080721,-0.00331578545804,-0.0851413486422,0.0748540443216,0.0030052751825,0.114188270472,0.054242542529,0.132421139161,-0.133899855169,0.165463959374,0.126613655774,-0.139419477174,0.0897461802062,-0.0554850223323,0.0915023543776,0.0848158810259,
video_pause_forward_seek_avg,0.148981799622,0.152119478717,-0.0561567157949,0.158028922415,-0.141544704935,0.082014828495,-0.116571219693,0.0459143240959,-0.0139242211447,0.0598716664584,0.0547866120626,0.104582710743,0.073924157557,0.196302202683,-0.295467921122,0.104732028236,0.0949884800422,-0.0346783091276,-0.0832968689879,-0.00295149942386,0.0108570835373,0.00953756105912,
video_pause_backward_seek_sum,0.135276964704,0.137464121076,-0.11527543255,0.210699480102,-0.0878553700135,0.112701318461,0.201385628657,-0.119183504276,0.120261493482,-0.077321995325,-0.114225405776,-0.0369092291602,-0.0806663768315,-0.206336801309,0.243399049241,-0.12528936039,-0.198654880829,-0.0085887061197,-0.00471965818554,-0.0260037558508,0.0500639717339,0.0424979084651,
video_pause_backward_seek_avg,0.122762531335,0.149470811621,-0.126958222165,0.245127292184,-0.116461765621,0.151513342373,0.106693983885,-0.0993832058022,0.202728839814,-0.0921733502165,-0.0995876491051,-0.0422130489862,-0.0947685417646,-0.241357253482,0.191235842389,-0.125096724041,-0.247932882845,0.0290169359679,-0.105620503661,0.00700190562387,-0.0274346834414,-0.0461014299643,
video_stop_backward_seek_sum,0.115081501667,-0.04582970869,-0.190989361185,-0.222644313945,0.124012063545,-0.180509440039,0.161849739317,-0.00745573505876,0.204268045605,-0.0821976245045,-0.111402586529,0.332039587792,-0.0327665964478,-0.115454446356,-0.24157312788,-0.285974293881,0.188521739489,0.00734580390668,-0.353950346179,0.162994247193,-0.1404361409,0.469688824492,
video_stop_backward_seek_avg,0.0872438356236,-0.0547183691561,-0.209529392554,-0.225921234726,0.0355658566932,-0.202935568505,-0.0106070176471,0.101051644958,0.408060869697,0.0402027420273,-0.0825449468707,0.392805060541,0.248191331483,-0.345213353141,-0.04129531021,0.31414687426,-0.0230397118411,-0.065587025092,0.170362227334,-0.169590058673,0.133848664017,-0.332338388251,
all_type_video_forward_seek_sum,0.163097877714,0.131002156994,0.112044121831,0.00974807793073,0.115658896685,0.041927822534,-0.0744369538798,-0.0823343472511,-0.0298022281271,0.116828954098,-0.0887096444957,0.0593659328468,0.0298287934767,0.0564889548686,0.0272554999568,0.0780369836284,0.111364142816,-0.0722193031265,0.0819971429698,-0.0584021085682,0.066827981739,0.0744161265438,
all_type_video_forward_seek_avg,0.158480818565,0.149365956428,0.0952364765935,0.0136310815662,0.0132892706564,0.0680883560825,-0.214298545477,-0.00196181897312,0.0786859608473,0.113146577125,-0.0165189339788,0.00700057160345,0.0231186420904,0.0910002763962,-0.199826939454,-0.0327863678873,0.0129838853286,-0.0397604552477,-0.0540529389184,-0.028145163467,-0.116774971753,-0.0377885700867,
all_type_video_backward_seek_sum,0.159764046072,0.141115241766,-0.0423842163674,0.00918249690725,-0.0211747993727,-0.154028135895,0.178514840413,0.0505197855122,-0.0299687298604,-0.163677392771,0.0427498587837,-0.0698225382484,-0.020574927572,-0.0747144973567,0.201996067597,-0.0617160223603,0.0158585700062,0.0645053606163,0.110038204032,-0.0477504981934,0.00123206790551,0.132443057295,
all_type_video_backward_seek_avg,0.15555899887,0.159455986583,-0.0528550373689,0.0301296840544,-0.0889982562666,-0.123470053018,0.0355688065521,0.109957203845,0.0919052975982,-0.191204999953,0.145122524485,-0.102427077651,-0.0575559539579,-0.0752886213295,0.0891986452072,-0.0406240346094,-0.116425143858,0.0973388831063,-0.0650944240482,-0.0293456534877,-0.102495809596,-0.144836911086,
all_type_video_seek_sum,0.169985760703,0.14135734206,0.0594127070162,0.010021633484,0.0698420071997,-0.0298629757963,0.0172204934694,-0.0363537559617,-0.0313532913453,0.0168991445992,-0.0435732681894,0.0136204560609,0.0123138293221,0.00984006282867,0.0945020218182,0.0292405876708,0.080915426426,-0.0242742074252,0.0966647727469,-0.0573024751521,0.0454325369667,0.100011254378,
all_type_video_seek_avg,0.165389831215,0.160941176783,0.0416965976037,0.02082885747,-0.0263608702924,-0.00396887028828,-0.126690248947,0.0420616221385,0.0878998417859,-0.00108667359492,0.0463667719989,-0.0357843747601,-0.0075108066009,0.0300707481,-0.0960447274389,-0.0375439439163,-0.0373742352704,0.0122675565503,-0.061155292167,-0.030050014073,-0.117085125323,-0.0819136329995,
video_pause_sum,0.163117859444,0.121941783045,-0.0584035132068,0.159347177947,-0.0787264990223,0.0712782442381,0.0926801038191,-0.0511135941026,-0.0470178993123,0.0321177356348,-0.0278711064605,0.0897814144761,0.0133012568086,0.0238596010404,-0.0267501688966,0.0773522315779,0.0424185824018,-0.0729682039254,0.0672322517287,-0.0526936321771,0.0743274568907,0.0630319936525,
video_pause_avg,0.152355484138,0.143458367671,-0.0759207346002,0.181470351558,-0.15114514085,0.112137361298,-0.0592291551966,0.00313501854832,0.0478350808842,0.0195399252328,0.0107588704496,0.0829710264125,0.0176046070622,0.0480721128266,-0.148761786593,0.0119370003887,-0.000694352478555,0.0285295838789,-0.0703720701469,0.00185764843138,0.00143046859408,-0.00505836942986,
