username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050186,4.5,216.3125,939.0,2.75,23.58333333,69.5,3.5,28.5,102.25,0.0,0.0,0.0,10.5,8.75,1.75,0.773809524,6.436707516,1.0,7.75,0.779761905,10.5,1.0,2.75,0.306547619,20.75,2.773809524,32.25,2.8333333339999998,22.0,1.931547619,9.25,0.729166667,0.0,42.75,4.7053571430000005,41.5,3.5625,84.25,8.267857142999999,38.25,3.252976191,2.75,0.306547619,94.75,9.267857142999999,220.0,21.09523809,7.25,2.75,1.5,4.75,8.701666667000001,87.0,1,85
Y1050187,0.5,37.875,75.75,0.25,2.0,2.0,0.25,13.25,13.25,0.0,0.0,0.0,1.5,0.5,1.0,0.083333333,3.177618673,0.5,1.5,0.25,1.0,0.166666667,0.0,0.0,7.75,1.291666667,1.25,0.208333333,0.5,0.083333333,0.25,0.041666667000000004,0.0,8.25,1.375,1.5,0.25,9.75,1.625,1.25,0.208333333,0.0,0.0,11.25,1.875,22.25,3.708333333,0.0,0.0,0.0,0.0,0.0,40.0,0,20
Y1050188,5.0,92.7452381,442.75,3.5,4.95,22.75,2.75,25.54166667,73.5,0.0,0.0,0.0,3.5,1.5,2.0,0.391666667,13.84767264,1.5,2.25,0.566666667,3.5,1.0,0.25,0.083333333,25.5,6.0,1.5,0.46666666700000003,34.0,9.179166667999999,3.0,0.808333333,0.0,59.5,15.17916667,4.5,1.275,64.0,16.45416667,40.0,10.84166667,0.25,0.083333333,67.5,17.45416667,171.75,44.83333333,2.0,1.0,2.5,1.25,3.833333333,70.5,0,45
Y1050189,3.5,292.3333333,871.75,3.0,27.41666667,80.0,1.75,50.08333333,73.0,0.0,0.0,0.0,8.75,8.0,0.75,0.90625,11.88222543,4.5,5.25,0.630113636,8.25,0.95,0.5,0.05,33.25,3.9363636360000003,13.5,1.589015152,9.25,1.091098485,6.25,0.742613636,0.0,42.5,5.027462121,19.75,2.331628788,62.25,7.359090909,23.75,2.783712121,0.5,0.05,71.0,8.359090908999999,157.5,18.55189394,4.25,3.25,1.0,3.75,7.82,86.75,1,91
Y1050190,4.25,348.58333339999996,1425.75,3.25,25.875,71.5,3.0,82.9,211.0,0.0,0.0,0.0,11.75,9.25,2.5,0.8291666670000001,12.89970691,2.75,10.5,0.917708333,11.0,0.951041667,1.5,0.107291667,35.25,4.23125,48.25,4.335416667,69.5,6.091666667,23.5,2.14375,0.75,104.75,10.32291667,72.5,6.532291667000001,177.25,16.85520833,101.5,8.964583333,1.5,0.107291667,189.0,17.85520833,469.25,43.78229167,10.25,3.25,1.25,7.0,8.315833332999999,83.25,1,90
Y1050191,2.75,328.8333333,711.0,1.75,15.5625,23.75,2.25,97.4,196.0,0.0,0.0,0.0,10.0,3.25,6.75,0.243055556,2.125809515,3.25,8.75,0.6765873020000001,8.75,0.6765873020000001,0.0,0.0,153.5,12.88442461,9.5,0.7405753970000001,8.25,0.639384921,4.0,0.29811508,0.0,161.75,13.52380953,13.5,1.038690476,175.25,14.5625,20.25,1.5644841269999998,0.0,0.0,185.25,15.3125,380.75,31.43948413,0.25,0.25,0.25,0.25,0.41666666700000005,40.25,0,40
Y1050192,2.75,385.4583333,1048.75,1.75,72.875,118.5,2.25,28.20833333,59.75,0.0,0.0,0.0,12.5,9.5,3.0,0.76645542,11.325761,2.75,6.0,0.460489511,11.75,0.94375,0.75,0.063352273,11.5,0.8527316429999999,10.75,0.8113417829999999,9.0,0.692591783,7.0,0.587565559,0.0,20.5,1.5453234269999998,17.75,1.398907343,38.25,2.944230769,25.25,2.053343532,0.75,0.063352273,50.75,3.944230769,115.0,9.005157342,17.25,3.25,8.0,6.25,7.9725,66.5,1,70
Y1050193,3.0,90.95833333,401.25,1.25,16.875,31.75,2.5,9.0,31.5,0.0,0.0,0.0,5.0,3.25,1.75,0.483333334,5.095008491000001,1.25,2.75,0.4125,5.0,0.75,0.25,0.020833333,3.75,0.3125,3.25,0.425,12.5,1.95,5.25,0.7666666670000001,0.25,16.25,2.2625,8.75,1.2125,25.0,3.475,22.0,3.3125,0.25,0.020833333,30.0,4.225,77.25,11.03333333,0.5,0.5,0.25,0.5,0.083333333,31.25,0,20
Y1050194,3.25,224.16666669999998,636.25,2.5,21.375,52.75,2.25,31.625,74.5,0.0,0.0,0.0,6.25,4.0,2.25,0.47835497899999996,16.49453207,3.25,4.75,0.818722944,6.25,1.0,0.25,0.022727273,9.5,1.278679654,25.0,3.82034632,20.0,3.001082251,8.25,1.017316017,0.0,29.5,4.279761905,33.25,4.837662338,62.75,9.117424242,34.0,4.745670996,0.25,0.022727273,69.0,10.11742424,166.0,24.00324676,0.75,0.75,0.25,0.75,1.333333333,33.75,0,20
Y1050195,5.5,313.2886905,1726.75,4.5,22.64166667,100.5,4.25,43.39583334,182.75,0.0,0.0,0.0,11.25,10.0,1.25,0.911538462,12.47390845,1.0,7.75,0.6989010990000001,11.25,1.0,2.0,0.19899267399999998,19.75,1.659615385,23.5,2.083608059,107.25,9.830860806,13.5,1.2175824179999999,0.0,127.0,11.49047619,37.0,3.3011904760000004,164.0,14.79166667,130.0,11.84945055,2.0,0.19899267399999998,175.25,15.79166667,471.25,42.63177656,1.75,1.5,0.5,1.75,1.5416666669999999,57.5,0,40
