username,qz_mean,video_stop_backward_seek_sum,video_pause_backward_seek_avg,final_score
Y1050311,-0.246237365168,-0.367373012486,0.430526684165,20.0
Y1050312,-0.869548265828,-0.234670974544,-0.323956742677,10.0
Y1050313,-0.981976826648,-0.122586681421,-0.211360814654,30.0
Y1050314,-0.0735970975718,1.42817819164,-0.175184842632,30.0
Y1050315,0.227285894775,0.315744964267,0.223332185011,20.0
Y1050316,-0.767691845315,0.0962375582795,0.794072800931,10.0
Y1050317,1.19034922564,0.542046904314,-0.386039061008,55.0
Y1050318,3.12248036196,1.43411447172,-0.354091004416,40.0
Y1050319,0.690649103648,-0.488091679715,-1.20526817886,76.0
Y1050320,-0.377259149241,0.444451777005,-0.50843620859,10.0
Y1050321,-0.194976900909,-0.907176733279,-0.999532310815,20.0
Y1050322,2.33991381018,-2.32833556093,-0.418032005756,99.0
Y1050323,2.023211825,-1.30068289798,-1.08438154346,88.0
Y1050324,0.639662850415,-0.820425175347,0.756806498671,30.0
Y1050325,0.220614928389,-0.466765227041,0.995625606548,20.0
Y1050326,0.855217845388,-0.866316538856,1.01772391742,20.0
Y1050327,-0.331587221504,1.57125234239,-0.238783149039,0.0
Y1050328,3.63991569651,-1.98806533945,2.89633994243,71.0
Y1050329,0.151893206144,-0.981024904487,-0.579665199938,20.0
Y1050330,-0.399579867565,0.801797452788,0.459283765354,10.0
Y1050331,-0.978586510915,0.141136744042,0.538796453548,10.0
Y1050332,1.51755985392,1.34446304651,-0.521652428863,40.0
Y1050333,-1.20683394829,0.101581904824,0.0138310413918,10.0
Y1050334,-0.415313601753,-0.331376913046,0.225869235947,20.0
Y1050335,1.08512273998,0.917043104533,0.48132805952,10.0
Y1050336,0.121857258827,-1.06277869875,-0.864706548358,50.0
Y1050337,-0.760531946406,-0.257880399793,-0.191998507755,10.0
Y1050338,-0.869548265828,-0.234670974544,-0.323956742677,10.0
Y1050339,-0.644691144188,-0.458839560789,-0.549148598723,20.0
Y1050340,0.0866047397826,-0.261937828543,1.33078265858,10.0
Y1050341,-0.0735074979518,-0.315998558541,0.888291143253,20.0
Y1050342,0.189992458466,-1.07728458953,-0.782232651532,50.0
Y1050343,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050344,1.98048438376,-1.63477468338,0.887689969957,40.0
Y1050345,-1.09440538747,-0.0105023882982,-0.0987648866312,10.0
Y1050346,-1.09440538747,-0.0105023882982,-0.0987648866312,50.0
Y1050347,1.55551009503,-0.0645857832578,-1.43613894874,20.0
Y1050348,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050349,-0.283563623271,-0.712019928596,-0.609392661116,65.0
Y1050350,0.51646003893,0.606773810013,1.56809948965,10.0
Y1050351,0.355513382966,-1.20067217424,-0.83056320501,70.0
Y1050352,0.603367928423,-1.5178852869,-1.27660244215,80.0
Y1050353,1.8555208642,2.32088725979,-0.146884067448,50.0
Y1050354,1.28823938432,-1.13480304473,1.04450359394,50.0
Y1050355,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050356,-0.361108483502,-0.25476870221,0.540166031192,30.0
Y1050357,0.438494050823,0.447075849513,0.976356980747,20.0
Y1050358,-0.800282961127,-0.161269056798,0.00856957666337,50.0
Y1050359,-1.09440538747,-0.0105023882982,-0.0987648866312,20.0
Y1050360,0.71832032002,1.95536208151,-0.245665287998,30.0
Y1050361,-0.358523305706,-0.51976430207,-0.202758232052,30.0
Y1050362,1.49580847965,-0.83580582195,-0.728036199529,80.0
Y1050363,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050364,1.25914522171,-0.873568944483,-1.26318849777,72.0
Y1050365,1.63273432912,-0.776808741613,-0.313610526878,96.0
Y1050366,-0.378985791263,-0.1628142415,0.767211030048,10.0
Y1050367,0.661434112468,-1.35395068534,-0.708947547226,90.0
Y1050368,0.167822447868,0.328404650756,0.151354966022,20.0
Y1050369,-0.277898905222,0.599594929693,0.109202865731,10.0
Y1050370,-0.869548265828,-0.234670974544,-0.323956742677,20.0
Y1050371,-0.757119705008,-0.346755267666,-0.4365526707,40.0
Y1050372,2.37825590608,2.72908289645,-1.04056390019,50.0
Y1050373,-0.912711521947,-0.0491847636758,0.121165504686,20.0
Y1050374,1.09248230227,0.562882638397,-0.504501567658,30.0
Y1050375,0.550922611642,0.33499155639,0.863761052724,30.0
Y1050376,1.09212994107,-1.88638726971,-1.43103649285,90.0
Y1050377,-0.0825483400888,-1.0192610264,-1.11212823884,40.0
Y1050378,5.0104426864,-1.76036344857,3.02886544879,93.0
Y1050379,1.66213005795,-1.47884907664,0.751024130408,60.0
Y1050380,0.418753049675,-0.861542187364,0.240722890484,80.0
Y1050381,2.91857015319,2.4377539198,-0.883912324983,55.0
Y1050382,0.152194621595,1.11566222451,-0.647929912718,20.0
Y1050383,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050384,1.99155990468,2.29192473419,0.0177836791607,30.0
Y1050385,2.13726588158,-0.364737606956,-1.22932467839,40.0
Y1050386,-0.134169308235,-0.479380554824,0.317494386094,30.0
Y1050387,1.37666941987,2.77542770251,0.268230671693,10.0
Y1050388,-0.532262583368,-0.570923853912,-0.661744526746,20.0
Y1050389,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050390,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050391,-1.09440538747,-0.0105023882982,-0.0987648866312,10.0
Y1050392,-0.419834022548,-0.683008147034,-0.774340454769,20.0
