username,active_num_days,seek_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Problem_num_day,hw_mean,exam_mean,predict_score,real_score
Y1050383,0.4,0.0,0.0,0.0,0.4,0.0,0.0,1.6,10.5881152092,10.0
Y1050384,2.8,7.4,43.4,43.8,71.2,0.0,0.0,3.4,19.3672900406,30.0
Y1050385,4.0,9.6,18.8,81.0,159.6,0.6,2.352941176,8.2,60.1590886966,40.0
Y1050386,3.8,2.2,5.0,3.6,13.4,0.4,2.019411765,4.2,33.7319823312,30.0
Y1050387,3.4,5.6,17.6,19.8,30.6,0.2,0.0,0.4,-1.23882788589,10.0
Y1050388,0.6,0.6,0.2,0.2,2.2,0.0,0.0,3.4,22.9557834684,20.0
Y1050389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050390,0.6,0.0,0.0,0.0,1.2,0.2,0.392352941,1.2,8.86364495346,10.0
Y1050391,1.0,1.8,2.2,3.6,10.2,0.0,0.0,2.4,15.4725962808,10.0
Y1050392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,23.4081787271,20.0
Y1050393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050394,1.0,2.2,0.6,2.6,6.4,0.0,1.176470588,2.6,21.7356381207,20.0
Y1050395,0.6,1.0,11.4,0.0,2.8,0.0,0.0,0.4,1.66469833981,10.0
Y1050396,4.8,7.2,46.4,26.8,51.2,0.6,3.411764706,3.2,29.6267936585,20.0
Y1050397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,19.2144871317,20.0
Y1050398,0.2,0.2,1.0,0.0,2.4,0.0,0.0,0.0,-0.552110945824,0.0
Y1050399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050400,2.8,3.6,20.4,6.6,35.2,0.2,1.514705882,2.8,22.0792266348,20.0
Y1050401,0.4,0.2,0.2,0.0,0.8,0.2,0.0,1.6,10.1419667951,10.0
Y1050402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
