username,forum_num_days,qz_mean,video_stop_backward_seek_sum,mt_online_num_day,final_score
Y1050311,-0.367006573568,0.267630160516,-0.413703872654,0.562685981105,20.0
Y1050312,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050313,-0.151180816518,0.292178396581,-0.360896866448,-0.476009712238,30.0
Y1050314,-0.293730516897,0.29637510164,-0.262080949593,-0.630129321595,30.0
Y1050315,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,20.0
Y1050316,-0.794655674492,0.280220275687,-0.117256122237,0.100327153266,10.0
Y1050317,2.28589186145,-1.80240188639,0.801840410636,0.054976886432,55.0
Y1050318,2.56913039174,-0.722068913869,-0.314518150527,-1.76694828408,40.0
Y1050319,2.27616650161,0.28252099792,-1.63870568912,-0.395726569319,76.0
Y1050320,-0.827361457927,-0.232250445716,0.567842102232,-0.142995661893,10.0
Y1050321,-0.224456873189,0.263433455457,-0.512519789509,0.716805590462,20.0
Y1050322,5.72998100009,7.26620765873,3.82883155399,1.15381254657,99.0
Y1050323,3.45713437702,-0.234778422806,-1.59251187583,-0.598907813243,88.0
Y1050324,-0.438281423651,0.269728513042,-0.3642959143,0.485626176542,30.0
Y1050325,-0.58083112403,0.273925218101,-0.265479997445,0.331506567186,20.0
Y1050326,-0.723380824195,0.278121923154,-0.166664080739,0.17738695806,20.0
Y1050327,-0.574967840816,-0.753114577233,1.05530849314,-0.0780792585699,0.0
Y1050328,1.91979225077,0.293012760565,-1.39166589705,-0.781025592596,71.0
Y1050329,-0.153182023106,0.26133510293,-0.561927747862,0.793865395025,20.0
Y1050330,-0.613536907465,-0.238545503302,0.419618227023,0.0881837520263,10.0
Y1050331,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,10.0
Y1050332,2.57299246837,-1.77995200285,0.805239458637,-0.90665900258,40.0
Y1050333,-1.00848022495,0.286515333272,0.0309677529711,-0.130852260654,10.0
Y1050334,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,20.0
Y1050335,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050336,0.274467077818,0.248744987759,-0.858375498278,1.25622422286,50.0
Y1050337,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050338,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050339,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,20.0
Y1050340,0.182213010515,-2.31570697178,2.51770766587,0.1166699514,10.0
Y1050341,-0.438281423651,0.269728513042,-0.3642959143,0.485626176542,20.0
Y1050342,-0.010632322727,0.257138397871,-0.660743664717,0.947985004381,50.0
Y1050343,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050344,0.885236152143,-0.251767612744,-0.416918017872,0.436564541969,40.0
Y1050345,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,10.0
Y1050346,0.958512208816,-0.22302267162,-0.265295094812,-0.756250760733,50.0
Y1050347,-0.257162656624,-0.249037265946,0.17257843496,0.473482775303,20.0
Y1050348,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050349,0.848668292085,0.293644754836,-0.851577402574,-0.667047554699,65.0
Y1050350,-0.574967840816,-0.753114577233,1.05530849314,-0.0780792585699,10.0
Y1050351,1.99106710085,0.290914408039,-1.44107385541,-0.703965788033,70.0
Y1050352,2.2473227948,-1.28783281247,0.166150144525,0.221239897029,80.0
Y1050353,1.1761988359,-1.28720081819,0.706238639152,0.335217934696,50.0
Y1050354,0.956511002439,-0.253865965276,-0.466325976373,0.513624346763,50.0
Y1050355,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,10.0
Y1050356,0.315037351054,-0.23498079252,-0.0216543507487,-0.179913894996,30.0
Y1050357,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,20.0
Y1050358,1.67326191687,-0.213162903252,-0.558343797375,-1.25552782167,50.0
Y1050359,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,20.0
Y1050360,-0.794655674492,0.280220275687,-0.117256122237,0.100327153266,30.0
Y1050361,-0.509556273733,0.271826865569,-0.314887955947,0.40856637198,30.0
Y1050362,1.56141679355,0.272661229553,-1.34565698655,0.103550491622,80.0
Y1050363,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050364,2.20875372815,-0.773263738537,-0.469540121591,0.387502907625,72.0
Y1050365,2.88493436935,-0.248834896233,-1.39827909012,0.054488857049,96.0
Y1050366,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050367,2.06034074456,0.257972761856,-1.69151269532,0.642969124024,90.0
Y1050368,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,20.0
Y1050369,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050370,-0.865930524575,0.282318628213,-0.0678481638838,0.0232673487032,20.0
Y1050371,-0.224456873189,0.263433455457,-0.512519789509,0.716805590462,40.0
Y1050372,2.64426731866,-1.78205035538,0.755831500135,-0.829599197786,50.0
