username,video_stop_avg,forum_num_days,problem_avg_count,video_backward_seek_avg,qz_mean,watched_time_hour,final_score
Y1050377,-0.263608711839,-0.2651792933,-0.502021144947,-0.234194947128,1.13588605817,-0.32741962183,40.0
Y1050378,3.30252014171,-1.3197599548,0.836983210668,-1.17301945325,0.927922715015,-0.434240024063,93.0
Y1050379,0.256404743163,-0.526249095224,-0.995918836409,-0.556373382565,0.862651689404,-1.3115980439,60.0
Y1050380,1.99027257832,-0.564870015289,-0.781595755324,0.590951609299,0.153784731718,0.826962792699,80.0
Y1050381,2.08026904057,-0.568075582948,0.388571604132,0.0513175091245,0.521726513512,0.161893286466,55.0
Y1050382,0.0800961705975,-0.336848510774,1.33528331698,-0.913142506962,-0.617239737722,-1.19782909344,20.0
Y1050383,-1.18061102175,-0.0673864310762,0.856460783291,-0.661808944665,-0.314760971871,-0.608068425293,10.0
Y1050384,2.53272876667,5.71431369784,0.225828118281,-1.24583866178,-0.658555855992,0.598865628126,30.0
Y1050385,4.69461197916,0.941886547815,1.85156212712,3.14472504396,-0.403411266549,-1.79518222178,40.0
Y1050386,-0.786685980775,-0.0675052638842,-0.615677900773,0.068257274522,0.407919261421,-0.0734423626983,30.0
Y1050387,1.41711916178,0.118318192954,1.64228787386,0.952993555197,-0.143720417395,1.22561079755,10.0
Y1050388,-1.34230384485,0.118768980521,-0.532257670321,-0.0306899001582,0.819095033482,-0.747001944216,20.0
Y1050389,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050390,-1.82979421939,0.215011519081,-0.123549819626,0.0074415162658,-0.0165720640962,-0.159430348273,10.0
Y1050391,-1.77338801808,0.22868115053,-0.150752261381,0.0143314351643,0.253451214525,-0.297807045773,10.0
Y1050392,-1.28072039161,0.103067241968,-0.586758442957,-0.0371215194817,0.899901293229,-0.811172643911,20.0
Y1050393,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050394,-0.347760790645,-0.316877773475,0.684457757769,-0.587139927789,-0.175787674795,0.0142501030646,20.0
Y1050395,-1.89655492455,0.260084627635,-0.0417507161102,0.0271946738113,0.0918386950308,-0.169465646383,10.0
Y1050396,1.61305124798,-0.109036802829,0.990411170787,0.77250518514,-0.0609056649393,1.04209127335,20.0
Y1050397,-1.65022111141,0.197277673378,-0.259753806816,0.00146819649797,0.415063734262,-0.426148445356,20.0
Y1050398,-1.72554494257,0.115170954159,-0.206772437715,-0.0237169097049,-0.419217021039,0.0834243706812,0.0
Y1050399,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050400,0.512031041689,-0.552376771565,1.14818373747,-0.710494535468,-0.204022830086,0.479962061042,20.0
