username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050297,1.0,11.0,11.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.94255417,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050298,1.0,422.0,422.0,1.0,40.0,1.0,32.0,4.0,2.0,0.5,3.123707967,3.0,0.75,4.0,1.0,0.0,0.0,12.0,3.0,0.75,8.0,2.0,3.0,0.0,0.0,20.0,5.0,6.0,1.5,26.0,6.5,15.0,3.75,0.0,0.0,30.0,7.5,71.0,17.75,0.0,0.0,0.0,0.0,0.0,8.0,10.0
Y1050299,2.0,375.5,751.0,1.0,68.0,1.0,86.0,6.0,4.0,0.666666667,11.32112126,5.0,0.833333333,5.0,0.833333333,0.0,0.0,30.0,17.0,2.833333333,12.0,2.0,3.0,0.0,0.0,42.0,7.0,20.0,3.333333333,62.0,10.33333333,19.0,3.166666667,0.0,0.0,68.0,11.33333333,149.0,24.83333333,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Y1050300,2.0,207.0,414.0,1.0,59.0,1.0,4.0,1.0,0.0,0.0,10.52335449,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Y1050301,3.0,448.33333330000005,1345.0,3.0,127.0,3.0,156.0,13.0,12.0,0.923076923,14.12902473,7.0,0.538461538,9.0,0.692307692,2.0,0.153846154,98.0,14.0,1.076923077,11.0,0.846153846,4.0,0.0,0.0,109.0,8.384615385,18.0,1.384615385,127.0,9.769230769,22.0,1.692307692,2.0,0.153846154,140.0,10.76923077,291.0,22.38461538,3.0,3.0,1.0,3.0,6.0,0.0,10.0
Y1050302,3.0,412.6666667,1238.0,3.0,108.0,3.0,115.0,18.0,13.0,0.7222222220000001,15.12970709,8.0,0.444444444,16.0,0.8888888890000001,0.0,0.0,17.0,28.0,1.5555555559999998,34.0,1.888888889,9.0,0.0,0.0,51.0,2.833333333,37.0,2.055555556,88.0,4.888888889,59.0,3.277777778,0.0,0.0,106.0,5.888888889,253.0,14.05555556,3.0,3.0,2.0,3.0,9.8,0.0,10.0
Y1050303,3.0,428.6666667,1286.0,1.0,64.0,3.0,310.0,10.0,8.0,0.8,8.33950058,10.0,1.0,8.0,0.8,2.0,0.2,177.0,42.0,4.2,43.0,4.3,6.0,2.0,0.2,220.0,22.0,50.0,5.0,270.0,27.0,54.0,5.4,2.0,0.2,280.0,28.0,606.0,60.6,3.0,3.0,1.0,3.0,7.534,10.0,20.0
Y1050304,3.0,417.3333333,1252.0,2.0,124.0,3.0,117.0,16.0,10.0,0.625,11.117684,5.0,0.3125,16.0,1.0,4.0,0.25,38.0,12.0,0.75,30.0,1.875,10.0,0.0,0.0,68.0,4.25,22.0,1.375,90.0,5.625,52.0,3.25,4.0,0.25,106.0,6.625,252.0,15.75,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050305,5.0,317.4,1587.0,3.0,144.0,4.0,106.0,21.0,15.0,0.7142857140000001,13.87518379,10.0,0.476190476,20.0,0.952380952,6.0,0.28571428600000004,10.0,14.0,0.666666667,48.0,2.285714286,7.0,1.0,0.047619048,58.0,2.761904762,22.0,1.047619048,80.0,3.80952381,70.0,3.333333333,6.0,0.28571428600000004,101.0,4.80952381,257.0,12.23809524,3.0,3.0,1.0,3.0,8.6,10.0,20.0
Y1050306,6.0,215.6666667,1294.0,4.0,140.0,2.0,24.0,5.0,1.0,0.2,3.615495666,3.0,0.6,4.0,0.8,0.0,0.0,6.0,0.0,0.0,6.0,1.2,0.0,0.0,0.0,12.0,2.4,0.0,0.0,12.0,2.4,9.0,1.8,0.0,0.0,17.0,3.4,38.0,7.6,3.0,3.0,2.0,3.0,4.95,0.0,10.0
Y1050307,1.0,49.0,49.0,0.0,0.0,1.0,6.0,3.0,1.0,0.333333333,6.008414577999999,1.0,0.333333333,2.0,0.666666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.666666667,0.0,0.0,2.0,0.666666667,2.0,0.666666667,0.0,0.0,5.0,1.666666667,9.0,3.0,3.0,3.0,1.0,3.0,5.666,0.0,10.0
Y1050308,5.0,459.4,2297.0,4.0,129.0,4.0,517.0,19.0,14.0,0.736842105,11.09202846,12.0,0.6315789470000001,19.0,1.0,1.0,0.052631579000000005,172.0,104.0,5.473684211,156.0,8.210526316000001,27.0,0.0,0.0,328.0,17.26315789,131.0,6.894736842,459.0,24.15789474,200.0,10.52631579,1.0,0.052631579000000005,478.0,25.15789474,1138.0,59.89473684,3.0,3.0,1.0,3.0,6.75,0.0,10.0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050310,3.0,143.66666669999995,431.0,3.0,42.0,2.0,20.0,7.0,4.0,0.571428571,10.64874408,3.0,0.428571429,6.0,0.857142857,1.0,0.14285714300000002,0.0,4.0,0.571428571,5.0,0.7142857140000001,1.0,0.0,0.0,5.0,0.7142857140000001,5.0,0.7142857140000001,10.0,1.428571429,11.0,1.571428571,1.0,0.14285714300000002,17.0,2.428571429,39.0,5.571428571,0.0,0.0,0.0,0.0,0.0,10.0,10.0
Y1050311,6.0,426.6666667,2560.0,5.0,147.0,5.0,325.0,22.0,10.0,0.454545455,1.665251881,22.0,1.0,18.0,0.818181818,1.0,0.045454545,106.0,34.0,1.545454545,110.0,5.0,25.0,1.0,0.045454545,216.0,9.818181818,60.0,2.727272727,276.0,12.54545455,142.0,6.454545455,1.0,0.045454545,298.0,13.54545455,717.0,32.59090909,1.0,1.0,1.0,1.0,1.1,6.0,20.0
Y1050312,2.0,209.5,419.0,1.0,26.0,1.0,32.0,10.0,2.0,0.2,10.60506733,8.0,0.8,9.0,0.9,0.0,0.0,9.0,1.0,0.1,9.0,0.9,0.0,0.0,0.0,18.0,1.8,1.0,0.1,19.0,1.9,12.0,1.2,0.0,0.0,29.0,2.9,60.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050313,1.0,118.0,118.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,10.88566818,1.0,0.5,2.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,6.0,3.0,0.0,0.0,6.0,3.0,5.0,2.5,0.0,0.0,8.0,4.0,19.0,9.5,3.0,3.0,2.0,3.0,5.6,8.0,30.0
Y1050314,2.0,808.0,1616.0,1.0,161.0,2.0,138.0,18.0,15.0,0.833333333,10.95713652,15.0,0.833333333,13.0,0.7222222220000001,4.0,0.222222222,34.0,21.0,1.166666667,10.0,0.5555555560000001,9.0,0.0,0.0,44.0,2.444444444,30.0,1.666666667,74.0,4.1111111110000005,28.0,1.5555555559999998,4.0,0.222222222,92.0,5.1111111110000005,198.0,11.0,3.0,3.0,2.0,3.0,5.0,7.0,30.0
Y1050315,4.0,699.25,2797.0,3.0,184.0,4.0,494.0,24.0,15.0,0.625,12.74734512,21.0,0.875,24.0,1.0,0.0,0.0,201.0,47.0,1.958333333,131.0,5.458333333,19.0,0.0,0.0,332.0,13.83333333,66.0,2.75,398.0,16.58333333,170.0,7.083333333,0.0,0.0,422.0,17.58333333,990.0,41.25,2.0,2.0,1.0,2.0,6.034,8.0,20.0
Y1050316,4.0,282.0,1128.0,2.0,84.0,3.0,102.0,13.0,13.0,1.0,12.45474,6.0,0.461538462,12.0,0.923076923,5.0,0.384615385,12.0,18.0,1.384615385,38.0,2.923076923,7.0,2.0,0.153846154,50.0,3.846153846,27.0,2.076923077,77.0,5.923076922999999,55.0,4.230769231,5.0,0.384615385,90.0,6.923076922999999,227.0,17.46153846,3.0,3.0,1.0,3.0,3.6,6.0,10.0
Y1050317,4.0,367.0,1468.0,4.0,135.0,4.0,123.0,19.0,12.0,0.6315789470000001,11.298445,7.0,0.368421053,19.0,1.0,1.0,0.052631579000000005,10.0,28.0,1.473684211,43.0,2.263157895,11.0,0.0,0.0,53.0,2.789473684,39.0,2.0526315790000003,92.0,4.8421052630000005,71.0,3.736842105,1.0,0.052631579000000005,111.0,5.842105263,275.0,14.47368421,3.0,3.0,1.0,3.0,5.0,10.0,55.0
Y1050318,5.0,221.0,1105.0,4.0,30.0,5.0,180.0,18.0,15.0,0.833333333,14.22782985,13.0,0.7222222220000001,18.0,1.0,2.0,0.111111111,12.0,71.0,3.944444444,54.0,3.0,15.0,0.0,0.0,66.0,3.666666667,86.0,4.777777778,152.0,8.444444444,85.0,4.722222222,2.0,0.111111111,170.0,9.444444444,409.0,22.72222222,3.0,3.0,2.0,3.0,6.0,8.0,40.0
Y1050319,2.0,243.5,487.0,2.0,44.0,2.0,30.0,9.0,9.0,1.0,14.40848479,3.0,0.333333333,9.0,1.0,1.0,0.111111111,4.0,3.0,0.333333333,9.0,1.0,4.0,0.0,0.0,13.0,1.4444444440000002,7.0,0.7777777779999999,20.0,2.222222222,21.0,2.333333333,1.0,0.111111111,29.0,3.222222222,71.0,7.888888888999999,0.0,0.0,0.0,0.0,3.6,10.0,76.0
Y1050320,7.0,45.42857143,318.0,1.0,30.0,1.0,22.0,6.0,5.0,0.833333333,11.08736,3.0,0.5,5.0,0.833333333,1.0,0.166666667,8.0,4.0,0.666666667,1.0,0.166666667,0.0,0.0,0.0,9.0,1.5,4.0,0.666666667,13.0,2.166666667,5.0,0.833333333,1.0,0.166666667,19.0,3.166666667,38.0,6.333333333,0.0,0.0,0.0,0.0,0.0,8.0,10.0
Y1050321,1.0,268.0,268.0,1.0,29.0,1.0,14.0,5.0,3.0,0.6,13.77086523,1.0,0.2,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,6.0,1.2,0.0,0.0,6.0,1.2,6.0,1.2,0.0,0.0,11.0,2.2,23.0,4.6,0.0,0.0,0.0,0.0,0.0,8.0,20.0
Y1050322,7.0,171.71428569999995,1202.0,5.0,60.0,7.0,129.0,18.0,12.0,0.666666667,12.15075975,9.0,0.5,17.0,0.944444444,6.0,0.333333333,8.0,32.0,1.777777778,49.0,2.722222222,16.0,0.0,0.0,57.0,3.166666667,48.0,2.666666667,105.0,5.833333333,77.0,4.277777778,6.0,0.333333333,123.0,6.833333333,311.0,17.27777778,3.0,3.0,2.0,3.0,9.6,10.0,99.0
Y1050323,6.0,278.6666667,1672.0,4.0,117.0,6.0,160.0,18.0,16.0,0.8888888890000001,13.125647099999998,12.0,0.666666667,18.0,1.0,2.0,0.111111111,15.0,67.0,3.722222222,26.0,1.4444444440000002,13.0,0.0,0.0,41.0,2.277777778,80.0,4.444444444,121.0,6.722222222,54.0,3.0,2.0,0.111111111,139.0,7.722222222,316.0,17.55555556,3.0,3.0,3.0,3.0,9.8,10.0,88.0
Y1050324,2.0,633.5,1267.0,1.0,73.0,2.0,264.0,21.0,15.0,0.7142857140000001,12.25393362,18.0,0.857142857,21.0,1.0,1.0,0.047619048,140.0,42.0,2.0,41.0,1.952380952,13.0,2.0,0.095238095,181.0,8.619047619,57.0,2.714285714,238.0,11.33333333,75.0,3.571428571,2.0,0.095238095,259.0,12.33333333,574.0,27.33333333,3.0,3.0,2.0,3.0,8.934,10.0,30.0
Y1050325,5.0,390.8,1954.0,3.0,158.0,2.0,156.0,18.0,13.0,0.7222222220000001,11.36294978,13.0,0.7222222220000001,18.0,1.0,5.0,0.27777777800000003,12.0,15.0,0.833333333,55.0,3.0555555560000003,15.0,3.0,0.166666667,67.0,3.722222222,33.0,1.833333333,100.0,5.555555556,82.0,4.555555556,5.0,0.27777777800000003,118.0,6.555555556,305.0,16.94444444,3.0,3.0,2.0,3.0,7.084,5.0,20.0
