username,active_num_days,problem_num_days,problem_avg_count,problem_sum_count,num_incomplete,seek_video_sum,pause_video_sum,stop_video_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_backward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_avg,video_pause_sum,video_events_avg,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,final_score
104602019,2.722222222,0.388888889,9.101851852000001,14.44444444,1.277777778,3.166666667,2.888888889,2.5,1.4657297180000002,17.72222222,2.720216049,1.777777778,1.544102734,20.61111111,3.111585097,4.655687831,15.88888889,14.3219687,0.944444444,0.611111111,1.0,3
104602020,0.833333333,0.222222222,10.63888889,12.16666667,0.166666667,0.055555556,0.166666667,0.0,0.7777777779999999,0.7777777779999999,0.7777777779999999,0.055555556,0.7777777779999999,0.833333333,0.833333333,1.611111111,0.666666667,4.5,0.7222222220000001,0.5,0.7222222220000001,2
104602021,1.277777778,0.111111111,2.277777778,4.555555556,0.388888889,0.388888889,0.388888889,0.0,1.198412698,0.666666667,0.190476191,0.166666667,1.222222222,0.833333333,0.261904762,1.484126984,1.4444444440000002,4.253968254,0.611111111,0.333333333,0.611111111,3
104602022,1.944444444,0.111111111,9.388888889,9.388888889,1.222222222,3.444444444,3.611111111,4.333333333,1.992633442,7.833333333,1.094279101,1.277777778,2.1038262530000003,10.27777778,1.40284197,3.506668223,7.1111111110000005,9.482092281,0.7222222220000001,0.5555555560000001,0.7222222220000001,3
104602023,0.8888888890000001,0.166666667,1.611111111,4.833333333,0.7222222220000001,0.5555555560000001,0.5555555560000001,0.0,0.472222222,0.388888889,0.168981482,0.0,0.4791666670000001,0.388888889,0.168981482,0.648148148,0.8888888890000001,1.914351852,0.7777777779999999,0.444444444,0.8888888890000001,3
104602024,1.277777778,0.166666667,5.583333333,5.722222222,0.5,0.388888889,0.444444444,0.111111111,0.15555555599999998,0.055555556,0.011111111000000002,0.166666667,0.166666667,0.222222222,0.07777777799999999,0.244444444,0.833333333,1.227777778,0.5,0.333333333,0.5555555560000001,2
104602025,1.888888889,0.333333333,3.805555556,9.388888889,0.444444444,0.222222222,0.611111111,0.444444444,0.599206349,0.111111111,0.035714286,0.0,0.599206349,0.166666667,0.043650794000000014,0.642857143,1.111111111,1.794642857,1.0,0.5555555560000001,1.0555555559999998,2
104602026,0.944444444,0.0,0.0,0.0,0.666666667,0.444444444,0.666666667,0.333333333,0.035714286,0.222222222,0.031746032,0.111111111,0.043650794000000014,0.388888889,0.055555556,0.099206349,1.611111111,1.484920635,0.0,0.0,0.0,0
104602027,2.166666667,0.388888889,5.0,7.5,1.777777778,1.611111111,2.277777778,0.611111111,1.4376743630000002,1.166666667,0.22979798,0.5555555560000001,1.472354497,1.722222222,0.331481482,1.803835979,4.555555556,5.887241462,0.8888888890000001,0.5555555560000001,0.8888888890000001,1
104602028,1.0,0.444444444,9.777777777999999,14.5,0.111111111,0.444444444,1.833333333,2.5,0.01468254,0.833333333,0.100793651,0.444444444,0.020238095,1.333333333,0.15158730199999998,0.171825397,7.5,2.235714286,0.833333333,0.444444444,0.833333333,3
104602029,1.611111111,0.111111111,9.833333332999999,9.833333332999999,1.222222222,1.5,1.777777778,1.388888889,0.728535354,1.722222222,0.610942761,0.5,0.802525253,2.666666667,0.781902357,1.584427609,3.944444444,5.310858586,1.111111111,0.833333333,1.333333333,2
104602030,0.7777777779999999,0.055555556,4.5,4.5,0.5555555560000001,1.0,1.5,1.166666667,0.8310185179999999,3.944444444,0.418253968,1.277777778,0.877380952,5.666666667,0.610846561,1.4882275130000002,8.5,4.954365079,0.611111111,0.388888889,0.666666667,1
104602031,1.388888889,0.611111111,8.023148147999999,12.05555556,0.944444444,0.444444444,1.0555555559999998,0.388888889,1.095328283,1.777777778,0.368055556,0.111111111,1.150883838,1.944444444,0.407828283,1.558712121,2.166666667,4.264520202,0.666666667,0.5555555560000001,0.7222222220000001,1
104602032,0.111111111,0.055555556,0.944444444,0.944444444,0.055555556,0.055555556,0.111111111,0.166666667,0.208333333,0.111111111,0.027777778,0.0,0.208333333,0.111111111,0.027777778,0.236111111,0.166666667,0.638888889,0.111111111,0.111111111,0.111111111,1
104602033,2.111111111,1.0555555559999998,9.087962962999999,18.44444444,1.666666667,2.277777778,2.555555556,2.0,0.8632085509999999,3.777777778,0.435691623,0.944444444,0.921499797,5.166666667,0.663750601,1.585250398,5.888888889,6.025876901,0.7222222220000001,0.444444444,0.7222222220000001,3
104602035,1.833333333,0.222222222,5.194444444,7.5,1.4444444440000002,1.4444444440000002,2.444444444,1.944444444,0.246803351,4.333333333,0.4042989420000001,1.666666667,0.27720458600000003,6.722222222,0.646626984,0.92383157,6.888888889,4.238073192,1.333333333,1.166666667,1.722222222,3
104602037,1.5,0.833333333,14.92592593,24.38888889,1.4444444440000002,1.944444444,1.4444444440000002,0.444444444,3.76483424,2.833333333,0.399371924,0.166666667,3.807342657,3.111111111,0.443376068,4.2507187260000014,3.5,10.24664595,1.111111111,0.611111111,1.277777778,2
104602501,2.5,0.7222222220000001,3.611111111,10.33333333,1.388888889,2.611111111,3.944444444,3.5555555560000003,1.046946649,4.444444444,0.655908289,2.055555556,1.23957231,7.611111111,1.010934744,2.250507055,13.05555556,8.636816578,0.611111111,0.388888889,0.611111111,1
104602502,2.277777778,0.666666667,12.08333333,16.88888889,1.777777778,4.0,4.388888889,2.888888889,3.116595442,10.5,1.821153846,1.777777778,3.226994302,13.22222222,2.275213675,5.502207977,18.77777778,16.83532764,1.388888889,1.0,1.5,2
