username,active_num_days,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,video_backward_seek_avg,video_events_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050223,1.333333333,489.1666667,1.166666667,18.16666667,38.5,1.166666667,5.0,4.5,0.4375,0.424242424,103.1666667,0.5,0.166666667,0.5,0.235294118,24.66666667,0
Y1050224,2.5,453.33333330000005,1.666666667,17.375,33.33333333,2.0,7.166666667,7.0,0.8214285720000001,0.841346154,119.8333333,0.666666667,0.166666667,0.666666667,2.470588235,86.16666667,2
Y1050225,4.5,819.3333332999998,3.166666667,18.0,67.0,4.0,9.833333332999999,9.333333332999999,0.894444445,2.407407407,192.3333333,2.5,2.666666667,3.833333333,7.723529412,71.33333333,2
Y1050226,1.333333333,687.1666667000002,0.333333333,37.08333333,74.16666667,1.0,9.333333332999999,7.333333333,0.5085470089999999,0.397435898,116.0,0.333333333,0.166666667,0.333333333,0.0,60.83333333,1
Y1050227,1.166666667,168.5,0.666666667,5.333333333,10.0,0.833333333,2.666666667,2.5,0.476190476,0.314285714,34.33333333,0.333333333,0.166666667,0.333333333,0.0,18.0,0
Y1050228,3.166666667,972.8333332999997,2.333333333,22.625,67.0,3.0,11.66666667,11.5,0.8240740740000001,1.21958491,285.1666667,2.0,0.833333333,2.166666667,5.674117647,66.33333333,2
Y1050229,5.0,988.1666667000003,3.0,21.13888889,72.83333333,3.166666667,10.83333333,10.83333333,0.833333333,0.6814688240000001,208.0,3.0,2.166666667,5.0,9.980588235,100.0,3
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050231,0.333333333,52.83333333,0.0,0.0,0.0,0.333333333,3.666666667,2.333333333,0.216666667,0.0,7.833333333,0.333333333,0.833333333,0.333333333,0.352941176,6.666666667,0
Y1050232,1.166666667,262.8333333,0.833333333,7.916666667,9.0,1.0,2.833333333,2.833333333,0.666666667,2.520833333,91.5,0.0,0.0,0.0,0.0,15.0,0
Y1050233,0.5,81.83333333,0.166666667,2.0,2.0,0.5,1.666666667,1.5,0.444444445,2.055555555,23.5,0.0,0.0,0.0,0.0,7.5,0
Y1050234,0.166666667,27.16666667,0.0,0.0,0.0,0.166666667,1.5,1.166666667,0.12962963,0.0,3.5,0.333333333,1.5,0.333333333,0.352941176,5.833333333,0
Y1050235,0.5,65.0,0.0,0.0,0.0,0.5,2.166666667,1.333333333,0.344444445,0.027777778,16.66666667,0.333333333,0.5,0.333333333,0.132352941,7.5,0
Y1050236,0.333333333,195.8333333,0.166666667,31.5,31.5,0.166666667,0.333333333,0.333333333,0.166666667,0.0,1.666666667,1.333333333,3.166666667,2.333333333,1.058823529,15.83333333,0
Y1050237,0.166666667,12.66666667,0.0,0.0,0.0,0.166666667,0.833333333,0.5,0.1,0.033333333,2.0,0.0,0.0,0.0,0.0,0.0,0
Y1050238,0.666666667,405.3333333,0.5,63.16666667,63.16666667,0.5,0.833333333,0.666666667,0.4166666670000001,0.166666667,4.666666667,1.333333333,4.166666667,2.333333333,2.411764706,68.16666667,1
Y1050239,0.166666667,5.333333333,0.0,0.0,0.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.333333333,0.333333333,0.166666667,0.333333333,0.05882352900000001,6.666666667,0
Y1050240,0.666666667,122.5,0.166666667,4.666666667,4.666666667,0.666666667,2.333333333,1.666666667,0.358333333,0.683333333,45.33333333,0.5,1.5,0.5,0.441176471,5.0,0
Y1050241,1.333333333,475.5,0.666666667,11.08333333,19.5,1.333333333,6.5,5.5,0.856150794,0.875992063,103.6666667,0.333333333,0.666666667,0.333333333,0.5735294120000001,30.5,0
Y1050242,0.666666667,140.0,0.333333333,0.5,1.0,0.666666667,2.833333333,2.5,0.429292929,2.01010101,76.0,0.333333333,0.166666667,0.333333333,0.0,28.33333333,0
Y1050243,0.5,66.5,0.0,0.0,0.0,0.5,3.166666667,2.0,0.363425926,0.018518519,19.0,0.0,0.0,0.0,0.0,15.83333333,0
Y1050244,0.5,81.83333333,0.166666667,1.166666667,1.166666667,0.5,2.666666667,2.0,0.3722222220000001,0.283333333,25.5,0.0,0.0,0.0,0.0,14.16666667,0
Y1050245,0.5,160.83333330000005,0.5,18.5,18.5,0.5,2.166666667,2.0,0.466666667,0.133333333,10.0,0.0,0.0,0.0,0.0,10.83333333,0
Y1050246,0.5,47.0,0.333333333,5.333333333,5.333333333,0.333333333,0.5,0.5,0.333333333,0.166666667,4.0,1.5,2.5,2.166666667,3.342941176,20.83333333,1
Y1050247,0.666666667,70.0,0.333333333,3.833333333,3.833333333,0.666666667,1.0,1.0,0.5,0.833333333,16.16666667,1.5,0.5,2.333333333,3.529411765,31.16666667,1
Y1050248,0.5,96.66666667,0.333333333,10.16666667,10.16666667,0.5,2.333333333,1.833333333,0.35952381,0.08095238099999999,7.0,0.833333333,1.0,0.833333333,1.6764705880000002,34.16666667,1
Y1050249,0.5,93.66666667,0.166666667,4.166666667,4.166666667,0.5,3.666666667,2.5,0.350529101,0.055555556,15.33333333,0.5,3.166666667,0.666666667,0.705882353,38.83333333,1
Y1050250,0.333333333,37.5,0.0,0.0,0.0,0.333333333,2.666666667,1.5,0.180555556,0.0,5.333333333,0.5,3.333333333,0.5,0.735294118,0.0,0
Y1050251,0.333333333,57.33333333,0.0,0.0,0.0,0.333333333,3.333333333,1.833333333,0.186868687,0.0,10.66666667,0.0,0.0,0.0,0.0,0.0,0
Y1050252,0.5,180.3333333,0.5,18.5,18.5,0.5,3.166666667,2.166666667,0.335978836,0.23015873,20.5,0.0,0.0,0.0,0.0,8.833333332999999,0
Y1050253,0.833333333,246.3333333,0.5,20.0,20.0,0.833333333,2.5,2.5,0.5,0.592592593,53.66666667,0.5,0.166666667,0.833333333,0.235294118,15.83333333,0
Y1050254,0.5,281.6666667,0.333333333,37.16666667,37.16666667,0.5,1.666666667,1.333333333,0.375,0.25,21.0,0.666666667,3.333333333,1.0,1.470588235,25.5,0
Y1050255,2.0,408.8333333,1.0,32.91666667,43.5,1.666666667,4.666666667,4.333333333,0.626190476,0.7753968259999999,61.66666667,1.666666667,1.166666667,2.333333333,3.098235294,56.5,1
Y1050256,0.5,360.6666667,0.333333333,47.66666667,47.66666667,0.5,0.5,0.5,0.333333333,0.333333333,4.833333333,1.0,0.833333333,1.0,0.661764706,41.5,1
Y1050257,0.833333333,129.1666667,0.5,10.66666667,10.66666667,0.5,1.333333333,1.333333333,0.5,1.625,30.33333333,0.333333333,0.166666667,0.333333333,0.176470588,65.0,1
Y1050258,0.5,192.1666667,0.333333333,19.0,19.0,0.5,2.0,1.833333333,0.4166666670000001,1.569444445,25.83333333,0.333333333,0.166666667,0.333333333,0.294117647,10.83333333,0
Y1050259,1.5,819.1666667000002,1.333333333,54.30555556,86.0,1.333333333,10.16666667,9.833333332999999,0.8121980679999999,1.61557042,151.66666669999995,3.0,3.333333333,3.5,6.1541176470000005,89.16666667,3
Y1050260,1.833333333,862.0,1.166666667,52.25,63.5,1.5,9.5,8.833333332999999,0.950231482,2.521990741,155.66666669999995,0.0,0.0,0.0,0.0,68.5,1
Y1050261,5.333333333,719.0,2.5,35.42777778,90.0,0.166666667,0.5,0.5,0.166666667,0.0,7.166666667,2.666666667,1.0,2.666666667,6.039411765,82.16666667,3
Y1050262,1.666666667,212.8333333,1.0,11.11111111,18.33333333,1.166666667,3.166666667,2.5,0.759259259,0.060185185,17.83333333,0.833333333,0.333333333,0.833333333,1.235294118,76.66666667,1
Y1050263,1.833333333,453.0,0.666666667,12.88888889,20.66666667,0.5,3.666666667,3.666666667,0.333333333,0.752777778,105.3333333,0.0,0.0,0.0,0.0,57.5,1
Y1050264,2.333333333,541.0,1.666666667,31.73611111,59.16666667,1.666666667,8.666666667000001,8.0,0.61801842,0.106060606,74.5,0.166666667,0.166666667,0.166666667,0.441176471,71.83333333,1
Y1050265,0.666666667,270.0,0.666666667,19.33333333,21.0,0.666666667,4.833333333,4.166666667,0.429292929,0.243686869,52.0,0.0,0.0,0.0,0.0,40.0,0
Y1050266,1.833333333,538.8333332999998,1.666666667,21.625,44.16666667,1.666666667,7.166666667,6.666666667,0.780483406,0.440476191,164.83333330000005,0.666666667,0.5,0.666666667,0.764705882,72.66666667,1
Y1050267,2.333333333,646.3333332999998,2.166666667,21.14166667,64.0,2.166666667,7.833333333,6.5,0.5461843710000001,0.558394383,76.83333333,0.833333333,0.333333333,1.166666667,1.705882353,51.16666667,1
Y1050268,4.166666667,584.8333332999998,2.5,19.11111111,55.83333333,2.666666667,8.333333332999999,7.833333333,0.7521367520000001,0.228632479,51.83333333,0.0,0.0,0.0,0.0,83.16666667,2
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333332999999,0
Y1050270,1.333333333,324.5,1.0,20.80555556,34.16666667,1.166666667,4.833333333,4.0,0.4166666670000001,0.14259259300000002,40.66666667,1.666666667,2.0,1.666666667,4.666470588,47.83333333,1
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050273,0.833333333,79.0,0.166666667,2.5,2.5,0.5,1.166666667,1.166666667,0.5,0.083333333,6.166666667,1.666666667,0.666666667,2.166666667,4.544117647,35.66666667,1
Y9999986,2.5,755.5,2.166666667,23.61111111,54.5,2.166666667,8.666666667000001,8.5,0.819444445,2.7608363860000003,223.3333333,0.333333333,0.333333333,0.333333333,0.705882353,73.0,1
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.83333333,0
Y9999988,1.666666667,258.6666667,0.5,8.0,8.0,0.833333333,5.5,5.0,0.61969697,0.205050505,36.5,0.0,0.0,0.0,0.0,47.16666667,1
Y9999989,0.666666667,305.1666667,0.5,44.0,44.0,0.666666667,3.333333333,2.5,0.375,0.0,7.166666667,0.0,0.0,0.0,0.0,79.66666667,1
Y9999990,3.833333333,769.5,3.0,26.225,66.0,3.0,10.5,10.33333333,0.979166667,0.713257503,223.6666667,0.0,0.0,0.0,0.0,89.16666667,2
Y9999991,0.666666667,314.3333333,0.5,32.41666667,37.5,0.333333333,3.833333333,3.333333333,0.261904762,0.055059524000000006,62.66666667,0.0,0.0,0.0,0.0,61.33333333,1
Y9999992,1.833333333,485.1666667,1.833333333,29.16666667,51.0,1.833333333,9.166666667000001,8.0,0.7440349,0.232229345,64.0,0.0,0.0,0.0,0.0,53.5,1
Y9999993,1.166666667,707.8333332999998,0.833333333,29.72222222,36.83333333,1.166666667,10.16666667,10.16666667,0.5,1.2715234640000002,276.3333333,0.333333333,0.166666667,0.333333333,0.0,73.5,1
Y9999994,0.333333333,52.0,0.166666667,0.833333333,0.833333333,0.333333333,2.0,1.666666667,0.233333333,0.066666667,6.666666667,0.0,0.0,0.0,0.0,30.83333333,0
Y9999995,1.333333333,185.0,0.666666667,10.66666667,11.66666667,0.833333333,4.666666667,4.166666667,0.605820106,0.222222222,36.0,0.0,0.0,0.0,0.0,79.83333333,1
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333,1
Y9999997,1.5,402.1666667,1.166666667,22.70833333,50.83333333,1.166666667,6.5,5.5,0.616096866,0.083333333,31.66666667,0.0,0.0,0.0,0.0,83.83333333,1
Y9999998,1.5,301.1666667,0.666666667,4.916666667,8.0,1.333333333,9.333333332999999,6.666666667,0.485449736,0.243386243,129.1666667,0.0,0.0,0.0,0.0,64.83333333,1
Y9999999,2.333333333,664.1666667000002,0.5,33.66666667,33.66666667,1.833333333,12.16666667,11.0,0.59040404,0.375378788,229.8333333,0.0,0.0,0.0,0.0,100.8333333,2
os0,1.5545058592484562,406.06686373834503,1.1908914933084225,23.26096218095576,51.34205468298559,1.1908914933084225,6.433381727597332,5.457606553905755,0.6222602948137375,0.09530155079455764,31.812015627995887,0.0,0.0,0.0,0.0,83.11870095342915,1
os1,1.7806817717578878,713.3685038069801,1.0363094511028867,31.917523980004805,66.6256501318149,1.4473484387578877,9.077705654038443,7.780681771757887,0.62775799405888,1.3036617707123044,157.15605634118543,0.333333333,0.2305735865486686,0.333333333,0.2706646015466337,65.49853847699178,1
os2,0.3958625190413323,37.211076789885226,0.2639083457636465,4.222533536176969,4.222533536176969,0.2639083457636465,0.3958625190413323,0.3958625190413323,0.2639083457636465,0.13195417327768574,3.1669001523306584,1.1875875571239969,1.9793125952066613,1.7154042494430148,2.6466902298767074,32.60086867832945,1
os3,1.8237016935919967,400.72361121475194,1.0,24.498422528836624,38.47549826234741,1.5785175135315508,5.3718598931609085,5.038526559689802,0.5447574486561753,0.7472730480845275,91.72552794086043,1.666666667,1.5192632798160064,2.597780792876452,3.652952730734308,45.12875922531255,1
os4,0.5946740937050036,329.1401935592868,0.4280074267050036,45.5838366107621,45.5838366107621,0.5946740937050036,2.1094595895767934,1.6360891221878646,0.35700185656826205,0.14398514615803742,6.158770642597872,0.4319554389060677,0.3599628656110713,0.4319554389060677,0.2858528640327749,63.18036741697856,1
