username,video_backward_seek_avg,video_avg_count,qz_mean,predict_score,real_score
Y1050231,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050232,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050233,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050234,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050235,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050236,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050237,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050238,0.0326395882631,-1.35802057901,-0.390211855763,62.870201445,40.0
Y1050239,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050240,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050241,0.149665753632,1.30581625527,-0.129589801312,16.9450887482,20.0
Y1050242,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050243,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050244,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050245,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050246,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,30.0
Y1050247,-1.00681927821,0.311982794166,0.124982422666,16.2555768181,30.0
Y1050248,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,30.0
Y1050249,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,30.0
Y1050250,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050251,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050252,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050253,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050254,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050255,-0.00491894686097,-0.0636885107063,-0.437500967467,40.7622407998,40.0
Y1050256,-0.719600380893,-0.149465506318,-0.0173738911106,29.1359336229,30.0
Y1050257,0.107863585179,-1.47887608628,-0.427495652228,66.2436282273,40.0
Y1050258,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050259,0.681733992265,-1.28990272893,-0.146213386199,68.3191151895,80.0
Y1050260,2.30123568931,0.642712447422,-0.820035794332,62.7656177643,50.0
Y1050261,-0.0494229538266,-1.22617820745,-0.349538623255,59.1900995008,82.0
Y1050262,0.575658877846,-1.63105554094,-0.310400903539,74.0880846592,50.0
Y1050263,-0.405027302882,-0.654861263991,-0.173287949056,43.2429910758,40.0
Y1050264,0.233880295187,-1.33285206765,-0.171372996074,63.2828409112,40.0
Y1050265,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050266,0.634109068663,-1.35931520912,0.19390247676,65.9944887058,40.0
Y1050267,-0.490550697335,-0.0185983480188,0.126153592696,28.7580580432,30.0
Y1050268,0.646889001087,-1.21004131814,-0.422586904867,68.8274667908,60.0
Y1050269,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050270,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,40.0
Y1050271,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050272,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050273,-0.172516766961,-1.0284146501,-0.288528774494,53.6699465845,40.0
Y9999986,2.41915296026,1.03711014733,-0.910150630646,58.3946007458,58.0
Y9999987,0.0941864948304,-1.45690235769,-0.420716780144,65.6302779032,27.0
Y9999988,-0.0374230772916,-0.0227049748795,0.472888516774,31.9521900244,33.0
Y9999989,-0.015310851687,-1.03972517192,-0.145889627406,54.7576935617,59.0
Y9999990,1.0046478831,-1.05720358502,-0.143393553831,68.6499122646,63.0
Y9999991,-0.145162586265,-1.07236210729,-0.302086518663,54.8966472325,36.0
Y9999992,-0.404828115436,0.258720731441,0.4033940414,22.8490233502,38.0
Y9999993,1.16806517633,-0.875758238812,-0.401837390304,69.9266900166,49.0
Y9999994,-0.451770798861,-0.539553131791,-0.113360773424,40.1530805105,20.0
Y9999995,0.300307922833,-1.26533349046,-0.0450063859534,61.9557848341,57.0
Y9999996,0.101025040005,-1.46788922199,-0.424106216186,65.9369530652,54.0
Y9999997,0.42686132042,-1.58928415847,-0.218009040766,70.6121662061,58.0
Y9999998,0.335395982115,-1.04573464918,0.00036863746804,58.3079613079,49.0
Y9999999,1.24645338752,-1.40296272131,0.303634491895,73.9855385492,73.0
