evaluation_num,kfold_split_num,username,watched_time_weekday,qz_mean,video_pause_backward_seek_avg,label_val_predict,label_val_test
1,5,Y1050416,-0.621291494011,0.446916003344,0.399032297944,63.2851292639,63.0
1,5,Y1050427,1.05423356668,2.16732566654,0.105409949235,86.2366436231,96.0
1,5,Y1050428,2.01167645851,0.314576798606,-0.253461810299,27.0343949819,20.0
1,5,Y1050432,-1.33937366288,-1.53817206972,-0.883912199642,1.22616286021,0.0
1,6,Y1050277,-0.142570048097,-0.744136840497,0.27595486204,12.6031274013,10.0
1,6,Y1050286,0.33615139781,1.10861202783,1.14161174239,72.4391193342,72.0
1,6,Y1050294,0.814872843724,0.446916003344,0.0710895727204,28.4668105426,40.0
1,6,Y1050297,-0.621291494011,-1.27349365985,-0.883912199642,4.19271480334,10.0
1,6,Y1050308,-0.142570048097,-1.53817206972,3.88300742247,5.82648420558,10.0
1,6,Y1050310,-0.860652216966,-0.214780021144,-0.447446545587,18.906245615,10.0
1,6,Y1050326,1.53295501259,0.18223759347,1.5232620128,26.5175068726,20.0
1,6,Y1050346,-1.33937366288,-0.214780021144,-0.883912199642,18.4070463811,50.0
1,6,Y1050365,0.814872843724,1.50562964245,1.59380191653,78.300212855,96.0
1,6,Y1050367,0.575512120771,1.50562964245,-0.0675597723728,76.4850678453,90.0
1,6,Y1050374,1.05423356668,0.843933617958,0.304244302801,34.0774337458,30.0
1,6,Y1050377,-0.621291494011,1.24095123257,-0.883912199642,38.0433421712,40.0
1,6,Y1050386,1.29359428964,0.446916003344,0.299394684521,28.7401915655,30.0
1,6,Y1050392,-1.33937366288,0.18223759347,-0.883912199642,23.7518822815,20.0
1,6,Y1050402,-1.33937366288,-1.53817206972,-0.883912199642,0.59092671463,0.0
1,6,Y1050406,-1.10001293992,-1.00881525037,-0.883912199642,7.7302292979,10.0
1,6,Y1050448,1.53295501259,0.314576798606,0.680897996256,27.3852994745,20.0
1,6,Y1050449,2.72975862737,-0.0824408160083,0.406086288724,21.8066139571,20.0
1,7,Y1050282,0.33615139781,0.0498983887306,-0.374702270023,22.6123879298,10.0
1,7,Y1050287,0.33615139781,1.63796884719,-0.0333637462815,44.1075733756,50.0
1,7,Y1050289,-0.860652216966,1.24095123257,3.02229374912,78.5962720646,60.0
1,7,Y1050304,-0.621291494011,-0.744136840497,-0.233255067578,12.319546382,10.0
1,7,Y1050317,0.0967906748565,0.843933617958,0.411852461794,34.119363639,55.0
1,7,Y1050324,1.53295501259,0.711594413219,0.996123191267,32.943577499,30.0
1,7,Y1050331,0.33615139781,-0.611797635758,-0.459570591627,13.7249164678,10.0
1,7,Y1050333,0.575512120771,-0.0824408160083,-0.799043878039,20.3258354161,10.0
1,7,Y1050335,0.0967906748565,-0.0824408160083,0.9670620544,22.4860691958,10.0
1,7,Y1050363,-1.33937366288,-1.53817206972,-0.883912199642,1.05577154683,0.0
1,7,Y1050371,-0.381930771057,0.446916003344,-0.250228731898,28.0932125622,40.0
1,7,Y1050384,0.0967906748565,0.314576798606,0.926611994784,27.7088613544,30.0
1,7,Y1050385,2.49039790441,1.90264725706,0.417402065165,47.9828251601,40.0
1,7,Y1050387,1.05423356668,-1.53817206972,0.645432101084,2.69160513881,10.0
1,7,Y1050398,-1.10001293992,-1.53817206972,-0.748122885077,1.19877223822,0.0
1,7,Y1050424,-0.381930771057,-0.214780021144,0.700296470057,20.4487284066,30.0
1,7,Y1050430,-1.33937366288,-1.53817206972,-0.883912199642,1.05577154683,0.0
1,7,Y9999984,0.0967906748565,0.843933617958,1.63876791052,71.5839442925,66.0
1,8,Y1050276,1.77231573554,0.0498983887306,-0.231078956227,21.7307785301,40.0
1,8,Y1050280,0.575512120771,-0.744136840497,0.0213498972308,11.7234686561,10.0
1,8,Y1050283,-0.381930771057,-0.744136840497,-0.204965626818,11.8892124086,20.0
1,8,Y1050291,-0.142570048097,1.63796884719,0.419018604366,44.9558110687,40.0
1,8,Y1050292,-0.621291494011,0.843933617958,-0.178733599894,33.6676261771,50.0
1,8,Y1050299,-0.381930771057,-1.00881525037,-0.544438913229,7.89707753998,10.0
1,8,Y1050315,-0.381930771057,0.0498983887306,0.468323058127,23.4742448456,20.0
1,8,Y1050316,-0.621291494011,-0.744136840497,0.168703686367,12.4185415858,10.0
1,8,Y1050327,-0.860652216966,-1.53817206972,-0.756609717237,0.65331323793,0.0
1,8,Y1050338,-0.621291494011,-0.214780021144,-0.544438913229,18.8242087699,10.0
1,8,Y1050341,0.0967906748565,-0.611797635758,0.390601542696,14.15697291,20.0
1,8,Y1050342,-0.142570048097,0.976272822697,-0.253461810299,35.1752845131,50.0
1,8,Y1050356,0.0967906748565,-0.0824408160083,0.537518727091,21.5379314767,30.0
1,8,Y1050364,0.814872843724,1.77030805192,-0.178852297406,80.7624287517,72.0
1,8,Y1050368,0.814872843724,0.314576798606,0.196230075368,26.2448986936,20.0
1,8,Y1050418,2.01167645851,-0.876476045236,-0.883912199642,8.25975754586,20.0
1,8,Y1050420,-0.381930771057,0.711594413219,-0.714175556436,66.254644383,75.0
1,8,Y1050429,0.33615139781,-1.27349365985,-0.883912199642,3.58815674939,10.0
1,9,Y1050274,2.01167645851,1.37329043731,-0.417136430824,74.4626745183,80.0
1,9,Y1050279,0.0967906748565,1.10861202783,1.70571618758,72.4171802573,70.0
1,9,Y1050290,-1.33937366288,-1.53817206972,-0.883912199642,0.946115063051,0.0
1,9,Y1050298,2.01167645851,0.0498983887306,-0.204965626818,23.1094044963,10.0
1,9,Y1050309,-1.33937366288,-1.53817206972,-0.883912199642,0.946115063051,0.0
