username,forum_num_days,stop_video_avg,qz_mean,video_pause_backward_seek_avg,seek_video_avg,num_incomplete,watched_time_hour,indicator,final_score
Y1050333,-0.514602942721,-0.272330349594,-0.4747020432,-0.590712222082,-0.0843051799866,0.00281160545639,0.426294686526,0.0,10.0
Y1050334,1.13905423671,-0.263725402203,-0.21136718825,0.0308386908971,0.488369747302,0.347665273739,0.402285843658,0.0,20.0
Y1050335,1.11560462822,-0.033962952663,0.0394400332945,0.778604174948,0.330090868248,0.715688246668,0.861814441736,0.0,10.0
Y1050336,1.93739211872,-0.150845913639,-1.64392576213,-0.706229488758,-0.345853869532,-0.455007082889,-0.217253440658,0.0,50.0
Y1050337,-0.467791277117,-0.534046053934,-0.0127592637301,-0.519590528632,-0.263462800391,-0.0816822772581,0.259536831666,0.0,10.0
Y1050338,-0.480403382702,-0.594324164447,0.709912086214,-0.0669171818892,-0.180552205769,0.214940559667,-0.531236811423,0.0,10.0
Y1050339,-0.821375379501,-0.634648172347,-0.240942608029,-0.446825212682,-1.59456477288,-0.150680982716,0.430772436109,0.0,20.0
Y1050340,0.621221291462,-0.536087308695,0.667965039375,0.203578806178,0.175283066697,-1.13983959554,1.05091966721,0.0,10.0
Y1050341,1.09297858455,0.429800692277,-0.381175939851,0.527562258162,0.725490588352,-1.99496842673,1.27637606942,0.0,20.0
Y1050342,0.763373283813,-0.670711036222,-0.0857901343869,-0.357179137539,-0.413638607436,-0.97922583401,1.05934898477,0.0,50.0
Y1050343,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050344,2.82070655697,-0.170461437213,-0.7146724203,0.318454045638,0.742035291191,0.486048311303,1.22100155418,0.0,40.0
Y1050345,-2.64151778747,0.262185600195,0.139421000526,0.0791612595508,-0.27092290718,0.141650008803,-0.0129596249652,0.0,10.0
Y1050346,-2.18345106607,-0.179466937633,0.0627183836284,-0.0999750450578,-1.12618498178,0.361736574062,0.093756987806,0.0,50.0
Y1050347,0.567712470404,-0.158448104572,-0.626926895186,-0.014060360958,-0.648571016399,0.163754721934,-0.0337993642969,0.0,20.0
Y1050348,-0.433781231499,0.0354935185038,0.136542595266,0.496530151597,-0.737295907808,-0.741913447575,-0.0796820638998,0.0,10.0
Y1050349,0.0280933768218,-0.123850870871,-1.09998543182,-0.503354625702,-0.858063329997,-0.0745411729559,0.0767851537308,1.0,65.0
Y1050350,2.41818407666,0.64340062106,-1.61889577339,0.18597016101,0.711746565931,-0.483745532008,-0.507864571899,0.0,10.0
Y1050351,1.806703835,-0.500644044612,-0.80806920594,-0.635316668362,-0.137310253577,-0.714428969041,-0.105252185077,1.0,70.0
Y1050352,1.70254611523,-1.22309408873,0.0137024346674,-0.834396270119,-0.536719920708,-0.514576076401,-0.222370464959,1.0,80.0
Y1050353,1.70094124509,0.413673776256,-0.483513546413,0.988581234265,0.706031546404,1.42651170606,-0.202013370472,0.0,50.0
Y1050354,1.92194833546,-1.10626813447,1.49338194138,0.485655417421,0.536972376351,0.0612116300233,0.378874326077,0.0,50.0
Y1050355,-1.81553861445,-0.0510868769382,-0.0485419518802,-0.348282753862,-0.111689746757,-0.450476199082,0.644772448118,0.0,10.0
