username,forum_num_days,problem_avg_count,video_backward_seek_avg,watched_time_hour,qz_mean,indicator,final_score
Y1050348,-1.07195507263,0.224676387931,0.291424386688,0.0142448127358,-0.395409387044,0.0,10.0
Y1050349,-0.66405135699,-0.241671508435,-0.545136413114,-0.0692422182783,0.969507894357,1.0,65.0
Y1050350,1.39523926915,1.84265121093,3.55121161892,-1.61936843142,-0.600280811452,0.0,10.0
Y1050351,1.68302901841,-0.447674222362,0.925326419517,1.85249574413,0.0126041001907,1.0,70.0
Y1050352,2.0048786155,-1.09291939782,-0.189243314339,1.0227581221,0.245638995052,1.0,80.0
Y1050353,0.770629651219,0.0212383108456,0.724873663343,0.0870774300863,0.207235074268,0.0,50.0
Y1050354,1.24666456694,-0.537569947715,-0.106141502777,-0.378205840146,0.522921729195,0.0,50.0
Y1050355,-1.43883266666,0.190289697679,0.0318024555375,0.182028703733,-0.00659582628931,0.0,10.0
Y1050356,0.570757756538,-0.285976688892,-0.158788078584,-1.29190667937,-0.0129469243954,0.0,30.0
Y1050357,-0.729288044349,0.311864420471,0.244789893601,-0.834422911342,0.174049833486,0.0,20.0
Y1050358,1.42417708121,-1.14285824616,-0.541407494429,0.0559776355014,-0.950838353028,0.0,50.0
Y1050359,-1.59330599092,0.16605163954,-0.227240280231,-0.231706248014,0.194211536818,0.0,20.0
Y1050360,0.207614902992,0.0711288904304,0.37716931926,-0.885502508376,-0.232165015741,0.0,30.0
Y1050361,0.529470388663,-0.275313689473,0.846373386405,1.6933885677,-1.10215894482,0.0,30.0
Y1050362,1.61069349964,-0.645628617543,0.174615743903,0.931441555905,0.832458845023,1.0,80.0
Y1050363,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050364,1.55679756274,-0.186591905731,0.635622077089,0.39579635473,1.23664450855,1.0,72.0
Y1050365,2.68298674948,-1.2687978009,-0.204619385051,0.84480122405,0.298213920176,1.0,96.0
Y1050366,0.410837446335,-0.535446729695,-0.445925764696,-1.38577587968,-0.967208232404,0.0,10.0
Y1050367,1.90051854496,-1.18092347085,-0.860743542427,-0.165391622841,1.09451628524,1.0,90.0
Y1050368,-0.542797598902,0.0218657705205,0.119811485995,-0.257060638249,-0.240824287317,0.0,20.0
Y1050369,-0.390912933138,-0.48769627857,-0.849680773083,-1.39965737505,-0.471675789667,0.0,10.0
Y1050370,0.167036061701,0.152090912721,0.796867704258,0.200629907482,-0.370375889119,0.0,20.0
Y1050371,-0.684109849985,-0.0422799517966,-0.163421512125,0.177098423426,0.882291322177,0.0,40.0
Y1050372,1.86536079034,-1.20564191109,-0.725328961144,-0.799545878465,-0.627066533548,0.0,50.0
Y1050373,-1.3306105265,0.0410929316239,-0.285662481482,-0.173450022232,0.20449861515,0.0,20.0
Y1050374,-0.00739335483013,-0.234565599959,0.121272430298,0.543832781192,0.0487053019101,0.0,30.0
Y1050375,1.01094130134,0.0673168428794,0.782321038653,-0.837127714452,-0.358712323621,0.0,30.0
Y1050376,2.22053685387,-0.379290055179,0.643284819894,0.544152265925,1.43335469054,1.0,90.0
Y1050377,-0.0402621465814,-0.383225510947,-0.124984690506,1.0453872669,0.689472347241,0.0,40.0
