username,incomplete_rate,forum_num_days,qz_mean,watched_time_hour,video_stop_backward_seek_sum,indicator,predict_score,real_score
Y1050309,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,0.0
Y1050310,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050311,0.834946646062,0.230078744773,-1.20731064267,0.527111251808,0.2501630948,0.0,27.0305743525,20.0
Y1050312,-0.373611934459,0.0790670125343,-1.03471924324,1.18280754424,0.473087897108,0.0,10.189132663,10.0
Y1050313,-0.588321403961,0.306585959834,-0.292497006639,-0.119354907276,0.337844744328,0.0,21.6539638259,30.0
Y1050314,-1.32088746462,0.237972738002,0.198599453246,-0.284553520719,0.0658717477929,0.0,15.4933984674,30.0
Y1050315,0.173760675292,0.0446417197547,-0.887627282881,0.767503323622,-0.179875920323,0.0,16.3402834217,20.0
Y1050316,-0.237083896305,0.104141592551,-0.106012542649,-0.184681249205,-0.681515453678,0.0,20.4306475892,10.0
Y1050317,1.41516465887,-1.10346135911,1.19661545596,-0.160872445178,1.41081248103,0.0,40.9602255546,55.0
Y1050318,1.23042139746,-0.746301859433,0.954685512485,-0.532859713752,0.102173261151,0.0,38.29175834,40.0
Y1050319,0.418323565701,0.499017926194,0.167964689627,-1.60073284793,-0.400819020057,1.0,71.4670329937,76.0
Y1050320,-0.0304646744233,-0.618479298773,0.188611930471,0.764434461523,-0.442070859119,0.0,11.7228384852,10.0
Y1050321,-0.51668314898,0.655375322307,0.216170544861,-1.47124719704,0.615261486696,0.0,38.2910851238,20.0
Y1050322,4.59218333155,10.9577122506,5.93534480944,3.69393401393,-0.132789657105,1.0,99.0,99.0
Y1050323,2.33533007162,0.0108835385902,0.280364190049,-1.70071992936,-0.49590680547,1.0,87.8077043351,88.0
Y1050324,0.451689395601,0.44549954169,-0.823085951015,-0.184436075475,0.634121933339,0.0,33.1891055616,30.0
Y1050325,1.11727733084,0.141925286722,-0.841307091586,0.04856978567,-0.629555309423,0.0,30.3496523036,20.0
Y1050326,0.628838255708,0.00984723359096,-0.343683737415,-0.135370174698,-1.25135739752,0.0,24.8409762894,20.0
Y1050327,-0.544176892392,-1.02367238589,1.09295834291,0.685627011362,0.418606970285,0.0,10.7451595243,0.0
Y1050328,0.454952254823,0.6033024191,-0.0195181787708,-1.55467016303,0.083776910943,1.0,73.7174888432,71.0
Y1050329,1.20331137362,0.489175807056,-1.524342179,0.299507185846,1.08041174665,0.0,36.9468535146,20.0
Y1050330,1.5898308983,-0.730073019685,-0.19821253938,0.661609699918,-1.40297464738,0.0,22.6094444592,10.0
