username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050417,2.5,126,316.5,0.5,2.5,2.5,1.5,36.5,72.5,4.5,3,1.5,0.375,14.11078627,5,1.5,0.1875,4.5,1,0,0,40.5,5.0625,6.5,0.8125,8.5,1.0625,0.5,0.0625,0,0,49,6.125,7,0.875,56,7,13,2.0625,0,0,60.5,8,129.5,17.0625,3,3,1.5,3,4.90625,6,62
Y1050418,1,256.25,512.5,1,36,72,0.5,11.5,11.5,4.5,4.5,0,0.5,6.670671305,3.5,0.5,0.055555556,4.5,0.5,1,0.111111111,0,0,1,0.111111111,2,0.222222222,0,0,0,0,2,0.222222222,1,0.111111111,3,0.333333334,5.5,0.611111111,1,0.111111111,7.5,0.833333333,17,1.888888889,3,3,1.5,3,2.75,2,20
Y1050420,2,222.25,889,2,27,108,1.5,6.166666665,18.5,7,1.5,5.5,0.107142857,5.864750195,0.5,2.5,0.178571429,7,0.5,0,0,3.5,0.25,3.5,0.25,2,0.142857143,0,0,0,0,5.5,0.392857143,3.5,0.25,9,0.642857143,8.5,0.607142857,0,0,16,1.142857143,33.5,2.392857143,3,3,2.5,3,9.59375,6,75
Y1050421,1.5,443,701.5,1.5,55.75,91.5,1.5,18.75,32,6,4,2,0.666666667,10.86744558,3.5,3,0.5,4,0.666666667,1,0.166666667,8,1.333333334,1,0.166666667,0.5,0.083333334,0.5,0.083333334,0,0,8.5,1.416666667,1.5,0.25,10,1.666666667,4.5,0.75,1,0.166666667,16,2.666666667,31.5,5.25,3,3,2,3,6.45875,8,60
Y1050422,1.5,144.6666667,434,0.5,2.5,2.5,1.5,31.5,94.5,11,9,2,0.409090909,0.447640182,1,4,0.181818182,9.5,0.431818182,2.5,0.113636364,41.5,1.886363637,7,0.318181818,19.5,0.886363637,4,0.181818182,0.5,0.022727273,61,2.772727273,11.5,0.522727273,72.5,3.295454546,31.5,1.431818182,2.5,0.113636364,83.5,3.795454546,190,8.636363635,0,0,0,0,0,7,40
Y1050423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.5,1.5,0.20875,2,10
Y1050424,1,214,428,0.5,42.5,42.5,0.5,59,59,4.5,3.5,1,0.388888889,4.740919182,0.5,4.5,0.5,4.5,0.5,0.5,0.055555556,23.5,2.611111111,11.5,1.277777778,2.5,0.277777778,6,0.666666667,0,0,26,2.888888889,17.5,1.944444445,43.5,4.833333334,11.5,1.277777778,0.5,0.055555556,48,5.333333335,103.5,11.5,0.5,0.5,0.5,0.5,0,5,30
Y1050425,0.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
Y1050426,1.5,422.75,721.5,1.5,41.5,73,1.5,36.75,68,11.5,11,0.5,0.972222222,12.7278343,2.5,5.5,0.305555556,10.5,0.8,3,0.455555556,14,0.777777778,7,0.388888889,17.5,1.044444445,6.5,0.577777778,1,0.127777778,31.5,1.822222222,14.5,1.094444445,46,2.916666667,32,2.138888889,3.5,0.555555556,57.5,3.916666667,139,9.52777778,0,0,0,0,0,7,40
Y1050427,3,429.75,1141,2.5,48.75,112.5,3,40.125,117,16,13,3,0.817460317,13.28839084,3.5,8,0.523809524,14.5,0.916666667,3,0.190476191,31,2.03968254,24,1.642857143,27,1.722222222,9,0.595238095,0.5,0.027777778,58,3.761904762,33.5,2.265873016,91.5,6.027777778,48.5,3.091269841,3,0.190476191,107.5,7.027777778,250.5,16.33730159,2.5,2.5,1,2.5,7.8025,9,96
Y1050428,1,330,330,0.5,30,30,1,38.5,38.5,6,5.5,0.5,0.95,3.221146124,6,2,0.4,5.5,0.95,0.5,0.25,19,3.3,0,0,10.5,2.65,0.5,0.25,0,0,29.5,5.95,0.5,0.25,30,6.2,16,3.6,0.5,0.25,36,7.2,82.5,17.25,0,0,0,0,0,7,20
Y1050432,0.5,163,163,0.5,21.5,21.5,0.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050434,3.5,98.25,409.5,3,12.7,35.5,3.5,10.3,47,7,6,1,0.708333333,7.649158366,4.5,2,0.166666667,6.5,0.75,2.5,0.416666667,5,0.416666667,5,0.416666667,14.5,1.833333334,9.5,1,0,0,19.5,2.25,14.5,1.416666667,34,3.666666667,28,3.375,2.5,0.416666667,41,4.666666666,105.5,12.125,0,0,0,0,0,7,20
Y1050436,1,120.5,241,0.5,24.5,24.5,0.5,13,13,5,5,0,0.5,2.412696747,1,1,0.1,2.5,0.25,2.5,0.25,2.5,0.25,1.5,0.15,2.5,0.25,1,0.1,0,0,5,0.5,2.5,0.25,7.5,0.75,6,0.6,2.5,0.25,12.5,1.25,28.5,2.85,0,0,0,0,1.25,2,10
Y1050437,1,83.75,167.5,0.5,7.5,7.5,0.5,6.5,6.5,0.5,0.5,0,0.5,6.38253986,1.5,0,0,0.5,0.5,0,0,0,0,0,0,1,1,3,3,0,0,1,1,3,3,4,4,4.5,4.5,0,0,4.5,4.5,13,13,0,0,0,0,0,0,0
Y1050438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,10
Y1050439,6,121.4142857,711.5,3.5,26.41666667,88,3.5,5.083333334,19,7.5,0.5,7,0.05,9.519196452,3,0,0,7.5,1,0,0,0,0,0,0,4,0.4,3,0.3,0,0,4,0.4,3,0.3,7,0.7,14.5,1.7,0,0,14.5,1.7,36,4.1,0,0,0,0,0,6,10
Y1050440,0.5,37,37,0,0,0,0.5,2,2,1,0,1,0,6.42379347,1.5,1,0.5,0.5,0.25,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0.5,0.25,0.5,0.25,0,0,1.5,0.75,2.5,1.25,2,2,1,2,4.75,3,10
Y1050442,2,345.5,691,1,15.75,31.5,0.5,106,106,5.5,5,0.5,0.454545455,4.191906461,3.5,5,0.454545455,5.5,0.5,1,0.090909091,17.5,1.590909091,13.5,1.227272728,53.5,4.863636364,14,1.272727273,0.5,0.045454546,71,6.454545455,28,2.545454546,99,9,72.5,6.59090909,1,0.090909091,104.5,9.5,277,25.18181818,0,0,0,0,0,5,10
Y1050443,0.5,39,39,0,0,0,0.5,8,8,0.5,0,0.5,0,0.69847938,0.5,0.5,0.5,0.5,0.5,0,0,3,3,0,0,3.5,3.5,0,0,0,0,6.5,6.5,0,0,6.5,6.5,3.5,3.5,0,0,7,7,17,17,0,0,0,0,0,0,0
Y1050444,3.5,33.35,106,1,4,4,2.5,4.666666666,11.5,4,0.5,3.5,0.125,0.060455881,1,1.5,0.375,3,0.75,0,0,1.5,0.375,0,0,1.5,0.375,2,0.5,0,0,3,0.75,2,0.5,5,1.25,6.5,1.625,0,0,9,2.25,20.5,5.125,0.5,0.5,0.5,0.5,1.04125,5,10
Y1050445,3.5,128.8333333,502,2,19.25,38.5,1.5,40.25,78.5,8,3,5,0.2,13.29752797,5.5,5,0.8,7.5,0.966666667,0.5,0.033333334,33.5,3.633333334,7,0.466666667,24.5,1.633333334,1,0.066666667,0,0,58,5.266666667,8,0.533333334,66,5.8,32.5,2.633333334,0.5,0.033333334,74,6.8,173,15.26666667,0,0,0,0,0,6,20
Y1050447,0.5,186,186,0.5,5.5,5.5,0.5,41,41,3.5,3.5,0,0.5,2.955181611,3.5,1.5,0.214285715,3.5,0.5,0,0,11.5,1.642857143,6,0.857142857,14,2,1,0.142857143,0,0,25.5,3.642857143,7,1,32.5,4.642857143,18.5,2.642857143,0,0,36,5.142857145,87,12.42857143,0,0,0,0,0,3.5,10
Y1050448,3,242.875,765,2.5,34.875,72,2.5,24.5,59,9.5,6.5,3,0.616666667,5.119176344,5,3,0.475,9,0.966666667,0.5,0.033333334,2,0.316666667,4.5,0.391666667,23.5,2.391666667,7.5,0.866666667,0,0,25.5,2.708333334,12,1.258333334,37.5,3.966666666,40,4.225,0.5,0.033333334,47,4.966666667,125,13.19166667,0.5,0.5,0.5,0.5,2.375,7,20
Y1050449,2.5,437.6666667,1194,1,40.25,80.5,2,99.66666667,174,14,11,3,0.7375,11.2066,5,10,0.7625,13,0.95,1.5,0.075,6,0.6375,38,2.8,88,6.9875,14.5,0.95,0,0,94,7.625,52.5,3.75,146.5,11.375,113,8.6875,1.5,0.075,160.5,12.375,421.5,32.5125,0,0,0,0,0,4,20
Y1050450,2.5,348.1666667,956,2,50.16666667,98.5,2,33.83333334,86.5,13,11,2,0.752380953,12.07107059,5,5.5,0.338095238,12,0.952380953,3,0.219047619,17,0.885714286,14,0.666666667,27.5,1.766666667,6.5,0.385714286,1,0.047619048,44.5,2.652380953,21.5,1.1,66,3.752380953,44.5,2.957142857,3,0.219047619,79,4.752380953,192.5,11.68095238,0.5,0.5,0.5,0.5,0.53125,5,10
Y1050452,3,472.75,1217,2.5,61.58333334,145.5,2.5,42.16666667,99.5,17.5,13.5,4,0.786713286,13.69796845,2.5,10.5,0.603146853,15.5,0.877622378,3.5,0.222027972,39,2.512237762,8.5,0.512237762,16.5,0.907342657,6.5,0.38986014,1,0.061188811,55.5,3.41958042,16,0.963286714,71.5,4.382867133,36,2.02972028,3.5,0.222027972,89,5.382867133,200,12.01748252,0,0,0,0,0,5,40
Y1050453,2.5,286.625,740,2.5,22.625,51.5,2.5,24.375,76.5,8.5,8,0.5,0.961538462,4.758807769,5,2.5,0.192307693,8.5,1,2.5,0.278846154,14,1.076923077,4.5,0.346153846,34.5,3.432692308,4.5,0.346153846,1.5,0.115384616,48.5,4.509615385,10.5,0.807692308,59,5.317307693,46,4.576923077,3,0.317307693,67.5,6.317307693,175.5,16.52884616,0.5,0.5,0.5,0.5,0.84375,5,20
Y1050454,1,369.25,738.5,1,39.25,78.5,1,21.75,43.5,10.5,3,7.5,0.142857143,6.43891371,3,10.5,0.5,7,0.333333334,0.5,0.023809524,15.5,0.738095238,3.5,0.166666667,6,0.285714286,3,0.142857143,0,0,21.5,1.023809524,6.5,0.30952381,28,1.333333334,11.5,0.547619048,0.5,0.023809524,38.5,1.833333334,78.5,3.738095238,3,3,1.5,3,7.125,4.5,90
Y9999984,3.5,544.1,1625.5,3,47.25,123,2.5,54.16666667,138,23.5,22,1.5,0.935688406,11.21114235,2,16.5,0.703804348,22,0.936594203,6,0.253623188,18,0.777173913,51,2.185688406,12,0.516304348,23,0.982789855,1.5,0.064311595,30,1.293478261,75.5,3.232789855,105.5,4.526268116,52,2.222826087,6.5,0.275362319,129,5.526268116,293,12.55072464,1.5,1.5,1,1.5,3.375,5,66
Y9999985,2.5,542,1358,2.5,64.25,160.5,1.5,40.25,74.5,4.5,0,4.5,0,12.86644846,2,4.5,1,2.5,0.75,0,0,44,8.125,2,1.125,0.5,0.0625,0,0,0,0,44.5,8.1875,2,1.125,46.5,9.3125,2.5,0.75,0,0,51,10.3125,100,20.375,0,0,0,0,0,7.5,59
