username,week,num_days,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,tmp
Y1050276,2,1.0,1.0,90.0,90.0,1.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
Y1050276,3,2.0,2.0,465.5,931.0,1.0,103.0,103.0,1.0,102.0,102.0,0.0,0.0,0.0,13.0,11.0,2.0,0.846153846,0.153846154,1.91064985,7.0,2.0,0.153846154,12.0,0.923076923,1.0,0.076923077,3.0,0.230769231,4.0,0.307692308,73.0,5.615384615,6.0,0.461538462,0.0,0.0,76.0,5.846153846,10.0,0.769230769,86.0,6.615384615,91.0,7.0,1.0,0.076923077,99.0,7.615384615,277.0,21.30769231,3.0,3.0,2.0,3.0,0.0
Y1050276,4,1.0,1.0,212.0,212.0,1.0,30.0,30.0,1.0,7.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,2.83015514,7.0,0.0,0.0,2.0,0.666666667,1.0,0.333333333,0.0,0.0,0.0,0.0,2.0,0.666666667,2.0,0.666666667,0.0,0.0,2.0,0.666666667,2.0,0.666666667,4.0,1.333333333,6.0,2.0,1.0,0.333333333,7.0,2.333333333,18.0,6.0,0.0,0.0,0.0,0.0,0.0
Y1050276,5,5.0,5.0,342.8,1714.0,5.0,43.4,217.0,5.0,19.8,99.0,0.0,0.0,0.0,25.0,18.0,7.0,0.72,0.28,1.189224573,1.0,8.0,0.32,24.0,0.96,2.0,0.08,8.0,0.32,11.0,0.44,24.0,0.96,24.0,0.96,0.0,0.0,32.0,1.28,35.0,1.4,67.0,2.68,71.0,2.84,2.0,0.08,92.0,3.68,232.0,9.28,3.0,3.0,1.0,3.0,0.0
Y1050276,6,3.0,3.0,114.3333333,343.0,2.0,24.0,48.0,1.0,7.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,0.666666667,0.333333333,1.575895818,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333,2.0,0.666666667,0.0,0.0,1.0,0.333333333,2.0,0.666666667,3.0,1.0,6.0,2.0,0.0,0.0,6.0,2.0,15.0,5.0,1.0,1.0,1.0,1.0,0.0
Y1050277,1,3.0,3.0,717.3333333,2152.0,3.0,41.66666667,125.0,3.0,116.3333333,349.0,0.0,0.0,0.0,24.0,24.0,0.0,1.0,0.0,12.23027267,5.0,16.0,0.666666667,24.0,1.0,4.0,0.166666667,24.0,1.0,55.0,2.291666667,178.0,7.416666667,41.0,1.708333333,0.0,0.0,202.0,8.416666667,96.0,4.0,298.0,12.41666667,239.0,9.958333333,4.0,0.166666667,322.0,13.41666667,863.0,35.95833333,0.0,0.0,0.0,0.0,0.0
Y1050277,4,1.0,1.0,494.0,494.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,14.0198547,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
Y1050277,6,1.0,1.0,138.0,138.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,15.13941208,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Y1050277,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050277,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
