username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050298,1.0,293.5,293.5,1.0,28.5,28.5,1.0,21.5,21.5,0.0,0.0,0.0,4.0,2.5,1.5,0.625,0.375,7.5874348585,6.0,2.0,0.5,4.0,1.0,0.5,0.125,6.5,1.625,2.0,0.5,6.0,1.5,1.5,0.375,0.0,0.0,12.5,3.125,3.5,0.875,16.0,4.0,11.0,2.75,0.5,0.125,20.0,5.0,47.5,11.875,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050299,1.0,187.75,375.5,0.5,34.0,34.0,0.5,43.0,43.0,0.0,0.0,0.0,3.0,2.0,1.0,0.3333333335,0.1666666665,5.66056063,2.0,2.5,0.4166666665,2.5,0.4166666665,0.0,0.0,15.0,2.5,8.5,1.4166666665,6.0,1.0,1.5,0.25,0.0,0.0,21.0,3.5,10.0,1.6666666665,31.0,5.166666665,9.5,1.5833333335,0.0,0.0,34.0,5.666666665,74.5,12.416666665,0.0,0.0,0.0,0.0,0.0,2.0,10.0
Y1050300,2.5,171.5,411.0,1.0,51.5,51.5,1.0,16.5,16.5,0.0,0.0,0.0,1.5,1.0,0.5,0.5,0.5,6.943978477,4.0,1.5,1.0,1.5,1.0,0.5,0.25,9.5,5.0,2.0,1.25,1.0,0.5,1.0,0.5,0.0,0.0,10.5,5.5,3.0,1.75,13.5,7.25,3.0,1.75,0.5,0.25,15.0,8.25,32.0,17.5,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050301,2.0,351.66666665,800.0,2.0,29.166666665,71.5,2.0,39.0,91.0,0.0,0.0,0.0,8.5,8.0,0.5,0.9615384615,0.0384615385,13.204631464999999,3.5,5.0,0.644230769,6.5,0.846153846,1.0,0.076923077,53.5,4.894230769,8.0,0.7884615385,8.0,1.048076923,3.5,0.528846154,0.0,0.0,61.5,5.9423076925,11.5,1.3173076925,73.0,7.2596153845,17.0,2.346153846,1.0,0.076923077,81.5,8.259615385,172.5,17.94230769,1.5,1.5,0.5,1.5,3.75,0.0,10.0
Y1050302,4.0,251.03333335000002,842.5,3.5,24.0,78.0,3.0,23.4999999985,70.5,0.0,0.0,0.0,14.0,9.0,5.0,0.611111111,0.388888889,11.185405815500001,2.0,5.0,0.322222222,12.0,0.8444444445000001,1.0,0.1,10.5,0.672222222,14.5,0.827777778,19.0,1.1444444445,5.0,0.3,0.5,0.05,29.5,1.8166666665000002,20.0,1.1777777779999998,49.5,2.9944444445,36.0,2.288888889,1.0,0.1,63.5,3.9944444445,150.0,9.37777778,1.5,1.5,1.0,1.5,6.125,0.0,10.0
Y1050303,3.0,301.33333335,904.0,1.5,44.75,57.5,2.5,58.166666649999996,168.0,0.0,0.0,0.0,7.5,5.5,2.0,0.7,0.30000000000000004,5.0103041645,3.0,7.0,0.9,6.5,0.9,1.0,0.1,92.0,9.549999999999999,23.5,2.6,25.0,2.8499999999999996,3.5,0.4,1.0,0.1,117.0,12.4,28.0,3.1,145.0,15.5,33.5,4.0,1.0,0.1,152.5,16.5,332.0,36.1,1.5,1.5,0.5,1.5,4.70875,7.0,20.0
Y1050304,2.0,275.66666665,693.0,1.5,37.5,68.5,2.0,26.0,65.0,0.0,0.0,0.0,9.5,5.5,4.0,0.4791666665,0.5208333334999999,11.441241195,1.5,2.5,0.15625,9.5,1.0,2.0,0.125,19.0,1.1875,6.0,0.375,19.5,2.4375,5.5,0.4791666665,0.0,0.0,38.5,3.625,11.5,0.8541666665000001,50.0,4.4791666665,32.5,3.7916666665,2.0,0.125,59.5,5.479166666499999,144.0,13.875,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Y1050305,5.0,223.6,1118.0,3.5,31.5,102.0,4.0,18.375,73.5,0.0,0.0,0.0,15.0,9.0,6.0,0.5238095235,0.4761904765,13.781612805,1.5,6.5,0.40476190450000005,14.5,0.976190476,3.5,0.1984126985,8.5,0.626984127,8.5,0.5,29.5,1.7539682540000001,6.0,0.44444444450000004,0.5,0.023809524,38.0,2.380952381,15.0,0.9682539685,53.0,3.3492063495,47.0,3.0,3.5,0.1984126985,68.0,4.3492063495,171.5,10.896825398,1.5,1.5,0.5,1.5,5.375,7.0,20.0
Y1050306,3.5,172.33333334999998,711.5,2.5,22.0,74.5,1.5,11.5,17.5,0.0,0.0,0.0,3.0,0.5,2.5,0.1,0.9,6.544039821,3.0,2.0,0.8,2.0,0.4,0.0,0.0,5.0,2.6,0.0,0.0,3.0,0.6,0.0,0.0,0.0,0.0,8.0,3.2,0.0,0.0,8.0,3.2,4.5,0.9,0.0,0.0,11.0,4.2,23.5,8.3,3.0,3.0,2.5,3.0,6.21875,0.0,10.0
Y1050307,1.5,189.0,353.5,1.0,18.5,37.0,1.5,13.25,23.5,0.0,0.0,0.0,5.0,3.0,2.0,0.5238095235,0.4761904765,7.281839247999999,2.0,2.0,0.380952381,4.0,0.761904762,0.5,0.07142857150000001,8.5,1.404761905,1.0,0.14285714300000002,6.0,0.857142857,0.0,0.0,0.0,0.0,14.5,2.261904762,1.0,0.14285714300000002,15.5,2.4047619050000004,10.0,1.6190476189999998,0.5,0.07142857150000001,20.5,3.404761905,46.5,7.5,1.5,1.5,0.5,1.5,3.54125,0.0,10.0
