feature,logistic,linear_svc,svc,GaNB,Decision_tree,Random_forest,NN
pause_video_sum,0.6293103448275862,0.6551724137931034,0.6609195402298851,0.6609195402298851,0.9310344827586207,0.8936781609195402,0.6637931034482758
pause_video_avg,0.6695402298850575,0.6666666666666667,0.6695402298850575,0.6781609195402298,0.942528735632184,0.9022988505747126,0.6637931034482758
stop_video_sum,0.6293103448275863,0.6120689655172413,0.5660919540229885,0.6408045977011494,0.853448275862069,0.8477011494252873,0.6580459770114943
stop_video_avg,0.5948275862068966,0.5660919540229885,0.5660919540229885,0.5977011494252873,0.9482758620689655,0.9109195402298851,0.5862068965517242
video_forward_seek_sum,0.5632183908045978,0.5833333333333334,0.5919540229885056,0.6063218390804598,0.925287356321839,0.9166666666666667,0.5919540229885057
video_forward_seek_avg,0.5545977011494253,0.5660919540229885,0.5545977011494253,0.5545977011494253,0.985632183908046,0.939655172413793,0.6293103448275862
video_backward_seek_sum,0.6120689655172413,0.5689655172413793,0.6091954022988506,0.632183908045977,0.9224137931034483,0.9051724137931034,0.5201149425287356
video_backward_seek_avg,0.5718390804597702,0.5689655172413792,0.5804597701149425,0.6551724137931034,0.9770114942528735,0.9626436781609196,0.6408045977011494
video_pause_forward_seek_sum,0.6063218390804598,0.6149425287356323,0.5948275862068966,0.6063218390804597,0.9511494252873564,0.9367816091954022,0.5948275862068966
video_pause_forward_seek_avg,0.5919540229885059,0.5977011494252873,0.5833333333333333,0.603448275862069,0.9913793103448276,0.9626436781609196,0.6120689655172413
video_pause_backward_seek_sum,0.6235632183908046,0.6350574712643677,0.6494252873563218,0.6436781609195402,0.9051724137931034,0.8793103448275863,0.6293103448275862
video_pause_backward_seek_avg,0.6149425287356323,0.6091954022988506,0.6264367816091954,0.6091954022988505,0.9712643678160919,0.9339080459770115,0.6494252873563218
video_stop_backward_seek_sum,0.5948275862068966,0.5689655172413792,0.6063218390804598,0.6005747126436781,0.7816091954022989,0.764367816091954,0.6293103448275862
video_stop_backward_seek_avg,0.5862068965517241,0.5862068965517241,0.5086206896551724,0.5862068965517241,0.8735632183908046,0.853448275862069,0.5
all_type_video_forward_seek_sum,0.5919540229885059,0.6120689655172413,0.6063218390804598,0.632183908045977,0.9655172413793103,0.9339080459770115,0.5229885057471264
all_type_video_forward_seek_avg,0.5862068965517242,0.5948275862068966,0.5948275862068966,0.5948275862068966,0.9913793103448276,0.968390804597701,0.603448275862069
all_type_video_backward_seek_sum,0.6350574712643678,0.6637931034482758,0.6494252873563218,0.6408045977011494,0.9482758620689655,0.9252873563218391,0.5632183908045977
all_type_video_backward_seek_avg,0.6436781609195403,0.5919540229885059,0.646551724137931,0.6436781609195401,0.985632183908046,0.939655172413793,0.646551724137931
all_type_video_seek_sum,0.5977011494252874,0.5977011494252874,0.617816091954023,0.6494252873563218,0.9655172413793103,0.9482758620689655,0.5804597701149425
all_type_video_seek_avg,0.5890804597701149,0.5890804597701149,0.5862068965517242,0.6063218390804598,0.9913793103448276,0.9425287356321839,0.6293103448275862
video_pause_sum,0.6091954022988506,0.6264367816091954,0.6235632183908046,0.6206896551724138,0.9712643678160919,0.9425287356321839,0.603448275862069
video_pause_avg,0.5948275862068966,0.6091954022988506,0.5747126436781609,0.6120689655172413,0.9913793103448275,0.9626436781609196,0.6091954022988506
video_stop_sum,0.6235632183908046,0.6091954022988506,0.5862068965517242,0.6436781609195402,0.8563218390804598,0.8362068965517241,0.6695402298850575
video_stop_avg,0.5689655172413793,0.560344827586207,0.5632183908045977,0.6063218390804598,0.9482758620689655,0.9281609195402298,0.5775862068965517
video_play_sum,0.6149425287356322,0.6149425287356322,0.6350574712643678,0.6494252873563218,0.985632183908046,0.9511494252873562,0.5517241379310345
video_play_avg,0.5948275862068966,0.5890804597701149,0.5890804597701149,0.6206896551724139,0.9942528735632183,0.9568965517241379,0.6005747126436782
video_events_sum,0.617816091954023,0.5890804597701149,0.6408045977011495,0.6551724137931034,0.9942528735632183,0.9626436781609196,0.5660919540229885
video_events_avg,0.5977011494252873,0.5890804597701149,0.5919540229885057,0.6235632183908046,0.9971264367816092,0.9741379310344828,0.5517241379310345
mt_practice_sum,0.6839080459770115,0.6609195402298851,0.6609195402298851,0.6235632183908046,0.8764367816091954,0.8620689655172413,0.6839080459770115
mt_unit_sum,0.6724137931034483,0.6810344827586207,0.7097701149425288,0.7068965517241379,0.8505747126436782,0.8390804597701149,0.6954022988505748
mt_online_num_day,0.6666666666666666,0.6436781609195401,0.6408045977011494,0.6551724137931034,0.8448275862068965,0.8304597701149425,0.6810344827586207
mt_online_practice_num_day,0.6781609195402298,0.6637931034482758,0.6896551724137931,0.6954022988505747,0.8563218390804598,0.8448275862068965,0.7040229885057472
hw_mean,0.7097701149425287,0.6982758620689655,0.7097701149425287,0.7068965517241379,0.9109195402298851,0.8936781609195402,0.7068965517241379
qz_mean,0.8045977011494252,0.7126436781609196,0.8448275862068966,0.8448275862068966,0.985632183908046,0.9741379310344829,0.5
