username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050207,2.0,820.0,2.0,12.0,12.0,6.0,12.0,0.0,121.0,52.0,11.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0
Y1050208,2.0,584.0,2.0,3.0,3.0,3.0,3.0,0.0,111.0,83.0,10.0,16.0,0.0,7.0,3.0,1.0,7.0,7.333333333,75.0,7.0
Y1050209,4.0,261.0,3.0,3.0,2.0,2.0,3.0,0.0,29.0,0.0,2.0,25.0,0.0,9.0,4.0,1.0,8.0,8.833333333,90.0,8.0
Y1050210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0
Y1050211,3.0,1091.0,2.0,11.0,7.0,9.0,9.0,0.0,145.0,55.0,40.0,21.0,0.0,9.0,4.0,9.0,4.0,7.416666667,100.0,4.0
Y1050212,3.0,834.0,2.0,12.0,10.0,9.0,12.0,2.0,124.0,26.0,35.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0
Y1050213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
Y1050214,4.0,1061.0,4.0,12.0,12.0,6.0,11.0,3.0,155.0,26.0,22.0,96.0,3.0,2.0,2.0,1.0,2.0,1.25,35.0,2.0
Y1050215,2.0,702.0,2.0,12.0,11.0,3.0,11.0,1.0,40.0,4.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0
Y1050216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
Y1050218,2.0,827.0,2.0,6.0,4.0,3.0,6.0,0.0,37.0,6.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0
Y1050219,5.0,654.0,3.0,8.0,3.0,7.0,5.0,0.0,23.0,5.0,3.0,10.0,0.0,6.0,4.0,1.0,6.0,7.333333333,80.0,2.0
Y1050220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0
Y1050221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,6.0,7.0,92.0,8.0
Y1050222,3.0,622.0,2.0,9.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,5.0
Y1050223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.333333333,65.0,2.0
Y1050224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,4.0,8.333333333,90.0,6.0
Y1050225,2.0,97.0,2.0,2.0,1.0,2.0,1.0,0.0,21.0,7.0,6.0,6.0,0.0,5.0,3.0,1.0,5.0,9.666666667,80.0,7.0
Y1050226,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,100.0,4.0
Y1050227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,35.0,1.0
Y1050228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,7.166666667,92.0,6.0
Y1050229,3.0,1217.0,3.0,11.0,9.0,4.0,11.0,0.0,72.0,1.0,6.0,61.0,0.0,7.0,4.0,1.0,6.0,10.0,100.0,9.0
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,2.0,2.0,40.0,1.0
Y1050232,2.0,582.0,2.0,8.0,7.0,3.0,8.0,2.0,94.0,20.0,23.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,1.0
Y1050233,1.0,231.0,1.0,3.0,1.0,3.0,2.0,0.0,63.0,17.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0
Y1050234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,9.0,2.0,2.0,35.0,1.0
Y1050235,1.0,232.0,1.0,6.0,5.0,3.0,4.0,2.0,48.0,25.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,0.75,45.0,1.0
Y1050236,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,10.0,4.333333333,95.0,2.0
Y1050237,1.0,76.0,1.0,5.0,5.0,1.0,3.0,2.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050238,1.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,3.0,0.0,1.0,1.0,35.0,4.0,23.0,10.0,6.666666667,95.0,4.0
Y1050239,1.0,32.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.333333333,40.0,1.0
Y1050240,2.0,379.0,2.0,5.0,1.0,5.0,4.0,0.0,115.0,41.0,18.0,33.0,0.0,11.0,3.0,9.0,3.0,2.5,30.0,1.0
Y1050241,1.0,141.0,1.0,3.0,1.0,3.0,2.0,0.0,32.0,13.0,1.0,6.0,0.0,3.0,2.0,4.0,2.0,3.25,83.0,2.0
Y1050242,1.0,185.0,1.0,3.0,1.0,3.0,3.0,0.0,64.0,30.0,17.0,13.0,0.0,2.0,2.0,1.0,2.0,0.0,90.0,2.0
Y1050243,1.0,46.0,1.0,2.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0
Y1050244,1.0,133.0,1.0,6.0,2.0,3.0,5.0,1.0,23.0,2.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0
Y1050245,1.0,110.0,1.0,4.0,2.0,1.0,4.0,0.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0
