username,active_num_days,active_avg_count,active_sum_count,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
104602017.0,1.6666666669999999,213.20833330000002,453.83333330000005,27.16666667,50.33333333,0.833333333,2.0,1.5,0.305555556,6.666666667,1.8333333330000001,1.0,2.5,9.522222222,8.833333332999999,0,52.83
104602018.0,2.333333333,162.6138889,628.5,17.77777778,35.33333333,1.333333333,1.8333333330000001,1.6666666669999999,0.444444445,5.5,2.0,1.5,2.666666667,9.766666667,7.222222222,1,54.02
104602019.0,3.5,167.5638889,716.0,27.30555556,43.33333333,1.6666666669999999,6.5,4.333333333,0.419444445,6.166666667,2.0,1.166666667,2.166666667,9.866666667,5.8888888889999995,0,80.67
104602020.0,2.166666667,165.37222219999998,431.83333330000005,31.91666667,36.5,0.333333333,0.333333333,0.333333333,0.333333333,4.5,1.8333333330000001,1.333333333,1.8333333330000001,9.533333333,8.944444444,1,77.99
104602021.0,2.5,64.65277778,256.1666667,6.833333333,13.66666667,0.5,1.166666667,1.0,0.14285714300000002,3.166666667,1.5,0.833333333,1.5,9.294444444,6.333333333,1,80.61
104602022.0,1.333333333,250.08333330000002,488.5,28.16666667,28.16666667,0.833333333,6.166666667,3.0,0.40555555600000004,3.333333333,1.6666666669999999,1.333333333,1.6666666669999999,9.705555556,9.833333334,1,83.56
104602023.0,1.8333333330000001,65.16666667,257.3333333,4.833333333,14.5,0.666666667,1.5,1.166666667,0.291666667,5.0,2.0,1.0,2.0,7.283333333,9.666666667000001,1,95.5
104602024.0,1.8333333330000001,190.54166669999998,282.1666667,16.75,17.16666667,1.0,1.333333333,0.833333333,0.35,3.666666667,1.166666667,0.833333333,1.333333333,7.794444445,7.444444445,1,72.67
104602025.0,2.5,85.41666667,313.0,11.41666667,28.16666667,1.166666667,2.5,1.5,0.19940476199999999,3.833333333,1.5,0.666666667,1.5,7.433333332999999,5.6111111110000005,1,61.38
104602027.0,4.0,103.64444449999999,413.0,15.0,22.5,1.6666666669999999,3.333333333,2.666666667,0.661111111,3.5,1.333333333,0.833333333,1.333333333,9.633333333,9.722222222000001,1,57.3
104602028.0,2.5,263.2361111,658.3333332999999,29.33333333,43.5,1.5,8.0,5.5,0.48095238100000004,4.166666667,2.166666667,1.166666667,2.166666667,9.905555556,9.666666667000001,1,104.16
104602029.0,3.166666667,200.02777780000002,564.0,29.5,29.5,1.5,7.333333333,4.833333333,0.48030303,7.0,1.8333333330000001,1.166666667,2.166666667,9.827777778,7.944444445,1,67.13
104602030.0,1.0,161.88888889999998,446.33333330000005,13.5,13.5,0.833333333,2.833333333,2.333333333,0.22777777800000001,4.0,1.5,0.833333333,1.6666666669999999,9.733333334,7.3888888889999995,0,54.11
104602031.0,2.666666667,172.4305556,382.1666667,24.06944444,36.16666667,0.166666667,0.333333333,0.333333333,0.166666667,5.333333333,1.5,1.166666667,1.6666666669999999,9.594444445,7.6111111110000005,0,50.2
104602032.0,0.333333333,44.5,44.5,2.833333333,2.833333333,0.166666667,0.666666667,0.333333333,0.083333333,0.333333333,0.333333333,0.333333333,0.333333333,9.738888889,9.888888889,0,51.06
104602033.0,3.666666667,196.1333333,681.0,15.43055556,43.5,3.0,7.166666667,4.166666667,0.5918803420000001,3.666666667,1.6666666669999999,1.0,1.6666666669999999,8.1,7.222222222,1,82.94
104602035.0,2.333333333,183.05,433.0,15.58333333,22.5,1.166666667,3.5,2.166666667,0.581481482,3.666666667,1.8333333330000001,1.6666666669999999,2.333333333,9.888888889,9.888888889,1,80.48
