username,active_num_days,problem_num_days,video_num_days,complete_rate,pause_video_sum,pause_video_avg,all_type_video_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050239,0.166666667,0.0,0.166666667,0.166666667,0.166666667,0.166666667,0.0,0.333333333,0.333333333,0.333333333,0.05882352900000001,6.666666667,0
Y1050240,0.666666667,0.166666667,0.666666667,0.291666667,1.666666667,0.358333333,4.0,1.833333333,0.5,0.5,0.441176471,5.0,0
Y1050241,1.333333333,0.666666667,1.333333333,0.53505291,5.5,0.856150794,9.333333332999999,0.5,0.333333333,0.333333333,0.5735294120000001,30.5,0
Y1050242,0.666666667,0.333333333,0.666666667,0.287878788,2.5,0.429292929,11.33333333,0.333333333,0.333333333,0.333333333,0.0,28.33333333,0
Y1050243,0.5,0.0,0.5,0.291666667,2.0,0.363425926,1.0,0.0,0.0,0.0,0.0,15.83333333,0
Y1050244,0.5,0.166666667,0.5,0.322222222,2.0,0.3722222220000001,2.166666667,0.0,0.0,0.0,0.0,14.16666667,0
Y1050245,0.5,0.5,0.5,0.291666667,2.0,0.466666667,1.0,0.0,0.0,0.0,0.0,10.83333333,0
Y1050246,0.5,0.333333333,0.333333333,0.25,0.5,0.333333333,0.333333333,3.5,1.5,2.166666667,3.342941176,20.83333333,1
Y1050247,0.666666667,0.333333333,0.666666667,0.13888888900000002,1.0,0.5,3.166666667,3.666666667,1.5,2.333333333,3.529411765,31.16666667,1
Y1050248,0.5,0.333333333,0.5,0.395238095,1.833333333,0.35952381,0.5,1.333333333,0.833333333,0.833333333,1.6764705880000002,34.16666667,1
Y1050249,0.5,0.166666667,0.5,0.406084656,2.5,0.350529101,0.333333333,3.666666667,0.5,0.666666667,0.705882353,38.83333333,1
Y1050250,0.333333333,0.0,0.333333333,0.291666667,1.5,0.180555556,0.0,1.666666667,0.5,0.5,0.735294118,0.0,0
Y1050251,0.333333333,0.0,0.333333333,0.333333333,1.833333333,0.186868687,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050252,0.5,0.5,0.5,0.333333333,2.166666667,0.335978836,1.833333333,0.0,0.0,0.0,0.0,8.833333332999999,0
Y1050253,0.833333333,0.5,0.833333333,0.107407407,2.5,0.5,4.833333333,0.833333333,0.5,0.833333333,0.235294118,15.83333333,0
Y1050254,0.5,0.333333333,0.5,0.208333333,1.333333333,0.375,1.0,1.666666667,0.666666667,1.0,1.470588235,25.5,0
Y1050255,2.0,1.0,1.666666667,0.552380952,4.333333333,0.626190476,8.166666667000001,3.833333333,1.666666667,2.333333333,3.098235294,56.5,1
Y1050256,0.5,0.333333333,0.5,0.166666667,0.5,0.333333333,0.666666667,1.666666667,1.0,1.0,0.661764706,41.5,1
Y1050257,0.833333333,0.5,0.5,0.125,1.333333333,0.5,4.166666667,0.333333333,0.333333333,0.333333333,0.176470588,65.0,1
Y1050258,0.5,0.333333333,0.5,0.166666667,1.833333333,0.4166666670000001,7.166666667,0.333333333,0.333333333,0.333333333,0.294117647,10.83333333,0
Y1050259,1.5,1.333333333,1.333333333,0.625,9.833333332999999,0.8121980679999999,15.66666667,4.166666667,3.0,3.5,6.1541176470000005,89.16666667,3
Y1050260,1.833333333,1.166666667,1.5,0.768518519,8.833333332999999,0.950231482,24.66666667,0.0,0.0,0.0,0.0,68.5,1
Y1050261,5.333333333,2.5,0.166666667,0.111111111,0.5,0.166666667,0.0,2.666666667,2.666666667,2.666666667,6.039411765,82.16666667,3
Y1050262,1.666666667,1.0,1.166666667,0.49537037,2.5,0.759259259,0.5,0.833333333,0.833333333,0.833333333,1.235294118,76.66666667,1
Y1050263,1.833333333,0.666666667,0.5,0.305555556,3.666666667,0.333333333,19.5,0.0,0.0,0.0,0.0,57.5,1
Y1050264,2.333333333,1.666666667,1.666666667,0.604129531,8.0,0.61801842,4.833333333,0.166666667,0.166666667,0.166666667,0.441176471,71.83333333,1
