,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25
watched_time_hour,0.11702310125946651,-0.14110657127687173,0.04448911873364155,-0.10935558260966016,-0.12879529542379006,0.09665740826545051,0.07273277201754606,-0.12716955813096623,-0.10151547159362323,0.09398098092914137,0.3553477526129851,0.3257134734804914,-0.5908234515136044,-0.016506005895400702,-0.06994589051390648,0.3941231072140297,-0.26618294663637837,-0.1458208409661948,0.06859805685521252,0.10928459925409031,0.07132767690691227,0.030952095400437724,-0.032802692784925605,0.11392964767380928,0.014439979956399375
watched_time_weekday,0.051045679017843584,-0.06142731643946426,-0.05876618482878041,-0.012967719458874873,0.03855935007026409,0.3313534606207148,0.6154664330820939,0.09562615994286117,0.008593089519462194,-0.01580065476840481,-0.2577779357978301,-0.09592221418812935,-0.1376623456813822,0.025222703494308385,0.4100272437678787,-0.17856031260485927,-0.13397820363882498,-0.3582542869958477,0.0746696803025487,-0.1500115910702922,0.0594732631300159,-0.05870171618016641,0.00921049402272997,-0.04074965412742584,-0.027659733140785115
seek_video_sum,0.1555422054211921,-0.03258813233037125,-0.17191903715669946,-0.17572868070594205,0.023338323869224388,-0.009720537959436913,-0.0619519605263929,0.025954577749351657,0.16957721794444475,-0.19462086854346128,0.0812233044464325,0.04669071242216316,0.0726569015402235,0.10401239367215238,-0.07991354795668013,-0.13118125802743688,0.16918220033388337,-0.17154024508221027,0.3339001289623593,-0.06495701703294232,0.023035530859256567,0.18111672185148586,-0.06273526559884704,0.007919726956204826,0.026164279822117446
seek_video_avg,0.14521408931555288,-0.02357145567396697,-0.1984438552262084,-0.17957228831851996,-0.12462502648443927,-0.052247572650495754,0.0690792628619379,0.04764802057427589,-0.023702627303586906,-0.03395355584808782,0.05961314374887822,0.17051844813051859,-0.060300010806307175,0.0776989993580086,-0.3244169456112878,-0.2684214609796015,0.22416933704094155,-0.16303851714772824,0.4177681522813905,-0.004072784119832085,-0.09496215522897541,0.26848279497263006,0.09171952554277735,-0.13847476544078022,0.010042371714761744
pause_video_sum,0.1639688149788612,-0.11033753382910359,-0.06006339781020737,-0.09659566467308105,0.036017578938792864,0.10818498369003601,-0.05490830039132318,-0.07313917421744835,0.23765901737966816,-0.19577518100998614,-0.03763841842867969,-0.08897847065361454,-0.024156984650454266,0.05237097071973379,-0.042790956703464625,0.0674743128741398,-0.0300090031985073,0.011411601810528249,-0.13604416339100558,0.10284690574475501,-0.08237886358022069,-0.09541939772239288,-0.006886544409279825,0.06936648078422847,-0.08205133025683642
pause_video_avg,0.1493806354444556,-0.11740295122996121,-0.04852219652048026,-0.05685342663257837,-0.14504750168726005,0.1603870440805042,0.21601677277374481,-0.1414028392172666,-0.012687328912477907,0.05076328325113418,-0.16211372996972667,-0.16922163783182204,-0.13373809176826862,0.07974681265192152,-0.15548754774405177,-0.014364481163101628,0.17294626875128824,0.4288439724744982,-0.1700856168160696,0.05109809995196879,-0.08572135661198754,0.20123082929814226,-0.11202345840266426,0.16258599834217163,0.09153813045456208
stop_video_sum,0.13651405157497087,-0.09945488973360908,0.2470857886602636,-0.14985379331920842,0.07607698283600692,0.04608667081636561,-0.02914221296253015,-0.038179027276086464,-0.011363178566587102,-0.06266834142206158,0.23769542542301117,0.05399338657772167,0.1626935783735178,0.06412695666876583,-0.026575431370867708,-0.27031700306026685,-0.2279489022638302,-0.02937698027247293,-0.13581607498271142,0.06587562933054991,-0.0521352328291971,-0.055904968841656605,0.04465965758555615,-0.07990239502983029,-0.03605986275662605
stop_video_avg,0.11411825158237712,-0.0921608960244023,0.28716629413643385,-0.15239196043266215,0.016352882787056863,0.040845599883192044,0.13645346888518872,-0.11054610360427118,-0.16543629456458953,0.13444559486579571,0.20072351450427733,-0.04121461280379797,0.3012975530450882,0.04732272714813862,0.1259234370258621,0.15783643856315807,0.1601886131228797,0.0390042068034685,0.08876133497930427,-0.10415038042289367,0.037186400575352,0.07713765811869203,-0.03756337318141839,0.08625908691556627,0.01892512428977825
video_forward_seek_sum,0.09816830970040501,0.10246847563165913,-0.29242830554593424,-0.09230789697134198,0.24855428598606008,-0.14198081130501156,-0.04404207330549169,-0.21747118525092915,-0.03645087166812082,0.1337479339619892,0.1458401895157585,-0.12163400813818254,-0.055990452363112786,0.04917948899548098,0.16841263744240137,-0.043981486840024384,-0.005819568003973152,0.03387589979245287,-0.019003192499893948,-0.09675823399221001,0.09791432976804035,-0.046237264303672365,-0.05202017677262996,0.05096162219005981,0.09302211981881431
video_forward_seek_avg,0.09353437215247853,0.0991957364438767,-0.30451451918547545,-0.11168562913313375,0.17652716668654914,-0.14369276933194666,-0.008432472644623433,-0.2239081118778062,-0.1673573047045393,0.21416779134764033,0.14284946863208656,-0.066523967881809,-0.1053414862962062,0.000854373524838961,0.04705009038321209,-0.14319708052338298,0.0500858613823572,-0.04494736734382865,-0.15781228244981982,-0.16641941259885268,-0.10548514875389392,-0.1333643319074742,0.07168394836113451,-0.0031277604092012634,-0.07993865076823703
