,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21
num_watched,0.161374143816,-0.109911090006,0.0668696754985,-0.117107275754,0.115912603134,-0.164676574625,-0.0774737123947,0.112193799097,-0.0181627715475,-0.0674904600818,-0.0810368320636,0.0584543031504,0.0330673977007,-0.00662376663992,0.108504652085,0.0672370978927,0.165971085823,0.0287960618939,0.176884121012,0.0420073330059,0.00526331360597
num_complete,0.156403446683,-0.104351328391,0.107782975979,-0.0408307615759,0.188727222377,-0.119683315606,0.00187208836696,0.0864437597159,-0.167314087605,-0.0720947026521,-0.0970885065646,0.114569818171,0.089093717018,-0.0295047371703,0.122424613312,-0.0759996558729,0.147244142474,0.00953704257464,0.101174453659,-0.0788364755448,0.113393674763
num_incomplete,0.114576436033,-0.0830135756978,-0.0508739098079,-0.249463889456,-0.0925225926838,-0.208287361191,-0.2311425292,0.130682550789,0.329744977711,-0.0326230438832,-0.0150865059232,-0.0910486730015,-0.107079665368,0.0481313564596,0.037531218793,0.370822327308,0.148999917424,0.0624931242738,0.286394336439,0.30343731327,-0.244110286548
complete_rate,0.151290952017,-0.0990375298908,0.132244967718,0.0544743671897,-0.0633689044867,-0.0425569008455,0.181343366674,0.00920194662779,-0.288832100695,-0.0818822583939,-0.0987000797081,0.0965394948349,0.202181676955,0.112679463105,-0.0118136910463,-0.062980708445,0.242969865397,0.289488201908,-0.0612140018405,-0.0424827413017,-0.0400195273612
incomplete_rate,0.0626550975892,-0.0754917319479,-0.0547925368654,-0.177974184852,-0.412296153362,-0.144965124244,-0.159913552141,0.0015817377208,0.460247044671,0.0352124244747,-0.0515662709268,-0.0587493587605,-0.268747495459,-0.0436041037065,0.0345469044974,-0.163880993316,-0.163529181056,0.0788560660798,-0.110495604942,-0.303126551272,0.119490821503
watched_time_hour,0.108803095601,-0.141227361164,0.0890569504945,0.00558462245673,-0.271233578329,-0.00575470969282,0.0355894432916,0.012229099972,-0.0541512002542,-0.166383013686,-0.0594218124892,-0.0362644991028,0.469809276452,-0.603562891519,0.0456483682331,0.210880964708,-0.438601737064,0.0048841712991,0.061411523432,0.0643689396488,0.0348346952876
watched_time_weekday,0.0953262839837,-0.0609963987945,0.0994171239247,-0.082260737328,-0.297105901257,-0.151860892655,0.335631154818,0.124441442232,0.147804079925,-0.162022370074,0.0443986610568,0.273269612952,0.160589496162,0.231322464466,-0.238259321701,-0.347871608397,-0.0246284235307,-0.354376806663,-0.00335083367527,0.344564906357,-0.165605737365
seek_video_sum,0.160681346598,-0.0304105055915,0.0362420142628,-0.202837025816,0.114489760813,-0.0185956003544,-0.0800100290273,0.127313017864,-0.0235706565505,-0.078766573886,0.0103663112032,0.109752724159,0.0109217471785,0.0469430490113,0.159810719543,0.178148883658,0.0599164831459,-0.184055199584,-0.251700880055,0.0440802242931,0.0637325774298
seek_video_avg,0.153121925839,-0.017063048706,0.0196869999622,-0.160171778544,-0.20086367306,0.0772876244797,-0.00936688823833,0.00735584231714,-0.06522557543,-0.0169265795305,0.10618488171,0.158656613635,0.00302446954506,0.00676326670138,0.287355202024,0.14348204801,0.148228307384,-0.269205942577,-0.466478150076,-0.0210712216684,0.222706110328
pause_video_sum,0.164921854319,-0.0983411155925,0.0477456352662,-0.105461611301,0.108852241129,-0.158491747013,-0.0862789551195,0.100798221396,-0.0384786959551,-0.0471021666481,-0.095293263483,0.0899001801875,0.0575903741233,0.0258533731549,0.0958391779583,0.0693450359379,0.121486682746,0.0800508602106,0.136557682103,0.000665674687381,-0.0605631290691
