,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27,comp 28
all_type_video_seek_avg,0.161538903386,0.161196334416,0.0436377589498,-0.0155051712895,-0.0369145642449,-0.0070334179148,0.150869815781,0.0143688353697,-0.0799090671471,0.00686138867689,0.0584768991042,-0.031733197434,0.0379525106829,-0.0734201886174,-0.0645651518585,-0.0417057812747,-0.0372914368403,0.0517833123424,0.0529500133014,-0.0842491254919,-0.0409629756949,0.0717280605838,-0.00367233151537,-0.0569853433567,0.0116144086744,-0.0781098610295,-0.0119805834367,-0.0269632874939
video_pause_sum,0.159459397458,0.104464869201,-0.0553778416025,0.153947785504,-0.1352890378,0.0878211744925,-0.111611957904,-0.0239021658281,0.0125590244246,0.00523890302931,-0.0393986910921,0.0876270479815,0.0509286676761,0.0143319917033,-0.0185854415323,0.111691489392,0.0160158766294,-0.10520463418,-0.0667963095239,0.00288563792654,0.0457789876627,-0.0656361864917,-0.151373414352,0.156384146945,-0.14074004805,-0.155310620402,-0.00610837336494,0.116550289102
video_pause_avg,0.153073750876,0.113321653813,-0.0514050140217,0.107523395583,-0.251374265868,0.108975663048,0.0753067509607,-0.0040707077922,-0.072238979254,0.00211605023984,0.0183973980898,0.110380479411,0.11735290295,-0.0477515803602,-0.0980808205588,-0.00223844687204,0.00726464098351,0.0801579172696,0.0613258180445,0.0263041581326,0.00821729386655,0.00847478147677,0.140614644127,-0.144750992396,0.0897803844706,0.0892799855773,0.0105484940684,-0.108734164357
video_stop_sum,0.130301455617,-0.100296817849,-0.300237191175,-0.00763013181974,0.0913833474689,0.0205627500497,-0.0413013142239,0.00131700973057,0.0640040415681,-0.05497339255,-0.174366725273,-0.171484372229,0.0485122297695,-0.211634991777,-0.152598531431,-0.144767297038,0.16254302447,-0.128471269298,0.0737489803366,-0.060096599272,0.0734941887486,0.265655119058,-0.0389166272386,-0.0344955422475,-0.0572714076749,0.216761368318,0.0780953602992,0.167114772048
video_stop_avg,0.102579586885,-0.115978957262,-0.348290060767,-0.113663794939,0.00101578899299,0.0559301478469,0.19808992454,0.111850918727,-0.0279272541276,-0.0348676814166,-0.145972761447,-0.204051058185,0.17856329046,0.0653406647263,0.250221713576,0.0952112389651,-0.0989005955886,-0.0029384939635,-0.0770188995929,0.0575351631148,-0.121589837836,-0.126324092986,0.042742354896,0.0022045751917,-0.00141241452395,-0.11231047867,-0.0652769713168,-0.0791624072741
video_play_sum,0.167449283893,0.137160201106,0.0333966549487,0.0377741251351,0.0691062236059,0.00745444008472,-0.0263232231734,-0.0312349016609,0.0529315480505,0.00581789503562,-0.0590241010285,0.00440611735705,-3.35618590224e-05,0.0444713009456,0.061422206624,0.058632135334,0.0649484273358,-0.0561220793271,-0.076021470726,-0.0264564147501,0.0522984285104,-0.0847180756676,-0.0389003763185,0.0150600320909,0.00247219214601,0.0688996154858,0.00652508253217,0.0249520639794
video_play_avg,0.164283667132,0.143300605599,0.0428859246444,-0.0292819385009,-0.0498611568713,-0.0050390103334,0.150324925347,0.0147629717654,-0.0724800260632,0.00859813145006,0.0528655322256,-0.0241273071882,0.0318340568937,-0.0689713754596,-0.060340942484,-0.0534871088642,-0.0329991553551,0.0653195241965,0.0339903628914,-0.0739248959025,-0.0363073633712,0.0631490260665,0.00568217690007,-0.0460860475417,0.00798005610659,-0.0669916056902,-0.00677241551942,-0.00583181396122
video_events_sum,0.167600348837,0.137099893439,0.0125396059244,0.0675432208746,0.0239059503724,0.0252981459873,-0.0417815432316,-0.0264801914008,0.0404835431914,0.00416078595275,-0.0554175487476,0.0197254345299,0.0116712110876,0.0379505510735,0.0446525878543,0.0720176461819,0.0588642997406,-0.0732456904629,-0.0762918099221,-0.018588367184,0.0505321795491,-0.0858436444238,-0.0673816928937,0.0506036151786,-0.0316363836584,0.0284642821922,0.00635189235913,0.0497717388547
video_events_avg,0.164073351568,0.144516416809,0.0189430212626,0.00703954845579,-0.0935011852108,0.0215503897285,0.13672878504,0.011230138502,-0.0766594925754,0.00628397444436,0.0466208425903,0.00292627465943,0.0562847051655,-0.0662922501754,-0.0700233208517,-0.0370389816476,-0.0263773431643,0.0647470777963,0.0476688103985,-0.0549010937905,-0.0290383944166,0.0535628981948,0.0345071938388,-0.074357626713,0.0288659904755,-0.0361437970308,-0.0052492039396,-0.0389396078822
mt_practice_sum,0.111742008488,-0.232495408681,0.133989450787,0.270342664941,0.0692446691757,-0.0450290868396,0.129780641337,0.119469597524,0.0243079756252,-0.111268615568,-0.0509546015798,0.049178397039,0.00240221183362,-0.0309237439939,0.0204888557271,-0.0217064870254,-0.0224895238789,0.0423269067045,0.0104188131162,-0.0388199175941,0.0294022202712,0.029766934762,-0.0403640844701,0.142859378918,0.149750366887,-0.037929370592,0.228883764003,-0.100426471606
mt_unit_sum,0.111742008488,-0.232495408681,0.133989450787,0.270342664941,0.0692446691757,-0.0450290868396,0.129780641337,0.119469597524,0.0243079756252,-0.111268615568,-0.0509546015798,0.049178397039,0.00240221183362,-0.0309237439939,0.0204888557271,-0.0217064870254,-0.0224895238789,0.0423269067045,0.0104188131162,-0.0388199175941,0.0294022202712,0.029766934762,-0.0403640844701,0.142859378918,0.149750366887,-0.037929370592,0.228883764003,-0.100426471606
mt_online_num_day,0.111763199071,-0.222922691325,0.125978107466,0.264692876347,0.035798085817,-0.100050551837,0.134115114959,0.103942489303,0.045086007161,-0.0489048567969,-0.0171823939367,0.0525948888254,-0.0164183591003,-0.0764587935946,0.0646273089153,-0.0318355758381,-0.0671729770692,0.0115337669311,-0.109700502647,0.337665834899,-0.128722582773,-0.0465361916908,-0.345132408518,-0.571461308403,-0.150567060649,0.00091984307969,-0.258796904016,0.280158474501
mt_online_practice_num_day,0.111742008488,-0.232495408681,0.133989450787,0.270342664941,0.0692446691757,-0.0450290868396,0.129780641337,0.119469597524,0.0243079756252,-0.111268615568,-0.0509546015798,0.049178397039,0.00240221183362,-0.0309237439939,0.0204888557271,-0.0217064870254,-0.0224895238789,0.0423269067045,0.0104188131162,-0.0388199175941,0.0294022202712,0.029766934762,-0.0403640844701,0.142859378918,0.149750366887,-0.037929370592,0.228883764003,-0.100426471606
