,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17
video_stop_backward_seek_avg,0.0763805686472,-0.0643478524208,0.252620700465,-0.167688743746,-0.136934832938,-0.254919633637,0.164021233841,-0.0367388098933,-0.373648524265,0.207103724831,-0.205015216418,0.313747708384,0.335259489899,0.203727270712,0.151697909634,0.261356632962,0.147476881084
all_type_video_forward_seek_sum,0.164253124505,0.134302968213,-0.0707142900902,0.047964595274,-0.0487432275009,0.0863863158144,0.0189422618716,-0.0280177597,0.0686168392064,-0.0496398143791,-0.143844535963,0.0502459014473,-0.028053704938,0.0835798340126,-0.0175043444659,0.191241246893,-0.0889283142181
all_type_video_forward_seek_avg,0.153457771464,0.155278392085,-0.093654104706,-0.00425093172253,0.0852125192192,0.00739244899998,0.224203903146,-0.0756910298842,-0.0297139393789,-0.114214593394,-0.0848947759557,0.0370222758678,-0.171309471017,-0.0229552956051,0.120198264553,-0.00262957625171,0.0225505739989
all_type_video_backward_seek_sum,0.156672526096,0.145177403895,0.0487085644906,0.041627887678,-0.124514669171,-0.0872646415186,-0.145660525469,0.0629969372355,0.00480007470248,0.150103651314,0.15373607752,-0.0905402251144,0.0956141186582,-0.00518114007193,-0.101638738643,-0.0747327926938,-0.0517435330242
all_type_video_backward_seek_avg,0.154011969069,0.166128818428,0.0334973715273,0.0054679131275,-0.01584973093,-0.166328818685,0.00716307503873,0.0172171518584,-0.101647689887,0.109116972896,0.270057271212,-0.0821536828917,0.102208506193,-0.0765674266625,-0.0731780132543,-0.12529161372,0.0835074541253
all_type_video_seek_sum,0.167169306057,0.143148543866,-0.0280096860183,0.0472558138687,-0.079135422834,0.0237112409327,-0.0426839588738,0.00543965439653,0.0468823003233,0.0242041029888,-0.0362923912122,-0.00126446255025,0.0177599091982,0.0529322430338,-0.0499612302857,0.0973198270731,-0.0779879348204
all_type_video_seek_avg,0.160617856561,0.166346134391,-0.0506601417845,-0.000832920984974,0.0515284222036,-0.0568117517981,0.153731222016,-0.044604769287,-0.057784589498,-0.0364204904556,0.0431263387535,-0.00557506777591,-0.0774579602822,-0.0439130002042,0.0538040132716,-0.0483189231615,0.0462185862922
video_pause_sum,0.159265563554,0.11041634479,0.0613854247946,0.157734002378,0.115365075325,0.0509450941757,-0.13907368669,-0.00740721302596,0.017901129062,0.00926355591432,-0.0468155725326,0.089873615601,-0.0189171676427,0.0275518091379,0.00327047304875,0.126545108907,-0.0182421314265
video_pause_avg,0.15224664199,0.131986264973,0.0500215015512,0.1135307552,0.258766179339,-0.0196222378333,0.0394454363692,-0.0489246247162,-0.0252524075579,-0.0196299441513,-0.0157536662483,0.132663465245,-0.111912592119,-0.00123504728481,0.0780420885253,-0.00703282488055,0.0313105623769
video_stop_sum,0.131641493948,-0.0821535415146,0.307568909749,-0.0245855898353,-0.081906971701,0.0872535124639,-0.0270366494552,0.00416172353831,0.0652004979147,0.0502489617638,-0.0682882821615,-0.193704742051,-0.218248972274,-0.15668718484,0.119536284049,-0.11156921503,-0.208012870719
video_stop_avg,0.101653080474,-0.0811581873033,0.367132561553,-0.112147750959,0.0550138577738,0.021490767052,0.215507054365,0.106459822247,0.030099149523,0.047469270317,-0.0354857462178,-0.240861166596,-0.0877192022705,0.246243211248,-0.117310203921,0.096197577669,0.125387244232
video_play_sum,0.169528929246,0.126205326872,-0.0258890175505,0.038857348439,-0.0798764870542,0.0300392096066,-0.0549663733385,0.00253686168295,0.0561520928075,0.020585234693,-0.0407137107772,0.0027802810993,0.018864874539,0.0476672847139,-0.0457931035133,0.0879501949042,-0.063542997893
video_play_avg,0.163435836771,0.14932037455,-0.049585736867,-0.0140693657954,0.0647556582006,-0.0578079678609,0.150464133668,-0.0398096877068,-0.0492126357561,-0.0373339243309,0.0359424028833,-0.000971623429078,-0.0703926893225,-0.0413663509577,0.0479377607637,-0.061379238101,0.044210011403
video_events_sum,0.168957114683,0.129679729103,-0.00399320604471,0.0710100007618,-0.0338747801746,0.0336158896131,-0.0715020832587,0.00127450232218,0.0445070508371,0.0197534111536,-0.0414332052932,0.0211384886613,0.00819155720311,0.0443579577156,-0.0352899728382,0.10110470548,-0.0600256783351
video_events_avg,0.162899629375,0.153227378933,-0.02378121305,0.0211316538654,0.108674500347,-0.0488331566497,0.128379959975,-0.0437104719935,-0.0471225773602,-0.0329019228967,0.0262960976421,0.0282940369557,-0.0849287031618,-0.0314020780677,0.0574292892829,-0.0434403625647,0.0433818661629
mt_practice_sum,0.111031258322,-0.243625291205,-0.095561075525,0.27241814599,-0.0613998529397,-0.0853820669901,0.138305677687,0.0548404620642,0.0504718669206,0.119250562677,-0.0180474963299,0.034180724568,-0.0456277208275,-0.0164404475841,-0.0621800998163,-0.0266569267964,0.0339269997307
mt_unit_sum,0.111031258322,-0.243625291205,-0.095561075525,0.27241814599,-0.0613998529397,-0.0853820669901,0.138305677687,0.0548404620642,0.0504718669206,0.119250562677,-0.0180474963299,0.034180724568,-0.0456277208275,-0.0164404475841,-0.0621800998163,-0.0266569267964,0.0339269997307
mt_online_num_day,0.112985167836,-0.226003587488,-0.0889548703427,0.268214301808,-0.0622265892245,-0.123543667513,0.122601943349,0.0659162408635,0.0326426255741,0.0686959205493,-0.0304351043474,0.00177578189894,-0.0579747548767,-0.0613041741519,-0.108941512252,-0.0275107536599,0.00322383539832
mt_online_practice_num_day,0.111031258322,-0.243625291205,-0.095561075525,0.27241814599,-0.0613998529397,-0.0853820669901,0.138305677687,0.0548404620642,0.0504718669206,0.119250562677,-0.0180474963299,0.034180724568,-0.0456277208275,-0.0164404475841,-0.0621800998163,-0.0266569267964,0.0339269997307
