,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13
watched_time_weekday,0.0769572578439,-0.0468607419198,0.0326290923681,-0.253735820097,0.266481091997,-0.0200004270031,-0.0429337100728,-0.0315902954799,-0.294990380218,0.10232508796,-0.226014973819,0.39583992413,0.0852014582705
seek_video_sum,0.179737895596,0.0118594255039,0.00602669645914,-0.0180082438884,0.0999668474157,-0.0947690954182,-0.120142620113,0.0858252209133,-0.0174561665501,-0.15674183313,0.0735996011354,0.0242686266359,-0.0512738621734
seek_video_avg,0.157782228547,0.0521155951087,0.117826653277,-0.122825873967,0.137314478408,0.0125730847382,0.114670113118,-0.061495046133,-0.0146688111547,-0.153484855662,-0.0771839730284,0.000974337701466,-0.0880037886235
pause_video_sum,0.168844998235,-0.132500800661,-0.0654791003158,0.0418936101051,0.0837393384624,-0.16808326774,-0.0972846395539,0.0615097917094,-0.0787948676658,-0.0228012474872,0.0729206553076,0.108110413406,-0.12146977845
pause_video_avg,0.148646839064,-0.116364638823,0.086949048501,-0.0885504517444,0.113831985682,-0.0626733598778,0.223936857633,-0.133178595321,-0.166594160026,0.0144369690492,-0.0812192201119,0.130978082673,-0.0935683022206
stop_video_sum,0.0666662370845,-0.247882474178,-0.297577763868,-0.0381162627018,-0.0145113343627,0.0201163591911,0.0968348814561,0.117079294321,-0.0801040336984,-0.0344394903798,0.0863249291907,-0.0984657204565,0.0604264565887
stop_video_avg,0.0280702558982,-0.26012552703,-0.219762968697,-0.139753452253,0.02624683146,0.218218405946,0.169721606784,0.0119803743048,-0.0995927469023,0.0299924928613,-0.00596015434712,-0.261743000933,0.140575125393
video_forward_seek_sum,0.122671773655,0.111439102355,0.0769793034526,-0.0667790930511,0.154381223185,0.0695061347699,-0.0184896663131,0.45211444152,0.124854781892,-0.0418978404493,-0.0475270595307,-0.0595218794863,-0.0167706343721
video_forward_seek_avg,0.102005964045,0.128726228199,0.145928392601,-0.0941052814816,0.150730340021,0.117146946841,0.145507786327,0.411766361643,0.104796487973,0.0168262758554,-0.148109729977,-0.0713363240056,0.0526898758451
video_backward_seek_sum,0.16363278684,0.116484194187,-0.0676506231089,-0.00639145617435,-0.0579850138859,0.0788557397577,-0.143282227722,-0.0852559535408,-0.0556700588913,-0.271870871553,-0.107436098253,-0.152466712695,0.0240714241135
