,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18
all_type_video_backward_seek_sum,0.155105556152,0.11029227641,0.14756949243,-0.081716347546,0.0122044532382,-0.116896314465,-0.0823432765159,0.15024232962,0.0930867838346,-0.0355831901774,0.0225962539261,0.0969881727854,-0.0888159199545,-0.0751666814009,-0.0266799418906,-0.0885653730673,0.144738389459,-0.138132067218
all_type_video_backward_seek_avg,0.149951009498,0.095021396059,-0.0741494908349,0.0304043355605,-0.0735735186496,-0.108549263694,-0.0123183304565,0.378661352972,0.138092649268,0.0223730973635,0.156382104371,0.161355218568,-0.0163895850616,0.0228426717283,-0.0164613497446,0.0481899695597,-0.0554304454027,0.0776352935777
all_type_video_seek_sum,0.15740549139,0.159106519809,0.121874158869,-0.066482962273,0.0852620914219,-0.0474280982297,-0.0101619208597,-0.0551002139583,-0.047423530865,0.00410263858697,-0.00451568194067,-0.00661516098456,-0.0594870709827,-0.0976911747393,0.0138990692141,-0.0332643132992,0.0509581693364,-0.0615548338828
all_type_video_seek_avg,0.154695793216,0.147418883033,-0.158025666683,0.0589966944181,-0.00911325217822,-0.0441581502465,0.108300054842,0.0260469728882,-0.129610220861,0.0484152594409,0.0792553323761,0.0407094611469,0.0309680322733,0.0632991703141,-0.032753907944,0.0203344287991,-0.0803786286918,0.0154168673589
video_pause_sum,0.161746163083,0.0481097674422,-0.0282491714641,0.0619922467172,-0.0759287558973,-0.183911732426,-0.186805415883,-0.128527115058,0.0721699180378,-0.0817510551566,-0.0785079403886,-0.0722358507266,0.00899937989897,-0.0852784226642,0.119926972562,0.039081736347,-0.0844746095492,-0.058133105684
video_pause_avg,0.132073523168,0.0684799125853,-0.232832688294,0.159236548985,-0.155563795092,-0.153895915228,-0.0187099838244,-0.0755063373624,-0.118341677676,-0.00511324952654,-0.157644493126,0.0253100490107,0.0571044015809,-0.0122192729206,-0.0755131963243,-0.0487771287727,-0.0304324536176,-0.0117060492896
video_stop_sum,0.128631690172,-0.108079531267,0.251504101793,0.104412473323,-0.159795678535,0.0447228380925,0.115704797602,-0.0904767815078,-0.00968001260948,0.0400425730148,0.00561184699787,0.154435024731,0.0833752513093,-0.0124707231467,-0.267435917658,-0.0944198505971,-0.0524311553738,0.203069693707
video_stop_avg,0.0977721363772,-0.16979053542,0.181514627212,0.218788895927,-0.208756138709,0.0687680412438,0.21194470762,0.00412647320629,-0.075350220324,0.157901054134,0.0642677368653,0.167023156602,0.047599135206,-0.102782912972,0.295694974737,0.109728750588,0.0889018950865,-0.184488873124
video_play_sum,0.160992889919,0.144143935426,0.1203719559,-0.0616327828326,0.0820123119118,-0.0367642607563,-0.0147454957827,-0.0636913448369,-0.0257476535874,0.00633045404364,-0.00727901497442,-0.00451226868856,-0.0464637356667,-0.0833868285744,0.00710050130256,-0.0306419616012,0.0362798424479,-0.0595380253193
video_play_avg,0.15844222173,0.129713838546,-0.15740440908,0.0653707304727,-0.0104311347273,-0.0255091269787,0.105046908999,0.0245168186906,-0.109467808772,0.0510219490411,0.0714048412318,0.0318523436429,0.0305563150928,0.0607213011457,-0.0323430714726,0.0061142378032,-0.0721213592709,0.00326247930393
