,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24
forum_avg_count,0.0150128343685,0.151077427483,0.00549088860972,0.494838138245,0.00921515850971,0.0682267513797,0.195314321763,-0.036919480666,-0.0804319108655,0.030889425681,-0.0739818448969,-0.00865757304105,-0.0617772476426,-0.0199275795323,-0.0205369409557,-0.0208038556753,-0.0222140166732,-0.00671824602499,-0.0401641050416,0.0236607219406,0.0676321965899,-0.0350054739921,-0.134439159466,-0.0108105699821
forum_sum_count,0.0169785645726,0.164723305671,0.00868377986981,0.484590953859,0.000811760093137,0.075911253588,0.20411891646,-0.0203226786237,-0.0912698935166,-0.00184112445922,-0.085948011882,-0.0106643446495,-0.0555408158444,-0.00691633597115,0.0101142125439,0.0425182098259,-0.0369839616404,-0.0249526589346,-0.0213554754172,0.0369958109872,0.000547874335249,0.0573485262826,0.0517985486997,0.0127654104431
num_watched,0.16467643416,0.132122388543,-0.0469293426646,0.0303183209816,0.0901228095941,0.00969672457437,-0.175895349611,-0.139079234276,-0.0408624495735,-0.107267469732,0.0991597525465,0.073507615475,-0.101887114053,-0.0437684126139,-0.127699628943,-0.0779931107163,0.0276009900131,0.0641097856228,0.105579731655,-0.00509275699428,-0.00170864273038,-0.0827981631751,0.0189552470373,-0.119473227684
num_complete,0.155775755008,0.149121623699,-0.118477380834,-0.04549796682,-0.0113353578778,0.0376085609033,-0.158811956221,-0.16214556268,-0.0882449744346,-0.0795761563748,-0.0651053501812,0.0614399029911,-0.158540760588,-0.0609108240346,-0.143298994537,-0.0798337078165,-0.0409029033477,0.0352157172305,-0.0848445189331,0.0435839547327,0.0242368655479,-0.0153245379605,0.0225757167329,-0.151682394199
num_incomplete,0.0861497453565,0.00587745419108,0.169532156802,0.210187701907,0.300181395367,-0.0694222713909,-0.11186698584,0.00736243711853,0.10853935761,-0.113472168006,0.468167942117,0.0596611797527,0.109543463486,0.0282090336184,-0.007857262301,-0.0249363149808,0.189994256242,0.100156300112,0.539147924566,-0.12946398344,-0.0686226927088,-0.208355655938,-0.00225236559694,0.0387950518434
complete_rate,0.152033214661,0.142638144763,-0.109604075444,-0.101146985287,0.0231327687886,-0.0634997474423,-0.0510879996281,-0.0260701642445,-0.16072578552,-0.144112327927,-0.231100384127,0.0280715697146,-0.187459798971,-0.0622404464118,-0.205325597452,-0.0845517653655,0.146719938991,-0.0543225601213,-0.0492451894782,-0.0951660296375,-0.047699104129,-0.187248245985,-0.0755897833151,0.266200325051
incomplete_rate,0.0226074069616,-0.065963408962,0.229334731877,0.085823604389,0.289576011654,-0.310094315916,0.133111973379,0.184655023763,0.182440221082,-0.120902501868,0.330706166736,0.0752485736074,0.122883620945,0.0733522721891,0.102783400975,-0.0730090230094,-0.136679786355,0.118145344123,-0.467087586536,0.091993548697,-0.0138596944435,0.0683349304977,0.034563743577,-0.0450187547764
watched_time_hour,0.134880285075,0.0404558809824,0.0165396970029,-0.0321627580066,0.0898749821792,-0.305908188338,-0.0909471716978,-0.082835248122,0.0423871260001,-0.0653873821202,-0.176161295216,0.229656817927,-0.283203318419,-0.18920009106,0.50853795623,0.373575727775,-0.145101461896,0.150123065447,0.130571471373,0.333051524711,0.161334202028,-0.128051550214,-0.0592134591867,-0.000548944952312
watched_time_weekday,0.0796980990731,-0.00825514314029,0.0510982091671,-0.111785161746,0.344609733726,-0.0719823494886,0.10535161458,-0.13564459073,-0.261478458408,-0.234136417645,-0.141153343062,-0.291509572016,-0.241826578886,0.504547750749,0.275773010619,-0.073210154948,0.248851091812,-0.104123003728,0.0805928860184,-0.0608557290893,-0.00894028577722,0.252880980747,0.0631137736461,-0.0925991278062
seek_video_sum,0.175444600512,-0.0145982426575,0.0312878525346,0.0149718719919,0.092641530802,0.110517071975,-0.0978655724383,-0.105114215233,0.0949986858954,-0.0991224367053,0.0623224319181,0.0428791895475,-0.0437288795041,-0.14321450404,-0.0897921905835,0.264917093674,-0.111977457856,-0.230864819245,0.139533398907,-0.194757875656,0.00571811647004,0.288663086755,0.0519368173509,0.0961458225401
