username,active_num_days,active_avg_count,active_sum_count,problem_sum_count,video_pause_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator1,indicator2,indicator3,final_score
104602505,2.222222222,115.2027778,319.5,14.5,1.277777778,3.666666667,1.222222222,0.833333333,1.5,9.455555556,8.888888889,0,1,0,81.71
104602506,1.666666667,80,222.6666667,6.055555556,1.277777778,4,1.222222222,0.888888889,1.444444444,9.5,7.222222222,0,1,0,63.62
104602507,0.444444444,26.26666667,79.66666667,7.166666667,0.111111111,1,0.666666667,0.5,0.722222222,9.266666667,6.444444444,1,0,0,39.87
104602508,2.5,133.0277778,407.4444444,20.5,1.166666667,2.777777778,1.055555556,1.111111111,1.444444444,9.466666667,6.555555556,1,0,0,60.32
104602509,1.666666667,130.4398148,287,9.666666667,1.055555556,1.5,0.611111111,0.5,0.666666667,9.233333333,4.333333333,0,0,0,47.45
104602510,2.166666667,125.9148148,326,14.27777778,0.611111111,3.166666667,1.055555556,0.722222222,1.5,9.844444444,8.333333333,0,1,0,70.1
104602511,2.722222222,211.4814815,572.4444444,18,2.555555556,2.555555556,1.111111111,0.944444444,1.333333333,9.888888889,8.222222222,0,1,0,78.77
104602513,2.611111111,143.1972222,405.1666667,25.83333333,0.777777778,4.555555556,1.333333333,1,1.666666667,9.944444444,9.666666667,0,0,1,93.69
104602514,2.111111111,80.81851852,295,14.44444444,1.555555556,3.611111111,1.277777778,0.944444444,1.666666667,9.633333333,8.333333333,0,1,0,74.75
104602515,1.222222222,63.85185185,181.7222222,15.11111111,0.333333333,2.444444444,0.611111111,0.333333333,0.666666667,7.422222222,6.666666667,0,0,0,60.84
104602516,2.722222222,70.57804233,281.3333333,13.27777778,0.722222222,5.777777778,1.388888889,1.166666667,1.555555556,9.833333333,9,0,0,1,56.89
104602517,0.944444444,54.92129629,127.3333333,10.61111111,0.388888889,0.111111111,0.055555556,0.055555556,0.055555556,9.366666667,8.722222222,0,1,0,82.97
104602519,2.166666667,142.9166667,297.5555556,10.72222222,0.666666667,7,1.5,1.055555556,1.944444444,9.822222222,9.555555556,0,0,1,94.97
104602520,2.277777778,154.7407407,440.8333333,27.11111111,1.555555556,1.944444444,0.666666667,0.444444444,0.722222222,5.922222222,5.111111111,0,0,0,48.24
104602521,2.277777778,148.5993386,578.5555556,17.16666667,2.277777778,2.833333333,1.333333333,1.222222222,1.611111111,9.644444444,8.277777778,0,1,0,80.87
104602522,3.111111111,170.5212963,522.9444444,22.61111111,2.111111111,7.166666667,1.388888889,1.166666667,1.777777778,8.322222222,6.277777778,0,0,0,59.34
104602524,1.277777778,94.62037037,184.2222222,8.388888889,0.444444444,2.944444444,1.222222222,0.722222222,1.277777778,9.133333333,5.666666667,0,0,0,68.02
104602525,0.833333333,55.99074074,129.7222222,9.333333333,0.5,2.111111111,0.722222222,0.833333333,1,8.288888889,5.444444444,0,0,0,59.69
104602526,1.666666667,81.75,255.7222222,7.944444444,3.611111111,2.944444444,1,0.666666667,1.055555556,9.811111111,8.222222222,0,1,0,76.48
