,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,indicator
forum_avg_count,0.0266135782944,-0.133419853688,0.299592184594,0.242280019746,0.332781923736,-0.192124381813,0.0211801766115,-0.0961447345779,-0.0282501703098,0.00472257498368,0.0191289659937,0.0518948403365,-0.0500635743126,-0.0485364126447,-0.0272658055591,-0.0529448758463,-0.0366202286637,0.0716977572306,-0.140611864671,0.108375779909,-0.0775339068752,0.0668064373579,0.0138701157972,0.271941401804,-0.117707067573,
forum_sum_count,0.0288725178738,-0.138957288838,0.305765405966,0.23387373484,0.323187104308,-0.19917497091,0.0315029754859,-0.0927262942081,-0.0356428147986,0.0337509831428,0.054445343093,0.056520089167,-0.0484453676558,-0.0259341395511,-0.0148192312834,0.0254500401093,0.0119865376851,-0.0198936965509,-0.0527642542459,0.076177671051,-0.0645844702703,0.0400666054373,-0.0613100335275,0.0584739035688,-0.173451473555,
num_watched,0.165697427554,0.00636034487637,0.0822707091509,-0.0195496060588,0.0176374525631,0.1153266404,-0.159061022829,0.0188158185902,0.229707847933,0.0576388338018,0.0390340753676,0.0230149163415,0.0618767899867,-0.0444607413465,-0.157153408896,-0.03265759058,0.0171649271107,-0.0900813740431,-0.0266682832942,0.0953717104459,-0.0471569998268,0.0206839032538,-0.0558384378943,0.08822986438,8.75471778781e-05,
num_complete,0.162301914443,0.0310573419959,0.119942755425,-0.00684996835664,-0.0967792364723,0.077445390121,-0.144754544021,-0.0870673303564,0.148364321736,0.104747548695,0.0194980752936,0.0365322278305,-0.0508458791652,-0.1222290753,-0.113228258232,-0.126711175312,-0.0169294997506,-0.0732576237339,-0.0237056756524,0.183960859321,-0.00838992675011,0.022504809429,-0.168115543596,0.156898095398,0.00506558214026,
num_incomplete,0.10875901473,-0.0632110922207,-0.0528244349381,-0.0462135499359,0.321143139222,0.172099162315,-0.13438650202,0.298689486283,0.358778258824,-0.0932348826854,0.0764739881503,-0.0228621612453,0.343122115139,0.184367346275,-0.21363088702,0.235659198238,0.102850244954,-0.0997791987033,-0.0240620604372,-0.183152135876,-0.133550428326,0.0074836206379,0.271195172701,-0.133373667315,-0.0134586855073,
complete_rate,0.151334676267,-0.117784398021,0.0273840982374,0.101942786444,-0.0998788320763,0.121205703082,-0.105645237085,-0.109695014037,0.101973641895,0.172361393306,0.0311972627784,-0.231162783857,-0.1594707554,-0.1500135557,-0.009969629451,0.0146608947225,0.169978901989,0.0752191261663,-0.12225192317,-0.204217126307,-0.059350720096,-0.047743048793,-0.132169916646,-0.0271544310821,-0.0432682569496,
incomplete_rate,0.0930757958027,-0.109954445221,-0.223446204025,0.0745696762567,0.265485973451,0.148585646823,0.156278726364,0.279564281682,0.10892664493,-0.191469454754,0.0332329471337,0.321300652547,0.155002753233,0.0387315067311,0.302698484341,-0.18084324217,-0.300909930627,-0.0944464105391,0.0793342235414,0.22643031861,0.194406643281,0.094845203378,-0.219759637806,0.0402980207108,-0.0227445728655,
watched_time_hour,0.146453249876,-0.072967979602,-0.0742492749117,0.141504049938,-0.0474628190723,0.112728460063,-0.0749887806415,-0.0596429608824,0.0458704061535,0.15521585148,0.18676491104,-0.215156713225,-0.158602314945,0.185640485951,0.231167676552,0.000710360585997,-0.61490751444,0.219875112682,0.0981246634536,-0.241468084769,-0.305581451653,0.161026301908,0.175985136088,0.0192532513355,0.0151384786197,
watched_time_weekday,0.116571179103,-0.102950463748,-0.152550476441,0.121623095004,0.0690652229995,0.302972643133,0.121540256235,-0.173695770338,0.122094450023,-0.085736020762,0.181400942478,0.0810961161765,-0.273720008945,-0.0100474526585,0.358343106802,-0.175052495895,0.543513511186,-0.0511863821128,0.112671326228,-0.0605740702461,-0.0412355447553,0.0703408517821,0.251888013092,0.0441890430073,0.0511810463083,
seek_video_sum,0.159590048153,0.12248746487,0.0475041885192,-0.0853268997767,0.0576225359431,0.0210965242118,0.0221137388641,0.0145262094502,0.15132506481,0.112674867648,0.106383887272,-0.0916061571337,-0.0985462198203,-0.073720742159,-0.0905193524533,0.141223954787,-0.114939984475,-0.0604413856662,0.0325245714251,0.20592567643,-0.0237736972709,-0.238401206692,0.103580064884,0.073136212991,-0.0512924668445,
