,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27,indicator
watched_time_weekday,0.0875227169362,-0.0261566039648,-0.0418157621886,-0.0475772214016,0.123668333001,-0.378258491646,-0.0465771920906,0.196580261518,-0.223451743394,-0.317102940405,-0.0298440428801,0.481046564657,0.0148932231329,0.0722237227848,0.027766597926,0.188965905693,0.497784412658,-0.0905676839378,0.015631129609,-0.0682436051882,-0.1106176392,0.226246860911,0.0787001684672,-0.0412964381819,-0.00709146409304,-0.0565630969178,0.0104686544204,
seek_video_sum,0.17183204991,-0.0398544555802,0.0499750515909,-0.0984648690279,0.142106052568,0.0220337684938,-0.0609945802293,-0.0295105057611,0.0753392153821,-0.0970377572321,-0.0505612272543,-0.0437728611061,0.113238628157,-0.0740486701915,0.147152690241,-0.110535756921,-0.193660312215,-0.119478133208,0.141565525152,0.149650414131,-0.213066454699,0.228175384471,0.0963828047772,0.146084133471,-0.232297407218,-0.0297542447724,-0.0181601023094,
seek_video_avg,0.15556944147,-0.0938826981563,-0.114758186442,0.00436446333237,0.0879877306874,-0.115296152096,0.103416892334,0.131719630755,0.0793073304671,-0.122554877307,0.0577212842962,-0.0734585478546,0.206373419985,-0.11439847348,0.174350536159,-0.221209877436,-0.198789006095,-0.114055940886,0.303001548076,0.294074477738,-0.306007586745,0.121299483315,-0.0595688483029,-0.0582377787275,-0.141670951216,0.13943177333,-0.0725142352942,
pause_video_sum,0.171849488193,0.0913112915583,0.0698275414955,-0.0224743942291,0.0558524776363,-0.0651039730143,-0.136732946249,-0.120622788601,0.0610060861092,-0.0832431060667,-0.104253669265,-0.0482481374447,0.08010132497,-0.131924718196,-0.115965906249,-0.0242687242629,0.0201375814247,0.0681845621262,-0.0594618318365,-0.01004210128,0.00643052021549,0.00338995593116,0.212048409931,0.105041690265,0.05024694406,-0.0972837787954,-0.0207831327209,
pause_video_avg,0.162357196696,0.0572829032208,-0.0867035715632,0.0931982161197,-0.0199497968747,-0.222951777443,0.0520048766516,-0.000173597230906,0.0688109144224,-0.107854479988,-0.0484176073341,-0.00567574042007,0.149394366688,0.0334169309566,-0.181609723893,-0.00845213511577,-0.00200761844266,0.413492722506,0.0925069615679,-0.106573538287,-0.00437276559996,-0.265089152017,-0.0717891903597,0.072966425366,-0.0319470638921,0.207973235529,0.00715739172397,
stop_video_sum,0.110199291947,0.200553576185,0.26730086374,-0.0236993746526,-0.0781437133583,-0.0523671617746,0.118921732768,-0.103061058506,-0.0119520314521,-0.0916447752646,-0.0129075435008,-0.0429554240518,-0.165604370781,0.0845932647895,-0.267138140798,-0.141649552745,-0.0298546605042,-0.16189144446,-0.0592207867439,0.0485565835537,-0.0266105044139,0.0305870132655,0.0507683060137,-0.265409064575,-0.0814898369561,0.0073465237717,0.0714359900339,
stop_video_avg,0.06511304117,0.248045909353,0.220583284323,0.0533825082063,-0.114072794998,-0.0894092017428,0.275714183787,0.076335677047,-0.144037337801,-0.112924202469,0.00933375587955,-0.153233718068,-0.208570013392,-0.0230229458867,0.343466345711,0.0413372438225,-0.0263978271327,0.0515228703539,0.0275883872496,-0.0892597950965,-0.00429441568324,-0.00546944722094,-0.0650816859642,0.0984992356308,0.0310179689199,0.0140303215582,-0.0312274646028,
video_forward_seek_sum,0.119957710243,-0.113544476437,0.0716016472354,-0.165445241239,0.306755582002,0.105615185583,0.169265774367,-0.16728438067,-0.095496955165,0.0542898808228,0.078001344719,0.00883439608409,-0.0182008813409,0.151265675685,-0.0282204594975,0.0586528101154,-0.015236942524,0.0732610568883,-0.00863781325812,-0.108613174046,0.134631710539,-0.101438003258,0.130168408744,0.104036609182,-0.0650425673971,0.0429063635796,0.0987732655984,
video_forward_seek_avg,0.101354950394,-0.151635265017,-0.100917610408,-0.0574354016027,0.262745177762,-0.00736230369873,0.313736341995,-0.152931333995,-0.196208883085,0.00749581724176,0.250004805672,-0.0360932677556,0.0370329642943,-0.217248087218,-0.0928054063665,0.105709356228,-0.0220403819853,-0.161588818824,0.00150493774976,-0.132223670243,-0.163842428844,-0.0596799465407,-0.0946692236985,-0.139316524722,0.113966373496,-0.0314417191089,-0.0499844635814,
video_backward_seek_sum,0.153215236259,-0.100516944338,0.113308435271,-0.0862631400822,0.0280822557587,0.175344861581,-0.0572126921681,0.17763828858,0.153093394318,-0.114982968446,0.137550262401,-0.0501145788254,-0.117919803195,0.16115253462,0.0604937767532,0.0768440857435,0.0533217169757,0.172135664357,-0.0781221583192,-0.0231959758138,-0.0746785807468,0.104128478855,-0.0737803883258,0.133179682653,-0.294306857719,-0.119598432289,0.115605737848,
video_backward_seek_avg,0.131142859922,-0.148209252158,0.0105851085813,0.0342741917107,-0.0708764541918,0.0672805894697,0.0144970986751,0.359296004907,0.153762256678,-0.241771253686,0.245693133212,-0.0406679713703,-0.0176325294724,-0.0281512912548,-0.0586578412261,-0.118097907533,-0.00186422367782,0.0424478671422,-0.327672666994,0.193006897039,0.0770999314256,-0.0965443499499,0.0877466862435,-0.0546883086887,0.236698114454,0.0335910120773,-0.00752273202564,
video_pause_forward_seek_sum,0.156132247127,-0.0623179292182,0.0354720995446,0.115418587253,-0.196935670275,0.0518014172453,-0.183496887064,-0.0510770012404,-0.0935485498984,0.143408610521,-0.173264260966,0.014453463587,0.00552260659919,-0.0274179522413,0.193677208265,-0.0812978105158,0.129323871156,0.0176026059143,-0.12889505149,0.0532348426595,-0.248221791924,0.00382961011931,-0.0769720237617,-0.185268045534,0.23414936484,0.112651355998,-0.0617530407832,
video_pause_forward_seek_avg,0.128635236163,-0.107943159837,-0.0680069906891,0.197722858492,-0.290318747833,-0.0274188986988,-0.00482413479001,-0.014010914162,-0.181145492457,0.147651753471,-0.169556902668,0.0289828018384,-0.0329370747777,0.105213994759,-0.0280189374253,-0.134834220431,0.000721878092346,0.0397295924116,-0.0583984038731,0.111933934731,0.0916145602716,0.13251491366,0.0442333944572,0.177810053288,-0.221966936445,-0.0647280819188,0.0384258239007,
video_pause_backward_seek_sum,0.168153944236,-0.0304493116646,0.0620347071003,0.00369911232163,-0.077516688033,0.126175453713,-0.169652900171,0.0385297859015,0.169540452825,-0.0218183349811,-0.115742951272,0.0155183486642,-0.10442841387,-0.152741390655,0.0140208439702,0.211103897288,-0.0109604990433,-0.179043527805,0.263260471231,-0.215594070297,-0.0768921836851,-0.0793732376239,-0.0813403326307,-0.105359260753,0.0730974759534,-0.0258895585362,-0.107188492575,
video_pause_backward_seek_avg,0.156830177404,-0.0887774276324,-0.0484937932799,0.111064328716,-0.17869744028,0.0428161150481,-0.0186952249048,0.0715461294758,0.119193276488,-0.0528758103709,-0.0960591411429,0.0322896406835,-0.113023166917,-0.121746140896,-0.153416887243,0.29341001575,-0.154262098743,-0.25366001953,0.360627562628,-0.315313489485,0.189905005793,-0.0300185871797,0.0317511133183,-0.00579030161263,-0.0504546211281,0.0339202525075,0.017827619719,
video_stop_backward_seek_sum,0.11962543131,0.0982949114555,0.211279527188,-0.0719513054785,0.02462296138,0.11374377253,0.225773697323,0.0341232550163,0.250603071618,0.202617953283,-0.0900180216274,0.253032206271,0.197153601531,0.169538954606,-0.281451612814,0.00748871324016,0.116610667691,-0.113645273863,0.0305088581374,0.159763190402,0.0748400157028,0.258170537708,-0.449425281259,0.174622292193,0.134008744745,0.199407949764,-0.0715211245935,
video_stop_backward_seek_avg,0.0659029419832,0.103597166734,0.144352899443,-0.0632642809634,-0.0428380716519,0.00658719377319,0.357544302666,0.304586168553,0.206478114196,0.446677738666,-0.109531355412,0.171839939844,0.336788834865,-0.238667450331,0.149861623649,0.0481249119669,0.10093165627,0.0573908722993,-0.029402833526,-0.0547164736537,0.0289127526877,-0.119005070516,0.369090766599,-0.0869729317605,-0.0817308299043,-0.149761698082,-0.0130851347909,
all_type_video_forward_seek_sum,0.166114692492,-0.112823525118,0.0691590247553,-0.0572381260026,0.114993423308,0.101741349092,0.0245701025301,-0.145055234767,-0.11626553576,0.112980071114,-0.0347702542095,0.0137691209408,-0.0100249926839,0.0929191736664,0.0806450793209,-0.00069051651602,0.0564042438664,0.0610493388755,-0.073095787937,-0.0492865528168,-0.0335990714345,-0.0698750750606,0.0522233532901,-0.0225626341337,0.0755880722949,0.0889332462215,0.0378891364308,
