,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,indicator
forum_avg_count,0.0286651070325,0.193627345928,0.0029107610366,0.370357250019,0.290904494886,-0.175941316824,0.134427177025,-0.0868810726113,-0.0981200937017,0.0172119379294,0.0694415066551,-0.0772230370747,-0.00364746158993,-0.017060267279,
forum_sum_count,0.0308103723664,0.201838527285,0.00649552698631,0.36578489167,0.286095337909,-0.184494824278,0.132303944476,-0.071837864257,-0.109851961033,0.0496554903322,0.079787957569,-0.0328925495748,-0.0129163800967,-0.017773172605,
num_watched,0.164214630386,0.0615467624977,0.0626710719232,0.0483545361702,0.0186195778068,0.112062477518,-0.153447613977,-0.117870443845,0.177969682886,0.136276914278,0.0488913550425,-0.0011219647145,0.0853819083256,-0.0253114033844,
num_complete,0.159010858507,0.070985342726,0.0874094819599,0.0569801387383,-0.115201887489,0.0574738297646,-0.128661611871,-0.193494461141,0.0359257427661,0.15211277989,0.0330404784997,-0.12361514143,0.056840006303,-0.0222053300818,
num_incomplete,0.099721950575,0.00858177305234,-0.0295065717504,0.003682858085,0.348142699329,0.197084759591,-0.143553903756,0.129057187213,0.452932198194,0.0318021731174,0.0658472687952,0.309095765622,0.11716871796,-0.0211956850171,
complete_rate,0.151441028828,0.0801362925711,-0.107560275754,0.0696447358598,-0.128188745286,0.111323983178,-0.0891082016316,-0.154421143696,-0.0867797527319,0.143269880535,0.0107937545535,-0.22431331711,0.177325013883,-0.117198563874,
incomplete_rate,0.0832671957758,-0.0542492351722,-0.246846264835,-0.0204845252692,0.276501181553,0.252362910255,0.109919282384,0.227380906605,0.177931108285,-0.000238538909687,0.0893199844928,0.200191499097,-0.0753641950005,0.324873141553,
watched_time_hour,0.137300184317,-0.030140944432,-0.161757789451,0.0594666584419,-0.0757113778585,0.162957915289,-0.034085863625,-0.145766276429,-0.193776762467,0.0651078564631,-0.100681044449,-0.0417341496606,0.308343552154,0.153431331094,
watched_time_weekday,0.111251395819,-0.0449034160255,-0.257638712962,-0.00079025144121,0.0219236628499,0.284458805837,0.0952270579645,-0.102476666182,-0.0683629714134,0.102466564444,0.262022850693,-0.203339326961,-0.0029848824356,0.0648846652545,
seek_video_sum,0.164390980607,-0.0528950424192,0.15507724377,-0.0316372261636,0.034799293302,0.043814067724,0.0385889853598,-0.0247876254016,0.0119417743008,0.11732800767,0.0209861889449,-0.0732219125948,0.0792122341725,-0.0902995285563,
seek_video_avg,0.150142543565,-0.070929813466,-0.131408447317,-0.0722856605755,0.0541879891663,0.118161040965,0.211628170342,0.0760705151133,-0.0507786706485,0.151036100027,-0.00627440877715,-0.142691135636,0.0693328463316,-0.0562063970989,
pause_video_sum,0.164914652228,0.0719819474344,0.0388624215132,0.038587801357,0.00468807770308,0.0850140914073,-0.142681461286,-0.13558096711,0.211936191132,0.0950375630661,0.0063549669914,-0.0173632634906,0.11728089489,-0.00524413836577,
pause_video_avg,0.154137734268,0.0170186525054,-0.203415833382,0.0364062939361,-0.00499488113646,0.169461765108,-0.0254613859871,-0.0642552146359,0.0720362322361,0.0323143018338,0.0427589935426,-0.139095504674,0.164435937763,-0.0249486460992,
stop_video_sum,0.13694580482,0.0980910967981,0.121697619094,0.16973475277,-0.219376285971,0.0762556916669,-0.0647103158513,0.0855352290644,0.0381009183679,0.13502119612,-0.0414843713591,0.0555352680788,-0.144518951896,0.0202403296676,
stop_video_avg,0.111750002019,0.143575133635,-0.0411792313369,0.223038881824,-0.222846139252,0.115459743987,0.00424327804899,0.256159332872,-0.152128617985,0.19861979571,-0.0954496616551,0.199799529111,-0.189869888662,0.0786415645169,
video_forward_seek_sum,0.107547561859,-0.176665787849,0.286261978318,-0.0269117965263,0.184957159005,0.0819640938699,-0.0379897491004,0.11776083927,-0.162913275907,0.0531163229669,0.0184364033496,-0.0648048496492,-0.0792140238506,0.0560230827282,
