,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,indicator
video_pause_avg,0.150308858797,-0.12666284176,-0.0769733291454,-0.120492991906,0.114501343131,-0.219940210489,0.119263980922,-0.127999761914,0.0711185983773,0.122794027029,0.148227499835,0.004986611351,0.0464028943814,-0.0434018879549,0.0380572704933,
video_stop_sum,0.0930849684947,0.228672052934,-0.277792900892,0.0321425750834,-0.0942140049648,0.0558248666114,0.0436279167959,-0.0425721134605,0.00899829909492,0.0195939745681,0.0119374555312,0.139551136491,-0.0598273564771,-0.0748408189795,-0.153127404147,
video_stop_avg,0.0639831091772,0.213608214613,-0.286669549609,0.0397138578966,-0.0962461531207,0.00574439544577,0.130546680371,0.0391091785708,0.263732166169,0.119936626147,-0.0838482069613,0.211599927534,-0.0714103868873,0.123553660725,-0.0887412998528,
video_play_sum,0.185133220648,-0.0792228398449,-0.00295782257821,0.0219146143134,0.0193013403878,0.148444274336,-0.0707821090061,-0.0533991592895,-0.023955975696,0.00756533335885,0.00178148370919,0.0264782676041,-0.027345144888,0.0769904143479,-0.0369532929004,
video_play_avg,0.170050049621,-0.162379011188,-0.00226282976774,-0.0187348404833,0.0457437156445,-0.0264041989387,0.125351679331,0.0247350423865,0.120444134562,0.105631802,-0.0281974449692,-0.0146768835679,0.00500408516989,-0.0751953359937,-0.00685045798823,
video_events_sum,0.186346970811,-0.0748493047777,-0.0221550655246,-0.00433298100037,0.0391958060206,0.107510051489,-0.0750329599674,-0.0825993970319,-0.0393420301569,0.0118197440251,0.0343157253689,0.0329285124283,-0.0244697579623,0.10227639488,-0.0270755119707,
video_events_avg,0.168089389119,-0.159616302107,-0.0236525160262,-0.0475169159411,0.0672641043646,-0.0689381911791,0.124787755201,-0.013107673371,0.111890329071,0.118970691714,0.0130468295117,-0.00836206266661,0.0172141795646,-0.0646506188856,-0.00223353693436,
mt_practice_sum,0.0699960466439,0.196140740065,0.259369489952,-0.206435577579,0.0610908715784,0.0835529763063,0.00111153824036,0.00547613928996,0.233008158873,-0.0696672369686,0.144462392302,-0.0673399430921,-0.0724392487729,-0.0610880733994,-0.00322679366152,
mt_unit_sum,0.0811772165553,0.203075333292,0.262544605712,-0.213397623708,0.0352117323479,0.0730009655282,0.0322829330834,0.064483203483,0.124252107897,0.0134971760642,-0.0084988643075,0.125590171471,0.0817667232245,0.190632682972,0.0784940306944,
mt_online_num_day,0.0460496471966,0.172132669431,0.24428563882,-0.187882606759,-0.00270514764251,0.0598659768892,-0.0812448719591,0.0692064030218,0.299119377377,0.00317985639831,0.351023162641,-0.128992176869,-0.133491389227,-0.258077207683,-0.411176449768,
mt_online_practice_num_day,0.0843307080731,0.201414954459,0.25257799015,-0.235485898164,0.0462289751628,0.0753012299268,0.0289365420179,0.0469820572994,0.105768823198,-0.0450095120435,0.0565000826613,0.10698356495,0.0616643855472,0.183160755011,0.120509069261,
hw_mean,0.0926266348065,0.213252053017,0.202342778057,-0.187197288363,0.0517061000566,0.0790525742865,0.121127786654,0.0349110622265,0.029115277471,0.00400741652074,-0.0130147644641,0.17191315243,0.155313200623,0.11861537254,0.211943381792,
qz_mean,0.103092051585,0.151936660575,0.0966069616879,0.0348724909558,-0.0673689101312,-0.115375390159,-0.0189579125091,-0.134443046759,-0.110088681086,0.0593853061168,-0.195785996116,0.0855558349553,0.766261241385,-0.27238644635,-0.26728589028,
Regression P>|t|,0.0,0.0,0.0,0.324,0.022,0.016,0.478,0.042,0.142,0.299,0.0,0.004,0.0,0.011,0.046,0.0
