username,active_num_days,problem_num_days,video_num_days,num_complete,num_incomplete,pause_video_sum,pause_video_avg,stop_video_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,final_score
Y1050270,1.333333333,1.0,1.166666667,2.833333333,2.0,4.0,0.4166666670000001,0.5,0.5,2.666666667,1.666666667,2.0,1.666666667,4.666470588,1
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050273,0.833333333,0.166666667,0.5,0.333333333,0.833333333,1.166666667,0.5,0.0,0.0,2.333333333,1.666666667,0.666666667,2.166666667,4.544117647,1
Y9999986,2.5,2.166666667,2.166666667,7.0,1.666666667,8.5,0.819444445,1.5,1.5,0.5,0.333333333,0.333333333,0.333333333,0.705882353,1
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y9999988,1.666666667,0.5,0.833333333,3.5,2.0,5.0,0.61969697,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,1
Y9999989,0.666666667,0.5,0.666666667,3.333333333,0.0,2.5,0.375,0.833333333,0.833333333,0.0,0.0,0.0,0.0,0.0,1
Y9999990,3.833333333,3.0,3.0,9.833333332999999,0.666666667,10.33333333,0.979166667,1.833333333,1.833333333,0.0,0.0,0.0,0.0,0.0,2
Y9999991,0.666666667,0.5,0.333333333,3.166666667,0.666666667,3.333333333,0.261904762,0.666666667,0.666666667,0.0,0.0,0.0,0.0,0.0,1
Y9999992,1.833333333,1.833333333,1.833333333,8.666666667000001,0.5,8.0,0.7440349,2.333333333,2.5,0.0,0.0,0.0,0.0,0.0,1
Y9999993,1.166666667,0.833333333,1.166666667,9.166666667000001,1.0,10.16666667,0.5,0.833333333,0.833333333,0.333333333,0.333333333,0.166666667,0.333333333,0.0,1
Y9999994,0.333333333,0.166666667,0.333333333,0.333333333,1.666666667,1.666666667,0.233333333,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0
Y9999995,1.333333333,0.666666667,0.833333333,2.166666667,2.5,4.166666667,0.605820106,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Y9999997,1.5,1.166666667,1.166666667,5.833333333,0.666666667,5.5,0.616096866,1.5,1.5,0.0,0.0,0.0,0.0,0.0,1
Y9999998,1.5,0.666666667,1.333333333,6.833333333,2.5,6.666666667,0.485449736,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
Y9999999,2.333333333,0.5,1.833333333,8.333333332999999,3.833333333,11.0,0.59040404,1.5,1.666666667,0.0,0.0,0.0,0.0,0.0,2
os0,1.5545058592484562,1.1908914933084225,1.1908914933084225,5.694040581599392,0.7393411459979413,5.457606553905755,0.6222602948137375,1.4636627605010293,1.4636627605010293,0.0,0.0,0.0,0.0,0.0,1
os1,1.7806817717578878,1.0363094511028867,1.4473484387578877,6.280681771757887,2.7970238822805547,7.780681771757887,0.62775799405888,1.5,1.5,0.3972402529321101,0.333333333,0.2305735865486686,0.333333333,0.2706646015466337,1
os2,0.3958625190413323,0.2639083457636465,0.2639083457636465,0.2639083457636465,0.13195417327768574,0.3958625190413323,0.2639083457636465,0.0,0.0,2.7710376332893265,1.1875875571239969,1.9793125952066613,1.7154042494430148,2.6466902298767074,1
os3,1.8237016935919967,1.0,1.5785175135315508,3.931114126876453,1.4407457662844556,5.038526559689802,0.5447574486561753,0.9022192071235478,0.9022192071235478,6.301509625356518,1.666666667,1.5192632798160064,2.597780792876452,3.652952730734308,1
os4,0.5946740937050036,0.4280074267050036,0.5946740937050036,1.965474443418756,0.14398514615803742,1.6360891221878646,0.35700185656826205,0.5453630406839252,0.5453630406839252,0.7199257316540979,0.4319554389060677,0.3599628656110713,0.4319554389060677,0.2858528640327749,1
os5,3.65972548904101,2.36359383689468,2.1046638655276158,1.4340196099346765,1.7286694683979813,2.9642801138293566,0.9617157305910012,0.2286694683979813,0.2286694683979813,1.2341288507483492,0.6170644258369729,1.542661064129634,0.7713305316020187,2.504555609552236,1
os6,0.5118393430566598,0.34517267605665986,0.5118393430566598,0.3916141845792847,0.3096546469577164,0.6420721163957739,0.336293168781924,0.21402403908456724,0.21402403908456724,1.5482732366465095,0.9289639418021132,0.774136617858773,0.9289639418021132,0.6147555498312764,1
os7,0.7102313168507703,0.5580861998300702,0.7102313168507703,3.1300316337254483,0.17425859940308142,2.5435646498507705,0.4004127124419925,0.7607255832777592,0.7607255832777592,0.0,0.0,0.0,0.0,0.0,1
os8,1.1700363998932422,0.6734061328067025,0.8400727988269209,2.016848664526865,2.0,3.510109198720163,0.4438828228443869,0.5,0.5,0.7071034618806514,0.5235881303537862,0.8569214633537862,0.5235881303537862,1.3623012190701893,1
os9,2.333333333,2.0829765897739687,2.0829765897739687,6.029323668201214,1.9434931276189968,6.751070231678092,0.5582079652165369,1.6394834619875915,1.6394834619875915,0.9992865125479379,0.7217465634768788,0.30543664070290977,0.9992865125479379,1.4941956871344084,1
os10,2.6109216245250746,1.4072810828312785,2.0739477496094354,3.796927918509137,2.4800919133693187,5.925483790743946,0.9274788632412684,0.12969279208436066,0.12969279208436066,1.852672960205905,0.5557450424749253,0.6854378337811292,0.5557450424749253,1.2553701043303414,1
os11,1.6233373829956144,0.9566707161256024,1.1233373829956146,1.7316605928765902,1.6299878517531807,2.716646419631964,0.7393140331267024,0.3549979750021928,0.3549979750021928,0.7250101232490119,0.7250101232490119,0.29000404912560235,0.7250101232490119,1.0747208893178395,1
os12,1.8262061137513819,1.6559758381163818,1.6559758381163818,6.616776132195529,0.5249452674022359,6.641721399597764,0.7774018864003672,2.127466961079146,2.127466961079146,1.010690828883618,0.666666667,0.521381657767236,0.666666667,0.7889174650775668,1
os13,2.5997195216050137,2.433052854805855,2.5662459491083616,5.799859760503348,2.6994390426117096,7.2991585642167225,0.6699531186175449,1.1004207178916383,1.1004207178916383,0.6338942905891314,0.4337540508916382,0.333333333,0.5007011962866247,0.7656958070507155,1
