username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050188,6.5,78.44047619,513,5.5,6.566666667,35.5,3,14.5,53,0,0,0,3.5,1,0.2,14.37554746,1.5,0.3,3.5,1,0,20,4,25.5,6.15,1,0.2,45.5,10.15,1.5,47,10.45,30,7.35,0,50.5,11.45,127.5,29.25,4,2,2.5,5.833333333,89,0,45
Y1050189,2.5,384.4166667,922.5,2.5,30.25,75.5,1.5,55,79.5,0,0,0,8,8,1,10.86334684,6,0.8,7,0.9,1,42,5.1,9,1.233333333,7,0.9,51,6.333333334,20,71,8.9,23,3.033333334,1,79,9.9,174,21.93333334,5,3.5,4.5,8.778333333,84,1,91
Y1050190,2.5,400.3333334,1070.5,2.5,18.41666667,49,2,97.5,184.5,0,0,0,8,7,0.916666667,14.01795461,8,1,8,1,1,40.5,6.541666666,60,7.166666666,19,2.5,100.5,13.70833334,57.5,158,21.16666667,85,10.41666667,1,166,22.16666667,410,53.83333334,14.5,3.5,9,9.631666667,79,1,90
Y1050191,0.5,460.5,460.5,0.5,23,23,0.5,122,122,0,0,0,4,1,0.125,0.947134312,4,0.5,4,0.5,0,102.5,12.8125,3.5,0.4375,1.5,0.1875,106,13.25,5,111,13.875,9,1.125,0,115,14.375,235,29.375,0.5,0.5,0.5,0.833333333,37.5,0,40
Y1050192,3,347,1041,1.5,84.25,114,2.5,16.16666667,39,0,0,0,10.5,8.5,0.804545454,12.03640641,3,0.286363637,10,0.95,1,6,0.563636364,5.5,0.531818182,7,0.672727273,11.5,1.095454546,10.5,22,2.1,22,2.109090909,1,32.5,3.1,77.5,7.404545455,17,3.5,7,8.25,82.5,1,70
Y1050193,4.5,148.75,703,2,29.75,59.5,4,14,55,0,0,0,8.5,5.5,0.633333334,9.395259179,4.5,0.491666666,8.5,1,0.5,7.5,0.625,21,2.566666667,9.5,1.2,28.5,3.191666667,15.5,44,4.95,38,4.625,0.5,52.5,5.95,135,15.56666667,1,1,1,0.166666667,62.5,0,20
Y1050194,4,251,824,3,20.5,61,3,41.75,108,0,0,0,8.5,6.5,0.742424243,15.26352092,6.5,0.78030303,8.5,1,0.5,12.5,1.628787879,27.5,3.787878788,13.5,1.606060606,40,5.416666666,52.5,92.5,12.23484848,49,6.348484849,0.5,101,13.23484848,243,31.86363637,1.5,1.5,1.5,2.666666667,52.5,0,20
Y1050195,5.5,317.4166667,1763,4.5,23.58333334,100,4.5,40.41666667,180,0,0,0,11,9.5,0.9,12.87552906,9,0.828571429,11,1,2,28,2.4,90,8.780952382,12,1.142857143,118,11.18095238,39,157,14.73333334,111,10.71428572,2,168,15.73333334,438,41.39047619,3.5,3,3.5,3.083333333,70,0,40
Y1050196,3,45.83333333,137.5,0.5,4,4,1,6.5,6.5,0,0,0,1.5,0,0,7.439991849,0.5,0.25,1.5,1,0,0.5,0.25,0.5,0.25,0.5,0.25,1,0.5,0.5,1.5,0.75,2,1.25,0,3,1.75,6.5,3.75,0,0,0,0,17.5,0,10
Y1050197,4.5,279.3333333,1213.5,3,30.83333334,92.5,3,26.375,69.5,0,0,0,12.5,10,0.801282051,9.859604136,6.5,0.525641026,11.5,0.919871795,1.5,16,1.266025641,12,0.971153846,6,0.490384615,28,2.237179488,19,47,3.785256411,28.5,2.301282051,1.5,59.5,4.785256411,136.5,10.99038462,6,3,3.5,8.388333333,72.5,1,80
Y1050198,2,241.25,482.5,2,26.75,53.5,2,17.5,35,0,0,0,6.5,5.5,0.875,13.33971435,5.5,0.8375,6.5,1,1,5,0.775,7.5,1.0875,1.5,0.3,12.5,1.8625,12.5,25,3.875,15,2.325,1,31.5,4.875,72.5,11.2,0,0,0,0,57.5,0,20
Y1050199,3.5,275.4166667,923.5,2,43.5,87,3,40.16666667,120.5,0,0,0,12,10,0.842857143,7.199587967,5,0.414285715,12,1,1,63,5.614285714,20,1.757142857,4.5,0.378571429,83,7.371428572,20.5,103.5,9.035714286,36,3.085714286,1,115.5,10.03571429,256,22.24285715,21,3.5,7,7.583333333,77.5,0,30
Y1050200,3,321.1666667,963.5,2,34.75,69.5,2,72.25,144.5,0,0,0,6,4.5,0.757142857,11.12698981,5,0.828571429,5.5,0.928571429,0.5,12.5,1.871428572,71.5,13.15714286,12,2.057142857,84,15.02857143,52.5,136.5,24.32857143,89,16.14285714,0.5,142.5,25.32857143,368.5,65.87142857,7,2,2,4.333333333,47.5,0,30
Y1050201,4,264,1056,2.5,27,60.5,3.5,39.83333334,137.5,0,0,0,12,11,0.916666667,12.84705686,7,0.583333333,12,1,1,18,1.5,64.5,5.375,14,1.166666666,82.5,6.875,30,112.5,9.375,90,7.5,1,124.5,10.375,328,27.33333334,2,1,1,7.388333333,75,1,68
Y1050202,4,188.5,754,3,19.16666667,57.5,3,30.33333334,91,0,0,0,9.5,9.5,1,9.806498614,1,0.105555556,9.5,1,2.5,1,0.111111111,65.5,6.872222222,11.5,1.222222222,66.5,6.983333334,12.5,79,8.311111111,84,8.833333334,2.5,88.5,9.311111111,254,26.71666667,3,2,3,8.153333333,87.5,1,75
Y1050203,1,166,166,0.5,14.5,14.5,1,5.5,5.5,0,0,0,1.5,0.5,0.25,3.709793495,0.5,0.25,0.5,0.5,0.5,1,0.5,0,0,0,0,1,0.5,0,1,0.5,0.5,0.5,0.5,2.5,1.5,4.5,2.75,0,0,0,0,38.5,0,10
