username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050201,4,324.5,1298,2,41,82,4,144,0,0,0,12,11,0.916666667,12.50514139,7,0.583333333,12,1,22,18,60,5,19,1.583333333,82,6.833333333,37,3.083333333,119,9.916666667,90,7.5,131,10.91666667,341,28.41666667,4,2,2,8,95,68
Y1050202,4,191.25,765,3,21.33333333,64,3,95,0,0,0,10,10,1,13.0945204,1,0.1,10,1,0,1,73,7.3,10,1,73,7.3,11,1.1,84,8.4,90,9,94,9.4,271,27.1,6,4,6,8.75,100,75
Y1050203,1,320,320,1,29,29,1,9,0,0,0,2,1,0.5,6.985168964,1,0.5,0,0,2,0,0,0,0,0,2,1,0,0,2,1,0,0,4,2,7,3.5,0,0,0,0,77,10
Y1050204,3,211.6666667,635,3,16.66666667,50,3,65,0,0,0,9,5,0.555555556,4.163738276,6,0.666666667,6,0.666666667,33,9,1,0.111111111,0,0,34,3.777777778,9,1,43,4.777777778,6,0.666666667,52,5.777777778,103,11.44444444,0,0,0,8.5,97,90
Y1050205,3,332.3333333,997,3,27.33333333,82,3,115,0,0,0,12,12,1,14.04824562,4,0.333333333,10,0.833333333,6,12,48,4,9,0.75,54,4.5,22,1.833333333,76,6.333333333,62,5.166666667,88,7.333333333,234,19.5,2,2,2,9.5,95,88
Y1050206,4,290,1160,4,21.75,87,4,72,0,0,0,12,7,0.583333333,23.87045909,7,0.583333333,11,0.916666667,19,14,13,1.083333333,2,0.166666667,32,2.666666667,16,1.333333333,48,4,25,2.083333333,60,5,133,11.08333333,4,4,4,8.5,90,70
Y1050207,2,410,820,2,32,64,2,121,0,0,0,12,12,1,9.488136392,6,0.5,12,1,52,11,33,2.75,7,0.583333333,85,7.083333333,18,1.5,103,8.583333333,51,4.25,115,9.583333333,269,22.41666667,0,0,0,0,100,40
Y1050208,2,292,584,1,41,41,2,111,0,0,0,3,3,1,0.24798532,3,1,3,1,83,10,9,3,4,1.333333333,92,30.66666667,14,4.666666667,106,35.33333333,16,5.333333333,109,36.33333333,231,77,7,3,7,7.333333333,75,70
Y1050209,4,65.25,261,1,10,10,3,29,0,0,0,3,2,0.666666667,3.833293168,2,0.666666667,3,1,0,2,19,6.333333333,3,1,19,6.333333333,5,1.666666667,24,8,25,8.333333333,27,9,76,25.33333333,9,4,8,8.833333333,90,85
Y1050211,3,363.6666667,1091,2,40.5,81,2,145,0,0,0,11,7,0.636363636,16.42804396,9,0.818181818,9,0.818181818,55,40,8,0.727272727,5,0.454545455,63,5.727272727,45,4.090909091,108,9.818181818,21,1.909090909,119,10.81818182,248,22.54545455,9,4,4,7.416666667,100,40
Y1050212,3,278,834,2,31,62,2,124,0,0,0,12,10,0.833333333,10.97719537,9,0.75,12,1,26,35,25,2.083333333,8,0.666666667,51,4.25,44,3.666666667,95,7.916666667,42,3.5,107,8.916666667,246,20.5,0,0,0,0,60,20
