username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050198,1.666666667,188.8333333,349.6666667,1.333333333,17.83333333,35.66666667,1.666666667,19,30.66666667,0,0,0,4.666666667,3.666666667,1,0.583333333,16.83022452,4,0.891666667,4.666666667,1,0.666666667,4,1.183333333,9.666666667,6.333333333,2.058333333,1,0.2,0.333333333,10.33333333,3.241666667,11,4.008333333,21.33333333,7.25,11.33333333,2.883333333,0.666666667,26,8.25,59.33333333,18.46666667,0,0,0,0,57.5,20
Y1050199,3.333333333,240.7222222,787,2,34,68,3,37.77777778,113.3333333,0,0,0,12,8.333333333,3.666666667,0.700793651,9.105973141,6.666666667,0.553968254,11.33333333,0.944444444,1.333333333,53.66666667,4.715079365,17.66666667,18.66666667,1.615873016,4.666666667,0.391269841,0.333333333,72.33333333,6.330952381,22.66666667,1.85952381,95,8.19047619,33.66666667,2.862698413,1.333333333,107,9.19047619,237,20.35634921,17,3.333333333,5.666666667,7.833333333,77.5,30
Y1050200,3,300.3333334,901,1.333333333,23.16666667,46.33333333,2,79.33333333,158.6666667,0,0,0,6.666666667,5,1.666666667,0.754761905,9.235426587,6,0.885714286,6.333333333,0.952380952,0.333333333,8.666666667,1.289285714,35,92.33333333,14.3547619,12,1.871428571,0.333333333,101,15.64404762,47.33333333,7.741666667,148.3333333,23.38571429,110.6666667,17.17857143,0.333333333,155,24.38571429,414.3333333,64.99761905,4.666666667,1.333333333,1.333333333,2.888888889,47.5,30
Y1050201,4,265.25,1061,3,26.41666667,74,3.666666667,35.13888889,126,0,0,0,13.33333333,11.66666667,1.666666667,0.881944445,13.19581994,8,0.597222222,13,0.979166667,1,17,1.3125,15.66666667,53.33333333,4.229166667,14,1.069444444,0.333333333,70.33333333,5.541666667,30,2.291666667,100.3333333,7.833333333,79.66666667,6.229166667,1,113.6666667,8.833333334,294.6666667,22.97222222,1.333333333,0.666666667,0.666666667,7.147777778,75,68
Y1050202,4,244,976,3.333333333,21.69444444,74,3.333333333,32.47222222,109.6666667,0,0,0,11.33333333,11,0.333333333,0.977777778,10.71494462,2,0.159259259,11.33333333,1,2.666666667,4.666666667,0.340740741,1.333333333,74.66666667,6.648148148,12.66666667,1.148148148,0.333333333,79.33333333,6.988888889,14.33333333,1.285185185,93.66666667,8.274074074,96,8.555555556,2.666666667,105,9.274074074,297.3333333,26.34444444,2,1.333333333,2,8.102222222,87.5,75
Y1050203,0.666666667,110.6666667,110.6666667,0.333333333,9.666666667,9.666666667,0.666666667,3.666666667,3.666666667,0,0,0,1,0.333333333,0.666666667,0.166666667,2.473195663,0.333333333,0.166666667,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,1.666666667,1,3,1.833333333,0,0,0,0,38.5,10
Y1050204,2.333333333,262.0555556,594.6666667,2,31.22222222,48,2.333333333,23.55555556,54.33333333,0,0,0,8.333333333,5.666666667,2.666666667,0.694276094,2.272445664,4,0.476767677,7,0.858585859,2.666666667,15.33333333,1.652525253,7,12.33333333,1.564309764,3,0.527272727,1,27.66666667,3.216835017,11,1.642424242,38.66666667,4.859259259,21.33333333,2.816161616,2.666666667,47,5.859259259,109.6666667,13.86329966,0,0,0,8.912222222,86,90
Y1050205,2.666666667,261.5,753.3333333,1.666666667,18.94444444,47,2,24.88888889,74.66666667,0,0,0,11.66666667,10,1.666666667,0.594202899,8.57471761,5,0.270531401,11,0.611111111,3.666666667,4.333333333,0.268115942,10.33333333,26.33333333,1.782608696,6.333333333,0.394927536,0.333333333,30.66666667,2.050724638,17,1.031400966,47.66666667,3.082125604,39.33333333,2.533816425,4,59.33333333,3.74879227,150.3333333,9.644927536,0.666666667,0.666666667,0.666666667,8.574444444,77.5,88
Y1050206,2.666666667,328.3333333,850,2.666666667,30.91666667,76.33333333,2.666666667,15,42,0,0,0,11,5.666666667,5.333333333,0.514957265,8.288443542,4,0.322649573,9.333333333,0.86965812,0.666666667,6.666666667,0.553418803,7,6.333333333,0.563034188,1.666666667,0.148504274,0,13,1.116452992,8.666666667,0.716880342,21.66666667,1.833333333,16.66666667,1.511752137,0.666666667,32.66666667,2.833333333,71.66666667,6.245726495,1.333333333,1.333333333,1.333333333,5.388888889,95,70
Y1050207,1.333333333,288.3333333,425,1,13,23.66666667,1.333333333,57.16666667,77.33333333,0,0,0,8,5.666666667,2.333333333,0.666666667,11.52562873,5,0.648148148,8,1,0,28.66666667,2.851851852,9.333333333,20,2.435185185,4.333333333,0.638888889,0,48.66666667,5.287037037,13.66666667,1.944444445,62.33333333,7.231481481,30.33333333,3.787037037,0,70.33333333,8.231481481,163,19.25,0,0,0,0,90,40
Y1050208,4.333333333,229.952381,895,3,30,69,3,53.3,127,0,0,0,7,3.333333333,3.666666667,0.592592593,4.310195253,6.666666667,0.962962963,6.333333333,0.925925926,0,88,15.92592593,9.333333333,17.66666667,2.62962963,2.333333333,0.555555555,0,105.6666667,18.55555556,11.66666667,2.333333334,117.3333333,20.88888889,26.33333333,4.111111111,0,124.3333333,21.88888889,268,46.88888889,2.333333333,1,2.333333333,7.444444444,72.5,70
Y1050209,5,146.9642857,768,3.666666667,12.22222222,49.33333333,4.333333333,13.94444445,62,0,0,0,9.333333333,5.666666667,3.666666667,0.644444445,4.721918987,3.333333333,0.433333333,9.333333333,1,1.333333333,7.666666667,0.533333333,6,24.33333333,3.711111111,10,1.066666667,0.666666667,32,4.244444444,16.66666667,1.777777778,48.66666667,6.022222222,43,5.733333333,1.333333333,58.33333333,7.044444444,151.3333333,18.9,5.666666667,3.333333333,5,8.4,80,85
Y1050210,1.666666667,124.4444444,359.6666667,1,19.66666667,37.66666667,1,6.833333333,12.66666667,0,0,0,3,1.666666667,1.333333333,0.208333333,3.760430685,1,0.125,3,0.666666667,0,1.333333333,0.166666667,0.333333333,2,0.541666667,1,0.125,0,3.333333333,0.708333333,1.333333333,0.166666667,4.666666667,0.875,5.666666667,1.291666667,0,7.666666667,1.541666667,18,3.708333333,0,0,0,0,62.5,20
