username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_complete,complete_rate,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050215,1.666666667,325.5,1.0,34.16666667,1.166666667,5.5,0.456699347,0.47630719,0.0,0.0,0.0,0.0,0.0,31.66666667,0
Y1050216,0.666666667,66.33333333,0.166666667,2.0,0.166666667,0.0,0.0,0.041666667,0.0,0.0,0.0,0.0,0.0,3.333333333,0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666667,0
Y1050218,0.333333333,137.83333330000002,0.333333333,17.33333333,0.333333333,0.666666667,0.111111111,0.166666667,0.0,0.0,0.0,0.0,0.0,4.166666667,0
Y1050219,1.666666667,246.1666667,1.0,29.83333333,1.166666667,0.5,0.0625,0.4166666670000001,1.0,0.666666667,0.166666667,1.0,1.294117647,34.0,0
Y1050220,1.833333333,503.6666667,0.833333333,8.0,1.833333333,7.5,0.582894737,0.65,0.0,0.0,0.0,0.0,0.0,35.0,1
Y1050221,2.833333333,534.5,1.833333333,66.83333333,1.5,0.666666667,0.074074074,0.625,3.666666667,2.333333333,1.5,3.0,7.149411765,80.5,3
Y1050222,3.0,509.5,1.833333333,64.83333333,1.833333333,2.0,0.311111111,0.7857142859999999,0.0,0.0,0.0,0.0,0.0,64.16666667,1
Y1050223,1.333333333,489.1666667,1.166666667,38.5,1.166666667,2.833333333,0.274621212,0.4375,0.5,0.5,0.166666667,0.5,0.235294118,24.66666667,0
Y1050224,2.5,453.33333330000005,1.666666667,33.33333333,2.0,5.166666667,0.492216117,0.8214285720000001,1.0,0.666666667,0.166666667,0.666666667,2.470588235,86.16666667,2
Y1050225,4.5,819.3333332999998,3.166666667,67.0,4.0,8.5,0.7675925929999999,0.894444445,7.0,2.5,2.666666667,3.833333333,7.723529412,71.33333333,2
Y1050226,1.333333333,687.1666667000002,0.333333333,74.16666667,1.0,5.833333333,0.396011396,0.5085470089999999,0.333333333,0.333333333,0.166666667,0.333333333,0.0,60.83333333,1
Y1050227,1.166666667,168.5,0.666666667,10.0,0.833333333,1.0,0.216666667,0.476190476,0.333333333,0.333333333,0.166666667,0.333333333,0.0,18.0,0
Y1050228,3.166666667,972.8333332999997,2.333333333,67.0,3.0,7.0,0.562349501,0.8240740740000001,2.333333333,2.0,0.833333333,2.166666667,5.674117647,66.33333333,2
Y1050229,5.0,988.1666667000003,3.0,72.83333333,3.166666667,10.0,0.76043771,0.833333333,9.333333332999999,3.0,2.166666667,5.0,9.980588235,100.0,3
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050231,0.333333333,52.83333333,0.0,0.0,0.333333333,3.666666667,0.333333333,0.216666667,1.0,0.333333333,0.833333333,0.333333333,0.352941176,6.666666667,0
Y1050232,1.166666667,262.8333333,0.833333333,9.0,1.0,2.333333333,0.5625,0.666666667,0.0,0.0,0.0,0.0,0.0,15.0,0
Y1050233,0.5,81.83333333,0.166666667,2.0,0.5,0.833333333,0.236111111,0.444444445,0.0,0.0,0.0,0.0,0.0,7.5,0
Y1050234,0.166666667,27.16666667,0.0,0.0,0.166666667,1.5,0.166666667,0.12962963,1.666666667,0.333333333,1.5,0.333333333,0.352941176,5.833333333,0
Y1050235,0.5,65.0,0.0,0.0,0.5,1.666666667,0.305555556,0.344444445,0.666666667,0.333333333,0.5,0.333333333,0.132352941,7.5,0
Y1050236,0.333333333,195.8333333,0.166666667,31.5,0.166666667,0.166666667,0.083333333,0.166666667,5.5,1.333333333,3.166666667,2.333333333,1.058823529,15.83333333,0
Y1050237,0.166666667,12.66666667,0.0,0.0,0.166666667,0.833333333,0.166666667,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
