evaluation_num,pMAPC,pMSE,mean_train_score,mean_test_score
73.0,0.712047538262,200.568019853,0.786443107243,0.745382132895
74.0,0.69247994652,216.590651203,0.795361486465,0.664462267316
75.0,0.709189537433,197.511268827,0.794519041593,0.741886697914
76.0,0.713508633399,200.099105864,0.794988121851,0.694569314332
77.0,0.708615379847,197.35369767,0.812902690168,0.660535811105
78.0,0.674651715385,245.013024355,0.76458605161,0.6463855477
79.0,0.702443499432,202.408898692,0.814041865129,0.72334270528
80.0,0.710207596007,191.741043428,0.806897867047,0.678498444385
81.0,0.694762487216,216.232251439,0.776400823642,0.710516479359
82.0,0.715424080707,193.333709181,0.772712912398,0.719893687504
83.0,0.721443721542,178.621661039,0.809222258155,0.77152588338
84.0,0.711090607484,189.844185567,0.81898780202,0.757322620053
85.0,0.692826606425,212.324138644,0.800042160947,0.689445380239
86.0,0.710716809821,196.400584568,0.824511342544,0.609937963729
87.0,0.708312193426,201.249398368,0.807923024047,0.711241682506
88.0,0.706296581696,209.892526712,0.77993305323,0.71669159167
89.0,0.702388155823,201.86317017,0.803553823558,0.728268302637
90.0,0.719829486966,182.190950184,0.835051790179,0.754867817129
91.0,0.729639176546,168.097710314,0.829070973209,0.76894259158
92.0,0.709749248754,201.602928823,0.814387629537,0.703543472289
93.0,0.711763811439,189.692818422,0.81622605316,0.72488072299
94.0,0.701610937391,210.712750376,0.782072809147,0.727636653335
95.0,0.731696131404,169.39368321,0.834745644963,0.76477857852
96.0,0.690018764655,211.162589919,0.793155359626,0.728497336406
97.0,0.727005749412,179.760766955,0.839463630521,0.752854009028
98.0,0.719808043279,187.113046038,0.817083248642,0.734777493067
99.0,0.711520078508,190.922254492,0.806392930356,0.737083119662
100.0,0.706096509337,204.454226746,0.792966566817,0.745530762246
