username,mt_mean,week
104602018,6.157969697,9
104602018,6.157969697,11
104602018,6.157969697,12
104602018,6.157969697,14
104602018,6.157969697,16
104602018,6.157969697,17
104602018,6.157969697,18
104602004,6.166666667,2
104602005,6.166666667,7
104602010,6.166666667,3
104602521,6.166666667,10
104602502,6.17875,7
104602503,6.2,3
104602006,6.246973684,1
104602006,6.246973684,6
104602006,6.246973684,9
104602006,6.246973684,11
104602006,6.246973684,12
104602006,6.246973684,14
104602006,6.246973684,16
104602006,6.246973684,17
104602006,6.246973684,18
104602006,6.27125,7
104602515,6.3,3
104602522,6.314285714,13
104602015,6.333333333,2
104602501,6.33925,1
104602501,6.33925,6
104602501,6.33925,9
104602501,6.33925,11
104602501,6.33925,12
104602501,6.33925,14
104602501,6.33925,16
104602501,6.33925,17
104602501,6.33925,18
104602525,6.399583333,7
104602521,6.4,3
104602511,6.416666667,7
104602502,6.433333333,3
104602524,6.433333333,3
104602011,6.44,3
104602007,6.5,13
104602501,6.5,5
104602505,6.5,8
104602519,6.5,2
104602003,6.502833333,1
104602003,6.502833333,6
104602003,6.502833333,9
104602003,6.502833333,11
104602003,6.502833333,12
104602003,6.502833333,14
104602003,6.502833333,16
104602003,6.502833333,17
104602003,6.502833333,18
104602510,6.533333333,3
104602520,6.55,15
104602520,6.581666667,7
104602002,6.591111111,1
104602002,6.591111111,6
104602002,6.591111111,9
104602002,6.591111111,11
104602002,6.591111111,12
104602002,6.591111111,14
104602002,6.591111111,16
104602002,6.591111111,17
104602002,6.591111111,18
104602004,6.59625,7
104602510,6.626944444,1
104602510,6.626944444,6
104602510,6.626944444,9
104602510,6.626944444,11
104602510,6.626944444,12
104602510,6.626944444,14
104602510,6.626944444,16
104602510,6.626944444,17
104602510,6.626944444,18
104602012,6.633333333,10
104602507,6.633333333,3
104602002,6.64,3
104602017,6.658333333,1
104602017,6.658333333,6
104602017,6.658333333,9
104602017,6.658333333,11
104602017,6.658333333,12
104602017,6.658333333,14
104602017,6.658333333,16
104602017,6.658333333,17
104602017,6.658333333,18
104602017,6.666666667,5
104602525,6.677708333,1
104602525,6.677708333,6
104602525,6.677708333,9
104602525,6.677708333,11
104602525,6.677708333,12
104602525,6.677708333,14
104602525,6.677708333,16
104602525,6.677708333,17
104602525,6.677708333,18
104602508,6.706666667,7
104602506,6.724791667,7
104602023,6.725666667,7
104602019,6.750218254,1
104602019,6.750218254,6
104602019,6.750218254,9
104602019,6.750218254,11
104602019,6.750218254,12
104602019,6.750218254,14
104602019,6.750218254,16
104602019,6.750218254,17
104602019,6.750218254,18
104602019,6.76125,7
104602009,6.766666667,3
104602033,6.777777778,2
104602505,6.861666667,7
104602508,6.877555556,1
104602508,6.877555556,6
104602508,6.877555556,9
104602508,6.877555556,11
104602508,6.877555556,12
104602508,6.877555556,14
104602508,6.877555556,16
104602508,6.877555556,17
104602508,6.877555556,18
104602005,6.946666667,3
104602024,6.962083333,1
104602024,6.962083333,6
104602024,6.962083333,9
104602024,6.962083333,11
104602024,6.962083333,12
104602024,6.962083333,14
104602024,6.962083333,16
104602024,6.962083333,17
104602024,6.962083333,18
104602507,6.96969697,1
104602507,6.96969697,6
104602507,6.96969697,9
104602507,6.96969697,11
104602507,6.96969697,12
104602507,6.96969697,14
104602507,6.96969697,16
104602507,6.96969697,17
104602507,6.96969697,18
104602029,7,5
104602033,7,5
104602035,7,8
104602525,7,2
104602524,7.0625,15
104602035,7.083333333,15
104602519,7.08625,7
104602010,7.0875,7
104602005,7.107850242,1
104602005,7.107850242,6
104602005,7.107850242,9
104602005,7.107850242,11
104602005,7.107850242,12
104602005,7.107850242,14
104602005,7.107850242,16
104602005,7.107850242,17
104602005,7.107850242,18
104602522,7.111111111,15
104602037,7.116666667,1
104602037,7.116666667,6
104602037,7.116666667,9
104602037,7.116666667,11
104602037,7.116666667,12
104602037,7.116666667,14
104602037,7.116666667,16
104602037,7.116666667,17
104602037,7.116666667,18
104602509,7.133333333,2
104602002,7.166666667,10
104602017,7.166666667,2
104602004,7.2,3
104602502,7.227963659,1
104602502,7.227963659,6
104602502,7.227963659,9
104602502,7.227963659,11
104602502,7.227963659,12
104602502,7.227963659,14
104602502,7.227963659,16
104602502,7.227963659,17
104602502,7.227963659,18
104602521,7.258333333,1
104602521,7.258333333,6
104602521,7.258333333,9
104602521,7.258333333,11
104602521,7.258333333,12
104602521,7.258333333,14
104602521,7.258333333,16
104602521,7.258333333,17
104602521,7.258333333,18
104602029,7.277777778,2
104602031,7.304761905,3
104602009,7.332083333,7
104602025,7.333333333,2
104602504,7.333333333,3
104602505,7.333333333,5
104602008,7.357843137,1
104602008,7.357843137,6
104602008,7.357843137,9
104602008,7.357843137,11
104602008,7.357843137,12
104602008,7.357843137,14
104602008,7.357843137,16
104602008,7.357843137,17
104602008,7.357843137,18
104602021,7.361833333,1
104602021,7.361833333,6
104602021,7.361833333,9
104602021,7.361833333,11
104602021,7.361833333,12
104602021,7.361833333,14
104602021,7.361833333,16
104602021,7.361833333,17
104602021,7.361833333,18
104602505,7.373666667,1
104602505,7.373666667,6
104602505,7.373666667,9
104602505,7.373666667,11
104602505,7.373666667,12
104602505,7.373666667,14
104602505,7.373666667,16
104602505,7.373666667,17
104602505,7.373666667,18
104602514,7.376666667,3
104602522,7.440491188,1
104602522,7.440491188,6
104602522,7.440491188,9
104602522,7.440491188,11
104602522,7.440491188,12
104602522,7.440491188,14
104602522,7.440491188,16
104602522,7.440491188,17
104602522,7.440491188,18
104602526,7.450980392,1
104602526,7.450980392,6
104602526,7.450980392,9
104602526,7.450980392,11
104602526,7.450980392,12
104602526,7.450980392,14
104602526,7.450980392,16
104602526,7.450980392,17
104602526,7.450980392,18
104602005,7.479166667,15
104602514,7.481931818,1
104602514,7.481931818,6
104602514,7.481931818,9
104602514,7.481931818,11
104602514,7.481931818,12
104602514,7.481931818,14
104602514,7.481931818,16
104602514,7.481931818,17
104602514,7.481931818,18
104602504,7.482142857,15
104602001,7.5,5
104602031,7.5,5
104602037,7.5,5
104602516,7.500881156,1
104602516,7.500881156,6
104602516,7.500881156,9
104602516,7.500881156,11
104602516,7.500881156,12
104602516,7.500881156,14
104602516,7.500881156,16
104602516,7.500881156,17
104602516,7.500881156,18
104602522,7.53375,7
104602505,7.535714286,13
104602011,7.545462963,1
104602011,7.545462963,6
104602011,7.545462963,9
104602011,7.545462963,11
104602011,7.545462963,12
104602011,7.545462963,14
104602011,7.545462963,16
104602011,7.545462963,17
104602011,7.545462963,18
104602013,7.56125,7
104602522,7.583333333,4
104602514,7.611111111,10
104602030,7.619277778,1
104602030,7.619277778,6
104602030,7.619277778,9
104602030,7.619277778,11
104602030,7.619277778,12
104602030,7.619277778,14
104602030,7.619277778,16
104602030,7.619277778,17
104602030,7.619277778,18
104602012,7.625,15
104602012,7.62962963,13
104602522,7.62974359,3
104602504,7.6975,7
104602022,7.701742424,1
104602022,7.701742424,6
104602022,7.701742424,9
104602022,7.701742424,11
104602022,7.701742424,12
104602022,7.701742424,14
104602022,7.701742424,16
104602022,7.701742424,17
104602022,7.701742424,18
104602511,7.701754386,1
104602511,7.701754386,6
104602511,7.701754386,9
104602511,7.701754386,11
104602511,7.701754386,12
104602511,7.701754386,14
104602511,7.701754386,16
104602511,7.701754386,17
104602511,7.701754386,18
104602010,7.705392157,1
104602010,7.705392157,6
104602010,7.705392157,9
104602010,7.705392157,11
104602010,7.705392157,12
104602010,7.705392157,14
104602010,7.705392157,16
104602010,7.705392157,17
104602010,7.705392157,18
104602037,7.713333333,3
104602028,7.72974359,1
104602028,7.72974359,6
104602028,7.72974359,9
104602028,7.72974359,11
104602028,7.72974359,12
104602028,7.72974359,14
104602028,7.72974359,16
104602028,7.72974359,17
104602028,7.72974359,18
104602524,7.737368421,1
104602524,7.737368421,6
104602524,7.737368421,9
104602524,7.737368421,11
104602524,7.737368421,12
104602524,7.737368421,14
104602524,7.737368421,16
104602524,7.737368421,17
104602524,7.737368421,18
104602003,7.75,15
104602514,7.777651515,7
104602504,7.777777778,13
104602001,7.805555556,2
104602515,7.817,7
104602007,7.824927536,1
104602007,7.824927536,6
104602007,7.824927536,9
104602007,7.824927536,11
104602007,7.824927536,12
104602007,7.824927536,14
104602007,7.824927536,16
104602007,7.824927536,17
104602007,7.824927536,18
104602009,7.833201754,1
104602009,7.833201754,6
104602009,7.833201754,9
104602009,7.833201754,11
104602009,7.833201754,12
104602009,7.833201754,14
104602009,7.833201754,16
104602009,7.833201754,17
104602009,7.833201754,18
104602002,7.833333333,2
104602003,7.833333333,10
104602017,7.833333333,4
104602511,7.833333333,15
104602519,7.836538462,15
104602504,7.888888889,2
104602510,7.9,8
104602020,7.901805556,1
104602020,7.901805556,6
104602020,7.901805556,9
104602020,7.901805556,11
104602020,7.901805556,12
104602020,7.901805556,14
104602020,7.901805556,16
104602020,7.901805556,17
104602020,7.901805556,18
104602516,7.942307692,15
104602007,7.95,15
104602519,7.965277778,13
104602526,7.966666667,3
104602007,8,4
104602508,8,5
104602526,8,5
104602012,8.011069703,1
104602012,8.011069703,6
104602012,8.011069703,9
104602012,8.011069703,11
104602012,8.011069703,12
104602012,8.011069703,14
104602012,8.011069703,16
104602012,8.011069703,17
104602012,8.011069703,18
104602037,8.022222222,2
104602035,8.055555556,2
104602023,8.06,3
104602513,8.083333333,10
104602007,8.1,3
104602012,8.113333333,3
104602019,8.125,3
104602037,8.125,4
104602504,8.129967532,1
104602504,8.129967532,6
104602504,8.129967532,9
104602504,8.129967532,11
104602504,8.129967532,12
104602504,8.129967532,14
104602504,8.129967532,16
104602504,8.129967532,17
104602504,8.129967532,18
104602011,8.1425,7
104602008,8.2,3
104602522,8.2,8
104602004,8.216130952,1
104602004,8.216130952,6
104602004,8.216130952,9
104602004,8.216130952,11
104602004,8.216130952,12
104602004,8.216130952,14
104602004,8.216130952,16
104602004,8.216130952,17
104602004,8.216130952,18
104602508,8.222222222,2
104602519,8.224264214,1
104602519,8.224264214,6
104602519,8.224264214,9
104602519,8.224264214,11
104602519,8.224264214,12
104602519,8.224264214,14
104602519,8.224264214,16
104602519,8.224264214,17
104602519,8.224264214,18
104602005,8.25,8
104602020,8.277777778,2
104602503,8.277777778,2
104602007,8.3,8
104602013,8.324398148,1
104602013,8.324398148,6
104602013,8.324398148,9
104602013,8.324398148,11
104602013,8.324398148,12
104602013,8.324398148,14
104602013,8.324398148,16
104602013,8.324398148,17
104602013,8.324398148,18
104602513,8.333333333,15
104602524,8.333333333,13
104602028,8.35,3
104602508,8.35,3
104602516,8.416666667,4
104602514,8.433333333,4
104602505,8.444444444,2
104602012,8.45,8
104602511,8.466666667,3
104602023,8.468051282,1
104602023,8.468051282,6
104602023,8.468051282,9
104602023,8.468051282,11
104602023,8.468051282,12
104602023,8.468051282,14
104602023,8.468051282,16
104602023,8.468051282,17
104602023,8.468051282,18
104602002,8.5,8
104602509,8.5,5
104602511,8.5,5
