username,qz_mean,week
104602009,9.444444444,18
104602010,9.888888889,1
104602010,9.888888889,2
104602010,10,3
104602010,10,4
104602010,10,5
104602010,9.888888889,6
104602010,9.888888889,7
104602010,10,8
104602010,10,9
104602010,9.888888889,10
104602010,10,11
104602010,9.888888889,12
104602010,9.888888889,13
104602010,10,14
104602010,10,15
104602010,9.888888889,16
104602010,9,17
104602010,9.888888889,18
104602011,8.333333333,1
104602011,8.333333333,2
104602011,10,3
104602011,10,4
104602011,10,5
104602011,8.333333333,6
104602011,8.333333333,7
104602011,10,8
104602011,6,9
104602011,8.333333333,10
104602011,10,11
104602011,8.333333333,12
104602011,8.333333333,13
104602011,9,14
104602011,0,15
104602011,8.333333333,16
104602011,10,17
104602011,8.333333333,18
104602012,8.888888889,1
104602012,8.888888889,2
104602012,7,3
104602012,10,4
104602012,10,5
104602012,8.888888889,6
104602012,8.888888889,7
104602012,10,8
104602012,4,9
104602012,8.888888889,10
104602012,10,11
104602012,8.888888889,12
104602012,8.888888889,13
104602012,10,14
104602012,9,15
104602012,8.888888889,16
104602012,10,17
104602012,8.888888889,18
104602013,8.666666667,1
104602013,8.666666667,2
104602013,4,3
104602013,10,4
104602013,10,5
104602013,8.666666667,6
104602013,8.666666667,7
104602013,10,8
104602013,9,9
104602013,8.666666667,10
104602013,10,11
104602013,8.666666667,12
104602013,8.666666667,13
104602013,10,14
104602013,10,15
104602013,8.666666667,16
104602013,5,17
104602013,8.666666667,18
104602014,3.111111111,1
104602014,3.111111111,2
104602014,4,3
104602014,6,4
104602014,0,5
104602014,3.111111111,6
104602014,3.111111111,7
104602014,6,8
104602014,0,9
104602014,3.111111111,10
104602014,7,11
104602014,3.111111111,12
104602014,3.111111111,13
104602014,0,14
104602014,5,15
104602014,3.111111111,16
104602014,0,17
104602014,3.111111111,18
104602015,3.333333333,1
104602015,3.333333333,2
104602015,10,3
104602015,10,4
104602015,10,5
104602015,3.333333333,6
104602015,3.333333333,7
104602015,0,8
104602015,0,9
104602015,3.333333333,10
104602015,0,11
104602015,3.333333333,12
104602015,3.333333333,13
104602015,0,14
104602015,0,15
104602015,3.333333333,16
104602015,0,17
104602015,3.333333333,18
104602016,6,1
104602016,6,2
104602016,4,3
104602016,10,4
104602016,10,5
104602016,6,6
104602016,6,7
104602016,5,8
104602016,1,9
104602016,6,10
104602016,10,11
104602016,6,12
104602016,6,13
104602016,6,14
104602016,5,15
104602016,6,16
104602016,3,17
104602016,6,18
104602017,9,1
104602017,9,2
104602017,10,3
104602017,6,4
104602017,10,5
104602017,9,6
104602017,9,7
104602017,10,8
104602017,5,9
104602017,9,10
104602017,10,11
104602017,9,12
104602017,9,13
104602017,10,14
104602017,10,15
104602017,9,16
104602017,10,17
104602017,9,18
104602018,7.777777778,1
104602018,7.777777778,2
104602018,4,3
104602018,6,4
104602018,10,5
104602018,7.777777778,6
104602018,7.777777778,7
104602018,10,8
104602018,7,9
104602018,7.777777778,10
104602018,7,11
104602018,7.777777778,12
104602018,7.777777778,13
104602018,10,14
104602018,10,15
104602018,7.777777778,16
104602018,6,17
104602018,7.777777778,18
104602019,6.444444444,1
104602019,6.444444444,2
104602019,0,3
104602019,6,4
104602019,10,5
104602019,6.444444444,6
104602019,6.444444444,7
104602019,8,8
104602019,8,9
104602019,6.444444444,10
104602019,6,11
104602019,6.444444444,12
104602019,6.444444444,13
104602019,5,14
104602019,5,15
104602019,6.444444444,16
104602019,10,17
104602019,6.444444444,18
104602020,9.222222222,1
104602020,9.222222222,2
104602020,10,3
104602020,6,4
104602020,10,5
104602020,9.222222222,6
104602020,9.222222222,7
104602020,10,8
104602020,8,9
104602020,9.222222222,10
104602020,10,11
104602020,9.222222222,12
104602020,9.222222222,13
104602020,10,14
104602020,9,15
104602020,9.222222222,16
104602020,10,17
104602020,9.222222222,18
104602021,6,1
104602021,6,2
104602021,4,3
104602021,6,4
104602021,10,5
104602021,6,6
104602021,6,7
104602021,3,8
104602021,6,9
104602021,6,10
104602021,10,11
104602021,6,12
104602021,6,13
104602021,8,14
104602021,0,15
104602021,6,16
104602021,7,17
104602021,6,18
104602022,9.666666667,1
104602022,9.666666667,2
104602022,10,3
104602022,10,4
104602022,10,5
104602022,9.666666667,6
104602022,9.666666667,7
104602022,10,8
104602022,7,9
104602022,9.666666667,10
104602022,10,11
104602022,9.666666667,12
104602022,9.666666667,13
104602022,10,14
104602022,10,15
104602022,9.666666667,16
104602022,10,17
104602022,9.666666667,18
104602023,9.333333333,1
104602023,9.333333333,2
104602023,10,3
104602023,10,4
104602023,10,5
104602023,9.333333333,6
104602023,9.333333333,7
104602023,10,8
104602023,6,9
104602023,9.333333333,10
104602023,10,11
104602023,9.333333333,12
104602023,9.333333333,13
104602023,10,14
104602023,10,15
104602023,9.333333333,16
104602023,8,17
104602023,9.333333333,18
104602024,6.888888889,1
104602024,6.888888889,2
104602024,4,3
104602024,10,4
104602024,10,5
104602024,6.888888889,6
104602024,6.888888889,7
104602024,1,8
104602024,7,9
104602024,6.888888889,10
104602024,10,11
104602024,6.888888889,12
104602024,6.888888889,13
104602024,10,14
104602024,10,15
104602024,6.888888889,16
104602024,0,17
104602024,6.888888889,18
104602025,5.388888889,1
104602025,5.388888889,2
104602025,7,3
104602025,3,4
104602025,7.5,5
104602025,5.388888889,6
104602025,5.388888889,7
104602025,10,8
104602025,7,9
104602025,5.388888889,10
104602025,7,11
104602025,5.388888889,12
104602025,5.388888889,13
104602025,0,14
104602025,5,15
104602025,5.388888889,16
104602025,2,17
104602025,5.388888889,18
104602026,1.888888889,1
104602026,1.888888889,2
104602026,4,3
104602026,3,4
104602026,5,5
104602026,1.888888889,6
104602026,1.888888889,7
104602026,2,8
104602026,0,9
104602026,1.888888889,10
104602026,0,11
104602026,1.888888889,12
104602026,1.888888889,13
104602026,3,14
104602026,0,15
104602026,1.888888889,16
104602026,0,17
104602026,1.888888889,18
104602027,9.444444444,1
104602027,9.444444444,2
104602027,10,3
104602027,10,4
104602027,10,5
104602027,9.444444444,6
104602027,9.444444444,7
104602027,7,8
104602027,8,9
104602027,9.444444444,10
104602027,10,11
104602027,9.444444444,12
104602027,9.444444444,13
104602027,10,14
104602027,10,15
104602027,9.444444444,16
104602027,10,17
104602027,9.444444444,18
104602028,9.333333333,1
104602028,9.333333333,2
104602028,10,3
104602028,10,4
104602028,10,5
104602028,9.333333333,6
104602028,9.333333333,7
104602028,10,8
104602028,8,9
104602028,9.333333333,10
104602028,10,11
104602028,9.333333333,12
104602028,9.333333333,13
104602028,10,14
104602028,10,15
104602028,9.333333333,16
104602028,6,17
104602028,9.333333333,18
104602029,6.888888889,1
104602029,6.888888889,2
104602029,7,3
104602029,10,4
104602029,10,5
104602029,6.888888889,6
104602029,6.888888889,7
104602029,5,8
104602029,3,9
104602029,6.888888889,10
104602029,7,11
104602029,6.888888889,12
104602029,6.888888889,13
104602029,10,14
104602029,10,15
104602029,6.888888889,16
104602029,0,17
104602029,6.888888889,18
104602030,4.777777778,1
104602030,4.777777778,2
104602030,10,3
104602030,10,4
104602030,10,5
104602030,4.777777778,6
104602030,4.777777778,7
104602030,1,8
104602030,1,9
104602030,4.777777778,10
104602030,7,11
104602030,4.777777778,12
104602030,4.777777778,13
104602030,4,14
104602030,0,15
104602030,4.777777778,16
104602030,0,17
104602030,4.777777778,18
104602031,5.222222222,1
104602031,5.222222222,2
104602031,10,3
104602031,10,4
104602031,10,5
104602031,5.222222222,6
104602031,5.222222222,7
104602031,5,8
104602031,0,9
104602031,5.222222222,10
104602031,7,11
104602031,5.222222222,12
104602031,5.222222222,13
104602031,0,14
104602031,5,15
104602031,5.222222222,16
104602031,0,17
104602031,5.222222222,18
104602032,9.777777778,1
104602032,9.777777778,2
104602032,10,3
104602032,10,4
104602032,10,5
104602032,9.777777778,6
104602032,9.777777778,7
104602032,10,8
104602032,8,9
104602032,9.777777778,10
104602032,10,11
104602032,9.777777778,12
104602032,9.777777778,13
104602032,10,14
104602032,10,15
104602032,9.777777778,16
104602032,10,17
104602032,9.777777778,18
104602033,6.611111111,1
104602033,6.611111111,2
104602033,6,3
104602033,10,4
104602033,7.5,5
104602033,6.611111111,6
104602033,6.611111111,7
104602033,9,8
104602033,6,9
104602033,6.611111111,10
104602033,6,11
104602033,6.611111111,12
104602033,6.611111111,13
104602033,10,14
104602033,0,15
104602033,6.611111111,16
104602033,5,17
104602033,6.611111111,18
104602035,9.777777778,1
104602035,9.777777778,2
104602035,10,3
104602035,10,4
104602035,10,5
104602035,9.777777778,6
104602035,9.777777778,7
104602035,10,8
104602035,8,9
104602035,9.777777778,10
104602035,10,11
104602035,9.777777778,12
104602035,9.777777778,13
104602035,10,14
104602035,10,15
104602035,9.777777778,16
104602035,10,17
104602035,9.777777778,18
104602037,8.777777778,1
104602037,8.777777778,2
104602037,4,3
104602037,10,4
104602037,10,5
104602037,8.777777778,6
104602037,8.777777778,7
104602037,10,8
104602037,5,9
104602037,8.777777778,10
104602037,10,11
104602037,8.777777778,12
104602037,8.777777778,13
104602037,10,14
104602037,10,15
104602037,8.777777778,16
104602037,10,17
104602037,8.777777778,18
104602501,6.5,1
104602501,6.5,2
104602501,10,3
104602501,10,4
104602501,7.5,5
104602501,6.5,6
104602501,6.5,7
104602501,10,8
104602501,5,9
104602501,6.5,10
104602501,10,11
104602501,6.5,12
104602501,6.5,13
104602501,6,14
104602501,0,15
104602501,6.5,16
104602501,0,17
104602501,6.5,18
104602502,7,1
104602502,7,2
104602502,7,3
104602502,6,4
104602502,10,5
104602502,7,6
104602502,7,7
104602502,10,8
104602502,6,9
104602502,7,10
104602502,10,11
104602502,7,12
104602502,7,13
104602502,9,14
104602502,5,15
104602502,7,16
104602502,0,17
104602502,7,18
104602503,5,1
104602503,5,2
104602503,6,3
104602503,3,4
104602503,10,5
104602503,5,6
104602503,5,7
104602503,10,8
104602503,1,9
104602503,5,10
104602503,10,11
104602503,5,12
104602503,5,13
104602503,0,14
104602503,5,15
104602503,5,16
104602503,0,17
104602503,5,18
104602504,6.666666667,1
104602504,6.666666667,2
104602504,6,3
104602504,10,4
104602504,10,5
104602504,6.666666667,6
104602504,6.666666667,7
104602504,5,8
104602504,5,9
104602504,6.666666667,10
104602504,4,11
104602504,6.666666667,12
104602504,6.666666667,13
104602504,6,14
104602504,10,15
104602504,6.666666667,16
104602504,4,17
104602504,6.666666667,18
104602505,8.888888889,1
104602505,8.888888889,2
104602505,10,3
104602505,6,4
104602505,10,5
104602505,8.888888889,6
104602505,8.888888889,7
104602505,10,8
104602505,10,9
104602505,8.888888889,10
104602505,10,11
104602505,8.888888889,12
104602505,8.888888889,13
104602505,10,14
104602505,10,15
104602505,8.888888889,16
104602505,4,17
104602505,8.888888889,18
104602506,7.222222222,1
104602506,7.222222222,2
104602506,7,3
104602506,6,4
104602506,10,5
104602506,7.222222222,6
104602506,7.222222222,7
104602506,10,8
104602506,7,9
104602506,7.222222222,10
104602506,10,11
104602506,7.222222222,12
104602506,7.222222222,13
104602506,10,14
104602506,5,15
104602506,7.222222222,16
104602506,0,17
104602506,7.222222222,18
104602507,6.444444444,1
104602507,6.444444444,2
104602507,7,3
104602507,6,4
104602507,10,5
104602507,6.444444444,6
104602507,6.444444444,7
104602507,10,8
104602507,5,9
104602507,6.444444444,10
104602507,7,11
104602507,6.444444444,12
104602507,6.444444444,13
104602507,0,14
104602507,10,15
104602507,6.444444444,16
104602507,3,17
104602507,6.444444444,18
104602508,6.555555556,1
104602508,6.555555556,2
104602508,10,3
104602508,10,4
104602508,10,5
104602508,6.555555556,6
104602508,6.555555556,7
104602508,8,8
104602508,3,9
104602508,6.555555556,10
104602508,6,11
104602508,6.555555556,12
104602508,6.555555556,13
104602508,7,14
104602508,5,15
104602508,6.555555556,16
104602508,0,17
104602508,6.555555556,18
104602509,4.333333333,1
104602509,4.333333333,2
104602509,10,3
104602509,6,4
104602509,10,5
104602509,4.333333333,6
104602509,4.333333333,7
104602509,6,8
104602509,0,9
104602509,4.333333333,10
104602509,4,11
104602509,4.333333333,12
104602509,4.333333333,13
104602509,3,14
104602509,0,15
104602509,4.333333333,16
104602509,0,17
104602509,4.333333333,18
104602510,8.333333333,1
104602510,8.333333333,2
104602510,10,3
104602510,6,4
104602510,10,5
104602510,8.333333333,6
104602510,8.333333333,7
104602510,10,8
104602510,9,9
104602510,8.333333333,10
104602510,10,11
104602510,8.333333333,12
104602510,8.333333333,13
104602510,10,14
104602510,10,15
104602510,8.333333333,16
104602510,0,17
104602510,8.333333333,18
104602511,8.222222222,1
104602511,8.222222222,2
104602511,10,3
104602511,10,4
104602511,10,5
104602511,8.222222222,6
104602511,8.222222222,7
104602511,10,8
104602511,10,9
104602511,8.222222222,10
104602511,10,11
104602511,8.222222222,12
104602511,8.222222222,13
104602511,6,14
104602511,5,15
104602511,8.222222222,16
104602511,3,17
104602511,8.222222222,18
104602513,9.666666667,1
104602513,9.666666667,2
104602513,10,3
104602513,10,4
104602513,10,5
104602513,9.666666667,6
104602513,9.666666667,7
104602513,10,8
104602513,8,9
104602513,9.666666667,10
104602513,10,11
104602513,9.666666667,12
104602513,9.666666667,13
104602513,9,14
104602513,10,15
104602513,9.666666667,16
104602513,10,17
104602513,9.666666667,18
104602514,8.333333333,1
104602514,8.333333333,2
104602514,10,3
104602514,10,4
104602514,10,5
104602514,8.333333333,6
104602514,8.333333333,7
104602514,10,8
104602514,7,9
104602514,8.333333333,10
104602514,10,11
104602514,8.333333333,12
104602514,8.333333333,13
104602514,10,14
104602514,5,15
104602514,8.333333333,16
104602514,3,17
104602514,8.333333333,18
104602515,6.666666667,1
104602515,6.666666667,2
104602515,7,3
104602515,10,4
104602515,10,5
104602515,6.666666667,6
104602515,6.666666667,7
104602515,10,8
104602515,8,9
104602515,6.666666667,10
104602515,10,11
104602515,6.666666667,12
104602515,6.666666667,13
104602515,0,14
104602515,5,15
104602515,6.666666667,16
104602515,0,17
104602515,6.666666667,18
104602516,9,1
104602516,9,2
104602516,7,3
104602516,10,4
104602516,10,5
104602516,9,6
104602516,9,7
104602516,10,8
104602516,10,9
104602516,9,10
104602516,10,11
104602516,9,12
104602516,9,13
104602516,9,14
104602516,5,15
104602516,9,16
104602516,10,17
104602516,9,18
104602517,8.722222222,1
104602517,8.722222222,2
104602517,10,3
104602517,10,4
104602517,7.5,5
104602517,8.722222222,6
104602517,8.722222222,7
104602517,10,8
104602517,7,9
104602517,8.722222222,10
104602517,10,11
104602517,8.722222222,12
104602517,8.722222222,13
104602517,9,14
104602517,5,15
104602517,8.722222222,16
104602517,10,17
104602517,8.722222222,18
104602519,9.555555556,1
104602519,9.555555556,2
104602519,10,3
104602519,10,4
104602519,10,5
104602519,9.555555556,6
104602519,9.555555556,7
104602519,10,8
104602519,6,9
104602519,9.555555556,10
104602519,10,11
104602519,9.555555556,12
104602519,9.555555556,13
104602519,10,14
104602519,10,15
104602519,9.555555556,16
104602519,10,17
104602519,9.555555556,18
104602520,5.111111111,1
104602520,5.111111111,2
104602520,10,3
104602520,3,4
104602520,0,5
104602520,5.111111111,6
104602520,5.111111111,7
104602520,2,8
104602520,8,9
104602520,5.111111111,10
104602520,7,11
104602520,5.111111111,12
104602520,5.111111111,13
104602520,10,14
104602520,0,15
104602520,5.111111111,16
104602520,6,17
104602520,5.111111111,18
104602521,8.277777778,1
104602521,8.277777778,2
104602521,4,3
104602521,10,4
104602521,7.5,5
104602521,8.277777778,6
104602521,8.277777778,7
104602521,10,8
104602521,7,9
104602521,8.277777778,10
104602521,10,11
104602521,8.277777778,12
104602521,8.277777778,13
104602521,10,14
104602521,9,15
104602521,8.277777778,16
104602521,7,17
104602521,8.277777778,18
104602522,6.277777778,1
104602522,6.277777778,2
104602522,10,3
104602522,6,4
104602522,7.5,5
104602522,6.277777778,6
104602522,6.277777778,7
104602522,10,8
104602522,0,9
104602522,6.277777778,10
104602522,10,11
104602522,6.277777778,12
104602522,6.277777778,13
104602522,8,14
104602522,5,15
104602522,6.277777778,16
104602522,0,17
104602522,6.277777778,18
104602524,5.666666667,1
104602524,5.666666667,2
104602524,4,3
104602524,10,4
104602524,10,5
104602524,5.666666667,6
104602524,5.666666667,7
104602524,10,8
104602524,3,9
104602524,5.666666667,10
104602524,10,11
104602524,5.666666667,12
104602524,5.666666667,13
104602524,4,14
104602524,0,15
104602524,5.666666667,16
104602524,0,17
104602524,5.666666667,18
104602525,5.444444444,1
104602525,5.444444444,2
104602525,4,3
104602525,10,4
104602525,10,5
104602525,5.444444444,6
104602525,5.444444444,7
104602525,5,8
104602525,10,9
104602525,5.444444444,10
104602525,10,11
104602525,5.444444444,12
104602525,5.444444444,13
104602525,0,14
104602525,0,15
104602525,5.444444444,16
104602525,0,17
104602525,5.444444444,18
104602526,8.222222222,1
104602526,8.222222222,2
104602526,10,3
104602526,6,4
104602526,10,5
104602526,8.222222222,6
104602526,8.222222222,7
104602526,10,8
104602526,8,9
104602526,8.222222222,10
104602526,10,11
104602526,8.222222222,12
104602526,8.222222222,13
104602526,10,14
104602526,10,15
104602526,8.222222222,16
104602526,0,17
104602526,8.222222222,18
