username,exam_first_week,exam_secondt_week,exam_third_week,exam_fourth_week,exam_fifth_week,exam_final,,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,exam_mean,2る6ら,exam_mean,exam_mean,3る6ら,exam_mean,4る6ら,5る6ら,exam_sum
Y1050191,40,35,60,26,45,44,,40,37.5,45,40.25,41.2,41.66666667,47.5,40.33333333,41.5,42,43,43.66666667,43.75,35.5,38.33333333,44.5,206
Y1050192,100,65,35,66,80,55,,100,82.5,66.66666667,66.5,69.2,66.83333333,50,55.33333333,61.5,60.2,50.5,60.33333333,59,73,67,67.5,346
Y1050193,90,35,0,0,20,10,,90,62.5,41.66666667,31.25,29,25.83333333,17.5,11.66666667,13.75,13,0,6.666666667,7.5,10,10,15,145
Y1050194,65,40,30,0,15,0,,65,52.5,45,33.75,30,25,35,23.33333333,21.25,17,15,15,11.25,7.5,5,7.5,150
Y1050195,80,60,70,20,65,23,,80,70,70,57.5,59,53,65,50,53.75,47.6,45,51.66666667,44.5,42.5,36,44,295
Y1050196,35,0,20,0,0,0,,35,17.5,18.33333333,13.75,11,9.166666667,10,6.666666667,5,4,10,6.666666667,5,0,0,0,55
Y1050197,65,80,70,78,95,95,,65,72.5,71.66666667,73.25,77.6,80.5,75,76,80.75,83.6,74,81,84.5,86.5,89.33333333,95,388
Y1050198,70,45,10,24,70,0,,70,57.5,41.66666667,37.25,43.8,36.5,27.5,26.33333333,37.25,29.8,17,34.66666667,26,47,31.33333333,35,219
Y1050199,90,65,55,0,0,0,,90,77.5,70,52.5,42,35,60,40,30,24,27.5,18.33333333,13.75,0,0,0,210
Y1050200,45,50,20,6,25,20,,45,47.5,38.33333333,30.25,29.2,27.66666667,35,25.33333333,25.25,24.2,13,17,17.75,15.5,17,22.5,146
Y1050201,95,55,60,66,65,55,,95,75,70,69,68.2,66,57.5,60.33333333,61.5,60.2,63,63.66666667,61.5,65.5,62,60,341
Y1050202,100,75,70,65,85,65,,100,87.5,81.66666667,77.5,79,76.66666667,72.5,70,73.75,72,67.5,73.33333333,71.25,75,71.66666667,75,395
Y1050203,77,0,0,0,0,0,,77,38.5,25.66666667,19.25,15.4,12.83333333,0,0,0,0,0,0,0,0,0,0,77
Y1050204,97,75,75,82,100,105,,97,86,82.33333333,82.25,85.8,89,75,77.33333333,83,87.4,78.5,85.66666667,90.5,91,95.66666667,102.5,429
Y1050205,95,60,90,90,90,90,,95,77.5,81.66666667,83.75,85,85.83333333,75,80,82.5,84,90,90,90,90,90,90,425
Y1050206,90,100,50,85,95,94,,90,95,80,81.25,84,85.66666667,75,78.33333333,82.5,84.8,67.5,76.66666667,81,90,91.33333333,94.5,420
Y1050207,100,80,40,78,85,0,,100,90,73.33333333,74.5,76.6,63.83333333,60,66,70.75,56.6,59,67.66666667,50.75,81.5,54.33333333,42.5,383
Y1050208,75,70,40,40,100,70,,75,72.5,61.66666667,56.25,65,65.83333333,55,50,62.5,64,40,60,62.5,70,70,85,325
Y1050209,90,70,55,89,100,85,,90,80,71.66666667,76,80.8,81.5,62.5,71.33333333,78.5,79.8,72,81.33333333,82.25,94.5,91.33333333,92.5,404
Y1050210,55,70,40,0,0,0,,55,62.5,55,41.25,33,27.5,55,36.66666667,27.5,22,20,13.33333333,10,0,0,0,165
Y1050211,100,0,45,0,0,58,,100,50,48.33333333,36.25,29,33.83333333,22.5,15,11.25,20.6,22.5,15,25.75,0,19.33333333,29,145
Y1050212,60,25,0,0,0,25,,60,42.5,28.33333333,21.25,17,18.33333333,12.5,8.333333333,6.25,10,0,0,6.25,0,8.333333333,12.5,85
Y1050213,20,0,0,0,0,0,,20,10,6.666666667,5,4,3.333333333,0,0,0,0,0,0,0,0,0,0,20
Y1050214,35,30,50,18,0,0,,35,32.5,38.33333333,33.25,26.6,22.16666667,40,32.66666667,24.5,19.6,34,22.66666667,17,9,6,0,133
Y1050215,95,25,70,0,0,0,,95,60,63.33333333,47.5,38,31.66666667,47.5,31.66666667,23.75,19,35,23.33333333,17.5,0,0,0,190
Y1050216,0,20,0,0,0,0,,0,10,6.666666667,5,4,3.333333333,10,6.666666667,5,4,0,0,0,0,0,0,20
Y1050217,25,0,0,0,0,0,,25,12.5,8.333333333,6.25,5,4.166666667,0,0,0,0,0,0,0,0,0,0,25
Y1050218,25,0,0,0,0,0,,25,12.5,8.333333333,6.25,5,4.166666667,0,0,0,0,0,0,0,0,0,0,25
Y1050219,80,70,30,24,0,0,,80,75,60,51,40.8,34,50,41.33333333,31,24.8,27,18,13.5,12,8,0,204
Y1050220,65,35,75,0,0,35,,65,50,58.33333333,43.75,35,35,55,36.66666667,27.5,29,37.5,25,27.5,0,11.66666667,17.5,175
Y1050221,92,65,90,66,90,80,,92,78.5,82.33333333,78.25,80.6,80.5,77.5,73.66666667,77.75,78.2,78,82,81.5,78,78.66666667,85,403
Y1050222,97,55,40,38,100,55,,97,76,64,57.5,66,64.16666667,47.5,44.33333333,58.25,57.6,39,59.33333333,58.25,69,64.33333333,77.5,330
Y1050223,65,0,50,33,0,0,,65,32.5,38.33333333,37,29.6,24.66666667,25,27.66666667,20.75,16.6,41.5,27.66666667,20.75,16.5,11,0,148
Y1050224,90,85,95,84,95,68,,90,87.5,90,88.5,89.8,86.16666667,90,88,89.75,85.4,89.5,91.33333333,85.5,89.5,82.33333333,81.5,449
Y1050225,80,80,60,48,100,60,,80,80,73.33333333,67,73.6,71.33333333,70,62.66666667,72,69.6,54,69.33333333,67,74,69.33333333,80,368
Y1050226,100,80,70,72,0,43,,100,90,83.33333333,80.5,64.4,60.83333333,75,74,55.5,53,71,47.33333333,46.25,36,38.33333333,21.5,322
Y1050227,35,50,0,20,0,3,,35,42.5,28.33333333,26.25,21,18,25,23.33333333,17.5,14.6,10,6.666666667,5.75,10,7.666666667,1.5,105
Y1050228,92,70,30,56,95,55,,92,81,64,62,68.6,66.33333333,50,52,62.75,61.2,43,60.33333333,59,75.5,68.66666667,75,343
Y1050229,100,90,100,95,100,115,,100,95,96.66666667,96.25,97,100,95,95,96.25,100,97.5,98.33333333,102.5,97.5,103.3333333,107.5,485
Y1050230,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050231,40,0,0,0,0,0,,40,20,13.33333333,10,8,6.666666667,0,0,0,0,0,0,0,0,0,0,40
Y1050232,90,0,0,0,0,0,,90,45,30,22.5,18,15,0,0,0,0,0,0,0,0,0,0,90
Y1050233,45,0,0,0,0,0,,45,22.5,15,11.25,9,7.5,0,0,0,0,0,0,0,0,0,0,45
Y1050234,35,0,0,0,0,0,,35,17.5,11.66666667,8.75,7,5.833333333,0,0,0,0,0,0,0,0,0,0,35
Y1050235,45,0,0,0,0,0,,45,22.5,15,11.25,9,7.5,0,0,0,0,0,0,0,0,0,0,45
Y1050236,95,0,0,0,0,0,,95,47.5,31.66666667,23.75,19,15.83333333,0,0,0,0,0,0,0,0,0,0,95
Y1050237,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1050238,95,50,100,84,80,0,,95,72.5,81.66666667,82.25,81.8,68.16666667,75,78,78.5,62.8,92,88,66,82,54.66666667,40,409
Y1050239,40,0,0,0,0,0,,40,20,13.33333333,10,8,6.666666667,0,0,0,0,0,0,0,0,0,0,40
Y1050240,30,0,0,0,0,0,,30,15,10,7.5,6,5,0,0,0,0,0,0,0,0,0,0,30
Y1050241,83,20,80,0,0,0,,83,51.5,61,45.75,36.6,30.5,50,33.33333333,25,20,40,26.66666667,20,0,0,0,183
