username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_watched,num_incomplete,complete_rate,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050197,3.333333333,1818.333333,2.5,84.16666667,2.833333333,21.16666667,2.166666667,0.867760181,19.66666667,0.925584465,3.333333333,2.166666667,2.333333333,5.4117647060000005,80.5,3
Y1050198,1.166666667,190.1666667,0.833333333,19.16666667,1.0,2.666666667,0.666666667,0.375,2.666666667,0.666666667,0.0,0.0,0.0,0.0,36.5,0
Y1050199,1.666666667,393.5,1.0,34.0,1.5,6.0,1.833333333,0.350396826,5.666666667,0.472222222,8.5,1.666666667,2.833333333,4.147058824,35.0,1
Y1050200,2.5,657.5,1.333333333,33.5,2.0,5.833333333,1.666666667,0.609704185,5.666666667,0.976190476,2.333333333,0.666666667,0.666666667,1.529411765,27.66666667,1
Y1050201,3.666666667,932.6666667000003,2.333333333,52.83333333,3.166666667,15.0,3.666666667,0.803907127,14.16666667,0.9559133,5.166666667,1.666666667,2.666666667,6.644117647000001,66.0,2
Y1050202,4.0,878.3333332999997,2.833333333,71.16666667,3.0,9.666666667000001,0.333333333,0.965079365,9.666666667000001,1.0,2.5,1.666666667,2.166666667,6.907058824,76.66666667,2
Y1050203,0.333333333,55.33333333,0.166666667,4.833333333,0.333333333,0.5,0.333333333,0.083333333,0.166666667,0.166666667,0.0,0.0,0.0,0.0,12.83333333,0
Y1050204,2.333333333,593.6666667000002,1.666666667,43.83333333,2.166666667,11.83333333,2.5,0.727147822,10.83333333,0.918540241,0.666666667,0.666666667,0.666666667,6.659411765,89.0,3
Y1050205,3.166666667,726.5,1.833333333,52.5,2.5,10.33333333,1.166666667,0.7061923590000001,9.833333332999999,0.797979798,3.333333333,1.666666667,1.666666667,7.711176471,85.83333333,3
Y1050206,3.166666667,743.0,3.0,75.0,2.833333333,9.333333332999999,3.833333333,0.626165501,8.5,0.93482906,0.666666667,0.666666667,0.666666667,2.8529411760000003,85.66666667,2
Y1050207,1.0,541.0,0.666666667,16.0,1.0,11.16666667,4.0,0.528409091,8.833333332999999,0.7305871209999999,0.0,0.0,0.0,0.0,63.83333333,1
Y1050208,5.0,1004.5,4.0,72.16666667,3.333333333,6.333333333,3.333333333,0.596891535,5.666666667,0.915343915,5.166666667,1.833333333,2.5,6.647058824,65.83333333,2
Y1050209,5.333333333,763.0,4.333333333,51.0,3.5,10.83333333,6.5,0.494444445,10.83333333,1.0,5.333333333,3.0,4.5,8.197058823999999,81.5,3
Y1050210,0.833333333,179.83333330000005,0.5,18.83333333,0.5,1.5,0.666666667,0.104166667,1.5,0.333333333,0.0,0.0,0.0,0.0,27.5,0
Y1050211,1.5,570.6666667000002,1.166666667,40.16666667,1.166666667,6.0,1.666666667,0.534090909,5.5,0.636363636,1.5,0.666666667,0.666666667,1.897058824,33.83333333,1
Y1050212,1.666666667,342.8333333,1.333333333,28.33333333,1.166666667,3.666666667,0.833333333,0.375,3.666666667,0.5,0.0,0.0,0.0,0.0,18.33333333,0
Y1050213,0.333333333,12.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,0
Y1050214,2.333333333,351.6666667,1.666666667,17.83333333,2.333333333,4.833333333,0.666666667,0.436363636,4.666666667,0.6527777779999999,0.5,0.5,0.5,0.279411765,22.16666667,0
Y1050215,1.666666667,325.5,1.0,34.16666667,1.166666667,6.166666667,0.666666667,0.456699347,5.833333333,0.47630719,0.0,0.0,0.0,0.0,31.66666667,0
Y1050216,0.666666667,66.33333333,0.166666667,2.0,0.166666667,0.666666667,0.666666667,0.0,0.166666667,0.041666667,0.0,0.0,0.0,0.0,3.333333333,0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666667,0
Y1050218,0.333333333,137.83333330000002,0.333333333,17.33333333,0.333333333,1.0,0.333333333,0.111111111,1.0,0.166666667,0.0,0.0,0.0,0.0,4.166666667,0
Y1050219,1.666666667,246.1666667,1.0,29.83333333,1.166666667,3.5,3.0,0.0625,1.833333333,0.4166666670000001,1.0,0.666666667,1.0,1.294117647,34.0,0
Y1050220,1.833333333,503.6666667,0.833333333,8.0,1.833333333,9.166666667000001,1.666666667,0.582894737,8.833333332999999,0.65,0.0,0.0,0.0,0.0,35.0,1
Y1050221,2.833333333,534.5,1.833333333,66.83333333,1.5,2.5,1.833333333,0.074074074,2.333333333,0.625,3.666666667,2.333333333,3.0,7.149411765,80.5,3
Y1050222,3.0,509.5,1.833333333,64.83333333,1.833333333,4.666666667,2.666666667,0.311111111,4.333333333,0.7857142859999999,0.0,0.0,0.0,0.0,64.16666667,1
