username,qz_mean,seek_video_avg,mt_online_num_day,final_score
Y1050207,1.03275825757,0.744233080564,-0.548969169263,40.0
Y1050208,0.473565969206,2.01768863369,-0.32375104854,70.0
Y1050209,0.713219807075,0.39158385036,-0.0985329278164,85.0
Y1050210,0.154027518714,-0.651670122917,-0.548969169263,20.0
Y1050211,-0.245395544402,1.59914030381,1.47799391725,40.0
Y1050212,-0.485049382271,1.18504461832,-0.548969169263,20.0
Y1050213,-1.52354934637,-1.31288742955,-0.548969169263,10.0
Y1050214,-0.804587832763,-0.431264354039,-0.32375104854,20.0
Y1050215,0.0741429060908,-0.651670122917,-0.548969169263,20.0
Y1050216,-1.52354934637,0.450358721473,-0.548969169263,10.0
Y1050217,-1.44366473375,-1.31288742955,-0.548969169263,10.0
Y1050218,-1.44366473375,-0.431264354039,-0.548969169263,10.0
Y1050219,0.553450581829,0.229952952595,-0.32375104854,20.0
Y1050220,-0.245395544402,-0.0305265929236,-0.548969169263,30.0
Y1050221,0.665289039502,-0.431264354039,-0.0985329278164,80.0
Y1050222,0.585404426879,-1.31288742955,-0.548969169263,50.0
Y1050223,-0.804587832763,0.229952952595,-0.32375104854,20.0
Y1050224,0.952873644945,-0.0921785563077,-0.32375104854,68.0
Y1050225,0.713219807075,1.18504461832,-0.0985329278164,75.0
Y1050226,1.03275825757,-0.921054951937,-0.32375104854,40.0
Y1050227,-0.485049382271,-0.30531820115,-0.32375104854,10.0
Y1050228,0.745173652125,-0.72513871313,-0.32375104854,66.0
Y1050229,1.19252748281,-0.319057780151,-0.0985329278164,99.0
Y1050230,-1.84308779686,-1.31288742955,-0.548969169263,0.0
Y1050231,-1.20401089588,-1.31288742955,0.577121434353,10.0
Y1050232,-0.405164769648,0.67076449035,-0.548969169263,10.0
Y1050233,-1.12412628326,1.03810743789,-0.548969169263,10.0
Y1050234,-1.2838955085,-1.31288742955,1.47799391725,10.0
Y1050235,-1.12412628326,0.450358721473,0.126685192907,10.0
Y1050236,-0.325280157025,-1.31288742955,1.92843015869,20.0
Y1050237,-1.84308779686,-0.960238199346,-0.548969169263,0.0
Y1050238,0.473565969206,1.33198179698,4.8562657281,40.0
Y1050239,-1.20401089588,-1.31288742955,-0.32375104854,10.0
Y1050240,-1.36378012112,0.891170259228,1.47799391725,10.0
Y1050241,-0.197464776828,1.33198179698,0.35190331363,20.0
Y1050242,-0.405164769648,1.03810743789,-0.32375104854,20.0
Y1050243,-0.325280157025,-1.11697119074,-0.548969169263,10.0
Y1050244,-0.485049382271,-0.0786151238342,-0.548969169263,10.0
Y1050245,-0.804587832763,-0.872075891794,-0.548969169263,10.0
Y1050246,-0.644818607517,-1.31288742955,1.47799391725,30.0
Y1050247,0.473565969206,-0.72513871313,-0.0985329278164,30.0
Y1050248,0.793104419699,-0.456453584264,0.802339555077,30.0
Y1050249,0.920919799896,-1.01901307046,3.73017512448,30.0
Y1050250,-1.84308779686,-1.31288742955,3.9553932452,10.0
Y1050251,-1.84308779686,-1.31288742955,-0.548969169263,0.0
Y1050252,-0.996310903059,-0.137389994947,-0.548969169263,10.0
Y1050253,-0.325280157025,1.42993991727,-0.32375104854,10.0
Y1050254,0.601381349403,-0.872075891794,3.9553932452,20.0
Y1050255,1.27241209544,-0.00304743139563,0.577121434353,40.0
Y1050256,0.31379674396,1.33198179698,0.577121434353,30.0
Y1050257,-0.00574170653228,0.450358721473,-0.32375104854,40.0
Y1050258,-0.804587832763,2.2136048725,-0.32375104854,10.0
Y1050259,1.11264287019,0.450358721473,2.15364827942,80.0
Y1050260,0.872989032322,1.11157602811,-0.548969169263,50.0
Y1050261,1.19252748281,-0.72513871313,-0.0985329278164,82.0
Y1050262,1.11264287019,0.499337781615,-0.0985329278164,50.0
Y1050263,0.713219807075,-0.431264354039,-0.548969169263,40.0
Y1050264,1.11264287019,-0.872075891794,-0.32375104854,40.0
Y1050265,0.713219807075,0.209916065156,-0.548969169263,20.0
Y1050266,1.03275825757,0.00954718371693,0.126685192907,40.0
Y1050267,0.713219807075,0.60149410635,-0.0985329278164,30.0
Y1050268,1.27241209544,-0.72513871313,-0.548969169263,60.0
Y1050269,-1.04424167063,-1.31288742955,-0.548969169263,10.0
Y1050270,1.30436594049,0.0193429964507,1.92843015869,40.0
Y1050271,-1.84308779686,-1.31288742955,-0.548969169263,0.0
Y1050272,-1.84308779686,-1.31288742955,-0.548969169263,0.0
Y1050273,-0.564933994894,1.33198179698,-0.0985329278164,40.0
Y9999986,0.872989032322,1.51282755507,-0.0985329278164,58.0
Y9999987,-1.84308779686,-1.31288742955,-0.548969169263,27.0
Y9999988,0.31379674396,-0.529222474324,-0.548969169263,33.0
Y9999989,1.19252748281,-1.31288742955,-0.548969169263,59.0
Y9999990,0.904942877371,0.467313012064,-0.548969169263,63.0
Y9999991,0.393681356583,0.119750068156,-0.548969169263,36.0
Y9999992,0.793104419699,-0.774117773273,-0.548969169263,38.0
Y9999993,0.0741429060908,-0.137389994947,-0.32375104854,49.0
Y9999994,-0.884472445386,-1.31288742955,-0.548969169263,20.0
Y9999995,0.665289039502,0.842191200849,-0.548969169263,57.0
Y9999996,0.633335194452,-1.31288742955,-0.548969169263,54.0
Y9999997,0.681265962026,-1.31288742955,-0.548969169263,58.0
Y9999998,0.473565969206,0.793212138943,-0.548969169263,49.0
Y9999999,1.27241209544,-0.210858585161,-0.548969169263,73.0
