username,forum_num_days,forum_avg_count,forum_sum_count,video_forward_seek_sum,watched_time_hour,qz_mean,watched_time_weekday,video_pause_backward_seek_avg,indicator,final_score
Y1050175,-0.0584708652192,1.27179007161,-0.603130420872,-0.435087722198,1.20332083278,1.27128772185,-0.00068203495164,0.00287641202239,0.0,30.0
Y1050176,0.0791350126124,1.30249822867,0.666599161266,0.172077146837,-0.793579565964,1.14445323452,0.0108664039433,-0.0112633803887,1.0,90.0
Y1050177,-0.252985664543,0.402470138938,0.246330228226,0.623553916442,0.544960304226,0.00847137831707,-0.02293945132,0.00186759348803,0.0,20.0
Y1050178,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,20.0
Y1050179,0.240491314393,1.86859112249,0.710773827719,-0.91585539068,-0.662284306724,0.794670649295,0.00146579293501,-0.017314851287,1.0,95.0
Y1050180,-0.34103477779,-1.13874933486,0.338487078499,-0.537928858641,-1.09860621804,0.175338937598,0.0162896845836,-0.0114821107393,0.0,40.0
Y1050181,-0.474212117736,-1.51474107399,0.29043187874,-0.26475599834,-0.398488443033,0.173591460733,0.00346260731152,-0.0047987779262,0.0,20.0
Y1050182,0.3394477878,2.39291210787,0.650305275542,-2.22080297548,0.51226575966,0.432539912298,-0.0272379212179,-0.0174029238886,1.0,90.0
Y1050183,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050184,-0.550313454848,-1.72959349634,0.262971764593,-0.108657221026,0.00157885696954,0.172592902525,-0.00386715112963,-0.000979730604415,0.0,10.0
Y1050185,9.85189342344,-1.0422934085,-0.339736931866,-0.197920182665,-0.565276672399,0.0992605731837,-0.511660695986,0.869135744744,1.0,99.0
Y1050186,0.00232417117995,0.716220114903,1.21204332612,-0.903887739746,-0.522289666017,-0.481111785726,-0.0285219340651,-0.0167125639382,1.0,85.0
Y1050187,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,20.0
Y1050188,0.18682319372,2.25107419129,0.720700385788,-0.615856014606,1.0093006559,0.84056524166,-0.0339157538902,-0.00599461348363,0.0,45.0
Y1050189,0.229000383123,2.82931526582,-0.715360855958,0.536669818761,-0.610892045905,0.0988326009879,0.017417288092,-0.00725985325811,1.0,91.0
Y1050190,0.384135519402,2.66664303797,1.21858370533,-1.57395527652,0.362131587443,0.638628893288,-0.0345071098532,-0.0174932847182,1.0,90.0
Y1050191,0.237255769311,3.39268092165,6.33466240026,5.45525716386,-0.0232391633442,-0.331021547926,-0.15885577576,-0.00476070413946,0.0,40.0
Y1050192,-0.0356703456003,1.55362887485,-0.582198853054,0.47201968938,0.133200073804,0.219012300935,0.00400709683009,-0.000751812426391,1.0,70.0
Y1050193,-0.531935413207,-1.37638288304,0.189350491283,-0.199426655296,0.650246137526,-0.102357556468,-0.0206140997396,0.00205258446611,0.0,20.0
Y1050194,-0.113475127415,1.94463187025,-1.87370388667,1.03057911553,1.33890159818,0.845040883485,0.0148577224672,0.0137429195075,0.0,20.0
Y1050195,0.0610119034715,1.4739664643,0.227856685666,-1.09180099294,0.979669845115,0.888017925795,-0.0196912919903,-0.00529844904609,0.0,40.0
Y1050196,-0.557447955202,-1.74973591094,0.260397378891,-0.0940229606526,0.0390851663448,0.172499287692,-0.00455431598349,-0.000621694917998,0.0,10.0
Y1050197,0.394280843704,3.2294269268,2.0214409426,0.490526407108,0.417509888979,1.30114955307,-0.0461231975336,-0.0103198695392,1.0,80.0
Y1050198,-0.249059418665,0.618985333353,-1.41670377642,0.687356161111,0.694492498583,1.55447611681,0.0323817113116,0.00947061980396,0.0,20.0
Y1050199,-0.285521535166,-0.255073566469,0.393434607477,0.204208659108,0.139521213268,0.850816589177,-0.0032427812726,-0.00141905918708,0.0,30.0
Y1050200,-0.0656770680796,1.09167296236,0.568591753734,-2.06063009263,2.33201047645,-0.847817945653,-0.0793085824005,-0.00314385912389,0.0,30.0
Y1050201,0.191186896243,1.95464500864,0.450179734011,-1.30232227451,0.693088661826,0.913187890106,-0.0191680115297,-0.00983913203433,1.0,68.0
Y1050202,0.132836881576,1.75831029738,-0.152198354361,-0.976586791882,0.241522705765,0.827678003836,0.00217342889204,-0.00869507135002,1.0,75.0
