username,active_num_days,seek_video_sum,video_forward_seek_sum,mt_online_practice_num_day,qz_mean,hw_mean,indicator,final_score
Y1050166,-1.40139677874,-0.224195148211,-0.0317981005916,-0.0957942154988,0.150297019474,-0.0062979645015,0.0,20
Y1050177,0.174520517479,1.20117997132,-0.17490303928,-0.89066384966,-0.395177377514,-0.180339710868,0.0,20
Y1050178,-1.3210842637,0.139721343148,-0.10671246488,0.36146271246,-0.186609386201,0.0257154703187,0.0,20
Y1050181,-1.05073553937,-0.318903149989,0.404743349081,-0.240526712122,0.37572930394,-0.052524547145,0.0,20
Y1050187,-1.74144749272,-0.196961491489,-0.267405711165,0.362778498559,0.0750980158333,0.0332492417867,0.0,20
Y1050193,-1.24868055949,-0.14041699782,-0.0780375316149,-0.453450295661,-0.00201176522572,-0.013352241172,0.0,20
Y1050194,-0.522880364669,0.423539772745,0.120766338136,-0.697975779946,-0.351108255172,-0.0342109904375,0.0,20
Y1050198,-0.942878230614,-0.0291852302795,0.370204640842,0.0604708932612,0.0126909863395,-0.0279927388122,0.0,20
Y1050210,-1.16418728532,-0.14385243495,0.163662750537,-0.096684379789,0.126354541321,-0.0214812352447,0.0,20
Y1050212,-1.18332308652,-0.00102334416942,-0.231888217453,-0.696645385724,-0.0714905818997,-0.0114499723449,0.0,20
Y1050214,-0.373052949436,0.284546310171,0.102891397931,-0.714015353187,-0.0680179563727,-0.17167957283,0.0,20
Y1050215,-0.932827822584,-0.0912392902795,0.206808929087,-0.533116891243,0.0956800740348,-0.0427452300108,0.0,20
Y1050219,-0.852854499136,0.195227681969,0.216137125946,-0.0474817855447,-0.289288963787,-0.0128944456058,0.0,20
Y1050223,-0.212876534114,0.958004048697,0.00912029883746,-0.58791838007,-0.943407349929,-0.00697155055795,0.0,20
Y1050236,-1.46574777493,-0.556756520471,-1.0114385115,0.115322574781,-0.00545004387364,-0.409994951009,0.0,20
Y1050241,-0.515876857707,0.817200933709,-0.0621792626688,-0.233865968575,-0.317615105716,-0.00823462445469,0.0,20
Y1050242,-1.08524356603,0.489152199613,-0.283162879527,0.0675089884686,0.0585767358136,0.0120007928467,0.0,20
Y1050254,-1.37734190898,-0.129528533354,-0.280031640904,0.14686447792,-0.0836034798504,-0.119914521104,0.0,20
Y1050265,-1.01029228037,0.220544285597,0.146592556722,0.291512359083,0.0249897138992,-0.00569115307014,0.0,20
Y9999994,-1.38980674924,-0.181390441588,0.113517488339,0.341499244001,0.169093422437,-0.000305192241312,0.0,20
Y9999987,-1.35384985801,-0.225303820385,0.405638575178,0.870272937257,0.242643654854,-0.00231701767314,0.0,27
Y1050160,-0.912628656905,0.0823567886724,0.211681292998,-0.161420473263,0.102726687367,-0.0304574982517,0.0,30
