username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050212,0.5,1.75,305.75,1.25,2.5,1.75,1.5,2.5,0.0,34.25,2.5,15.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0,20.0
Y1050213,0.25,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050214,0.25,2.5,262.25,2.5,4.25,3.25,3.0,4.25,1.0,63.0,9.75,16.75,31.75,1.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,24.5,0.083333333,0,20.0
Y1050215,0.25,2.0,312.75,1.25,6.25,5.5,1.25,6.0,1.25,21.75,1.75,2.0,13.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.75,0.0,0,20.0
Y1050216,0.25,1.0,99.5,0.25,1.0,0.0,1.0,0.25,0.0,5.5,1.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0,10.0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050219,0.25,1.25,205.75,1.0,3.25,0.0,2.75,1.5,0.0,9.0,2.75,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0,20.0
Y1050220,0.25,2.25,579.75,2.25,8.75,8.5,7.5,8.75,1.5,119.75,11.25,27.75,59.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0,30.0
Y1050221,0.0,3.5,727.5,2.0,3.5,1.0,0.75,3.25,0.0,11.0,1.5,0.25,6.5,0.0,3.25,2.0,0.5,1.5,1.75,2.5,1.0,77.75,7.211666667,1,80.0
Y1050222,0.0,3.0,467.75,1.75,3.0,1.25,0.75,3.0,0.0,13.5,5.25,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.25,0.0,0,50.0
