username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,indicator,final_score
Y1050182,4.5,201.375,922.0,4.0,13.875,55.5,4.5,24.2,110.5,0.0,0.0,0.0,12.0,7.0,0.5625,12.77523967,6.5,0.59375,11.5,0.96875,0.5,5.0,0.40625,52.5,4.75,17.0,1.46875,57.5,5.15625,35.5,93.0,8.09375,79.0,6.96875,0.5,105.0,9.09375,277.5,24.21875,2.5,2.0,2.0,8.083333332999999,77.5,1,1,90
Y1050184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,1.8333333330000001,45.0,0,0,10
Y1050185,7.0,81.71428572,572.0,3.0,12.4,48.0,3.5,5.416666666,27.5,1.5,0.5,1.5,7.0,5.0,0.846153846,9.388773691,3.0,0.23076923100000002,6.0,0.923076923,1.5,0.5,0.038461538999999996,4.0,0.7692307690000001,3.0,0.23076923100000002,4.5,0.807692308,13.0,17.5,1.807692308,12.0,1.384615385,1.5,24.5,2.807692308,55.5,6.576923077000001,13.0,3.5,6.0,10.0,90.0,1,1,99
Y1050186,5.0,147.5,737.5,2.5,18.66666667,53.5,3.0,23.5,70.5,0.0,0.0,0.0,8.0,7.0,0.75,11.24796041,6.0,0.833333333,8.0,1.0,3.5,19.0,3.8333333339999998,13.0,1.5,5.5,0.458333334,32.0,5.333333334,25.0,57.0,8.0,22.0,2.333333334,3.5,65.0,9.0,147.5,19.79166667,9.0,3.5,6.5,9.361666667,100.0,1,1,85
Y1050187,1.0,75.75,151.5,0.5,4.0,4.0,0.5,26.5,26.5,0.0,0.0,0.0,3.0,1.0,0.166666667,6.355237345,3.0,0.5,2.0,0.333333334,0.0,15.5,2.583333334,1.0,0.166666667,0.5,0.08333333400000001,16.5,2.75,3.0,19.5,3.25,2.5,0.41666666700000005,0.0,22.5,3.75,44.5,7.416666665,0.0,0.0,0.0,0.0,80.0,0,0,20
Y1050188,6.5,78.44047619,513.0,5.5,6.566666667000001,35.5,3.0,14.5,53.0,0.0,0.0,0.0,3.5,1.0,0.2,14.37554746,1.5,0.3,3.5,1.0,0.0,20.0,4.0,25.5,6.15,1.0,0.2,45.5,10.15,1.5,47.0,10.45,30.0,7.35,0.0,50.5,11.45,127.5,29.25,4.0,2.0,2.5,5.833333333,89.0,0,0,45
Y1050189,2.5,384.4166667,922.5,2.5,30.25,75.5,1.5,55.0,79.5,0.0,0.0,0.0,8.0,8.0,1.0,10.86334684,6.0,0.8,7.0,0.9,1.0,42.0,5.1,9.0,1.233333333,7.0,0.9,51.0,6.333333334,20.0,71.0,8.9,23.0,3.033333334,1.0,79.0,9.9,174.0,21.93333334,5.0,3.5,4.5,8.778333332999999,84.0,1,1,91
Y1050190,2.5,400.33333339999996,1070.5,2.5,18.41666667,49.0,2.0,97.5,184.5,0.0,0.0,0.0,8.0,7.0,0.916666667,14.01795461,8.0,1.0,8.0,1.0,1.0,40.5,6.541666666,60.0,7.166666666,19.0,2.5,100.5,13.70833334,57.5,158.0,21.16666667,85.0,10.41666667,1.0,166.0,22.16666667,410.0,53.83333334,14.5,3.5,9.0,9.631666667000001,79.0,1,1,90
Y1050191,0.5,460.5,460.5,0.5,23.0,23.0,0.5,122.0,122.0,0.0,0.0,0.0,4.0,1.0,0.125,0.947134312,4.0,0.5,4.0,0.5,0.0,102.5,12.8125,3.5,0.4375,1.5,0.1875,106.0,13.25,5.0,111.0,13.875,9.0,1.125,0.0,115.0,14.375,235.0,29.375,0.5,0.5,0.5,0.833333333,37.5,0,0,40
Y1050192,3.0,347.0,1041.0,1.5,84.25,114.0,2.5,16.16666667,39.0,0.0,0.0,0.0,10.5,8.5,0.8045454540000001,12.03640641,3.0,0.286363637,10.0,0.95,1.0,6.0,0.563636364,5.5,0.5318181820000001,7.0,0.672727273,11.5,1.095454546,10.5,22.0,2.1,22.0,2.109090909,1.0,32.5,3.1,77.5,7.404545455,17.0,3.5,7.0,8.25,82.5,1,1,70
